# Case: R.ST6
# Station: 15
# X/H: 8.6
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.176,-0.037,13.68,8.44,-1.25,-1.17,0.86,-0.65,-1.17
3,0.15,0.158,-0.022,13.78,9.5,-2.78,0.97,1.37,-0.96,-1.88
4,0.2,0.182,-0.027,14.56,10.56,-3.28,0.58,0.89,-0.52,-2.32
5,0.3,0.215,-0.036,16.05,12.58,-4.93,-0.1,0.2,-0.33,-1.5
6,0.4,0.251,-0.041,16.97,13.49,-5.84,-1.05,-1.22,1.51,-0.12
7,0.5,0.287,-0.05,17.89,14.62,-6.78,-2.11,-2.23,1.85,1.45
8,0.6,0.329,-0.053,18.94,14.15,-7.15,-4.2,-2.82,3.38,2.5
9,0.7,0.366,-0.055,18.98,14.33,-7.15,-5.29,-4.17,4.38,4.24
10,0.8,0.408,-0.053,18.63,13.33,-7.03,-6.12,-4.45,5.04,4.28
11,0.9,0.448,-0.054,18.49,12.28,-6.57,-7.89,-5.62,5.54,4.87
12,1.0,0.492,-0.052,17.89,11.16,-6.14,-10.47,-5.96,6.23,5.16
13,1.1,0.535,-0.049,16.84,10.28,-5.49,-11.42,-6.01,6.33,5.66
14,1.15,0.558,-0.048,15.76,9.52,-5.03,-11.33,-5.54,5.89,5.24
15,1.2,0.581,-0.048,14.69,8.75,-4.57,-11.24,-5.08,5.44,4.81
16,1.3,0.626,-0.044,12.94,7.18,-3.73,-11.96,-4.66,5.26,3.79
17,1.4,0.663,-0.04,10.98,6.23,-3.24,-10.9,-4.12,4.53,3.53
18,1.5,0.702,-0.035,8.65,5.02,-2.46,-8.24,-3.03,3.24,2.78
19,1.7,0.761,-0.031,5.18,3.16,-1.39,-3.22,-1.24,1.32,1.34
20,2.0,0.826,-0.027,2.66,1.69,-0.59,-0.46,-0.19,0.27,0.27
21,2.4,0.883,-0.021,1.3,0.95,-0.13,-0.14,-0.04,0.1,0.1
22,2.8,0.909,-0.015,0.7,0.62,0.05,0.05,0.03,0.02,0.02
23,3.2,0.913,-0.01,0.6,0.5,0.09,0.09,0.05,0.03,0.01
24,3.6,0.914,-0.003,0.62,0.5,0.12,0.11,0.07,0.04,0.03
25,4.0,0.915,0.0,0.57,0.46,0.08,0.08,0.05,0.01,0.0
26,5.0,0.916,0.011,0.56,0.44,0.08,0.08,0.04,0.01,0.01
27,6.0,0.917,0.022,0.55,0.43,0.09,0.07,0.04,0.01,0.01
28,8.0,0.917,0.043,0.52,0.43,0.09,0.06,0.04,0.02,0.01
