# Case: R.ST6
# Station: 19
# X/H: 14.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.277,-0.021,6.24,6.0,-0.74,0.87,0.83,-0.2,-0.24
3,0.15,0.29,-0.019,8.28,6.97,-0.41,1.41,1.18,-0.06,-0.38
4,0.2,0.306,-0.019,9.31,5.92,-1.37,2.72,0.75,-0.24,-0.98
5,0.3,0.326,-0.023,9.89,7.11,-2.29,1.94,1.23,-0.53,-0.94
6,0.4,0.346,-0.026,10.64,7.98,-3.06,1.88,0.78,-0.43,-1.02
7,0.5,0.369,-0.03,11.61,8.91,-3.68,1.51,0.5,-0.22,-0.42
8,0.6,0.389,-0.03,11.99,9.1,-3.96,1.2,0.1,0.05,0.28
9,0.7,0.414,-0.031,12.49,9.57,-4.07,0.08,-0.4,0.67,0.84
10,0.8,0.438,-0.033,13.52,9.67,-4.59,-1.37,-1.22,1.42,1.4
11,0.9,0.464,-0.032,13.49,9.59,-4.35,-1.7,-1.63,1.7,1.87
12,1.0,0.489,-0.034,13.21,9.22,-4.35,-3.97,-2.08,2.57,1.4
13,1.1,0.515,-0.03,13.17,9.06,-4.19,-4.29,-2.79,2.91,2.84
14,1.15,0.529,-0.03,12.94,8.82,-4.17,-5.1,-3.02,3.04,2.79
15,1.2,0.543,-0.03,12.72,8.59,-4.15,-5.91,-3.25,3.18,2.74
16,1.3,0.568,-0.025,12.61,8.0,-3.99,-6.54,-3.44,3.4,2.75
17,1.4,0.601,-0.025,11.46,7.5,-3.64,-7.49,-3.94,3.54,2.83
18,1.5,0.627,-0.022,10.6,6.38,-3.17,-8.16,-3.66,3.45,2.92
19,1.7,0.683,-0.017,7.99,4.92,-2.38,-7.26,-3.16,2.94,2.33
20,2.0,0.751,-0.011,4.41,2.81,-1.25,-3.51,-1.5,1.45,1.14
21,2.4,0.813,-0.001,1.79,1.37,-0.48,-0.65,-0.34,0.41,0.38
22,2.8,0.846,0.005,0.77,0.68,-0.06,0.0,-0.01,0.05,0.08
23,3.2,0.854,0.008,0.53,0.48,0.03,0.05,0.03,0.02,0.03
24,3.6,0.855,0.011,0.48,0.39,0.04,0.05,0.03,0.01,0.02
25,4.0,0.856,0.013,0.44,0.35,0.03,0.07,0.03,0.01,0.01
26,5.0,0.858,0.019,0.41,0.32,0.03,0.06,0.03,0.01,0.01
27,6.0,0.86,0.025,0.37,0.3,0.02,0.05,0.03,0.01,0.01
28,8.0,0.86,0.039,0.33,0.3,0.04,0.03,0.03,0.01,0.01
