# Case: R.ST6
# Station: 1
# X/H: -4.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.661,-0.005,6.32,1.92,-1.15,-0.07,-0.09,0.09,0.13
14,1.15,0.694,-0.003,5.95,1.91,-1.18,-0.25,-0.08,0.11,0.07
15,1.2,0.722,-0.003,5.55,1.96,-1.21,-0.52,-0.09,0.16,0.11
16,1.3,0.766,-0.003,4.86,1.85,-1.15,-0.68,-0.13,0.21,0.12
17,1.4,0.802,-0.004,4.3,1.74,-1.06,-0.71,-0.14,0.21,0.15
18,1.5,0.829,-0.003,3.84,1.66,-0.99,-0.61,-0.16,0.23,0.16
19,1.7,0.881,-0.004,2.92,1.33,-0.7,-0.58,-0.15,0.23,0.17
20,2.0,0.942,-0.003,1.68,0.83,-0.31,-0.39,-0.12,0.16,0.11
21,2.4,0.989,-0.001,0.56,0.37,0.07,-0.04,-0.02,0.03,0.03
22,2.8,0.996,0.002,0.38,0.25,0.11,0.02,0.01,0.0,0.01
23,3.2,0.997,0.003,0.38,0.23,0.11,0.04,0.01,0.0,0.0
24,3.6,0.998,0.003,0.39,0.23,0.1,0.05,0.01,0.01,0.01
25,4.0,0.998,0.003,0.33,0.21,0.08,0.02,0.01,0.0,0.0
26,5.0,1.0,0.001,0.32,0.21,0.1,0.01,0.0,0.0,0.0
27,6.0,1.0,0.001,0.32,0.21,0.1,0.01,0.0,0.0,0.0
