# Case: R.ST6
# Station: 12
# X/H: 7.1
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.043,-0.025,17.44,10.44,-3.13,8.3,3.84,-1.69,-3.0
3,0.15,0.058,-0.028,18.46,11.2,-3.7,7.94,3.49,-2.03,-3.46
4,0.2,0.081,-0.037,19.58,13.18,-4.65,5.39,2.76,-2.07,-3.21
5,0.3,0.131,-0.045,23.06,15.78,-6.79,1.18,1.48,-0.57,-2.05
6,0.4,0.179,-0.053,24.13,17.32,-8.09,-2.08,-1.27,0.93,0.57
7,0.5,0.235,-0.056,23.38,17.67,-8.42,-6.87,-3.66,3.57,2.65
8,0.6,0.287,-0.063,23.57,16.9,-8.29,-10.09,-4.21,4.24,3.76
9,0.7,0.338,-0.063,22.51,16.32,-8.39,-9.02,-6.2,5.52,5.41
10,0.8,0.392,-0.063,21.1,14.44,-7.63,-9.9,-6.78,6.68,5.84
11,0.9,0.447,-0.062,20.06,13.77,-7.29,-11.3,-7.32,8.31,6.39
12,1.0,0.498,-0.056,18.77,11.89,-6.41,-11.84,-7.07,7.78,6.05
13,1.1,0.554,-0.055,16.47,10.04,-4.96,-11.89,-5.85,6.09,4.59
14,1.15,0.58,-0.052,15.59,9.34,-4.67,-12.44,-5.86,6.07,4.68
15,1.2,0.606,-0.05,14.71,8.64,-4.38,-12.99,-5.86,6.05,4.76
16,1.3,0.655,-0.048,12.23,7.02,-3.42,-10.74,-4.59,4.64,3.56
17,1.4,0.701,-0.042,9.1,5.28,-2.46,-7.84,-2.93,3.06,2.63
18,1.5,0.738,-0.041,6.83,4.34,-1.92,-5.23,-2.3,2.37,2.18
19,1.7,0.798,-0.038,3.84,2.53,-0.92,-1.04,-0.44,0.49,0.64
20,2.0,0.858,-0.033,2.3,1.49,-0.37,-0.39,-0.12,0.21,0.21
21,2.4,0.912,-0.027,1.09,0.86,-0.02,-0.13,-0.04,0.07,0.06
22,2.8,0.931,-0.021,0.68,0.6,0.17,0.05,0.04,0.02,0.02
23,3.2,0.933,-0.013,0.62,0.54,0.19,0.05,0.02,0.0,-0.01
24,3.6,0.934,-0.007,0.64,0.55,0.2,0.06,0.04,0.01,0.0
25,4.0,0.934,-0.004,0.59,0.51,0.18,0.04,0.03,0.01,-0.01
26,5.0,0.935,0.009,0.54,0.45,0.15,0.04,0.03,0.01,0.0
27,6.0,0.935,0.022,0.48,0.39,0.13,0.05,0.03,0.02,0.01
28,8.0,0.938,0.044,0.78,0.65,0.23,0.1,0.08,0.04,0.03
