# Case: R.ST6
# Station: 18
# X/H: 12.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.257,-0.02,7.89,6.13,-0.71,2.01,0.76,-0.55,-0.31
3,0.15,0.273,-0.02,8.88,6.44,-1.61,2.27,1.16,-0.53,-0.5
4,0.2,0.284,-0.023,9.21,7.45,-1.93,2.29,1.24,-0.44,-1.06
5,0.3,0.308,-0.029,10.74,8.69,-2.95,1.66,1.19,-0.66,-1.38
6,0.4,0.334,-0.033,12.37,9.56,-3.89,2.41,1.1,-0.84,-1.14
7,0.5,0.362,-0.038,13.01,9.61,-4.23,1.01,0.19,-0.04,-0.59
8,0.6,0.387,-0.041,13.83,10.42,-4.82,0.55,-0.7,0.37,0.77
9,0.7,0.416,-0.043,14.6,10.58,-5.22,-1.34,-1.57,1.46,1.01
10,0.8,0.442,-0.042,14.63,10.22,-5.38,-2.65,-2.02,2.41,1.79
11,0.9,0.474,-0.044,14.69,10.3,-5.24,-4.19,-2.72,2.88,2.59
12,1.0,0.503,-0.043,14.37,9.83,-5.03,-5.72,-3.81,3.44,3.05
13,1.1,0.534,-0.041,14.02,9.2,-4.79,-7.17,-3.98,4.07,3.11
14,1.15,0.548,-0.04,13.77,8.95,-4.69,-7.68,-4.15,4.2,3.3
15,1.2,0.563,-0.039,13.51,8.71,-4.58,-8.19,-4.33,4.33,3.49
16,1.3,0.597,-0.037,12.14,7.54,-3.78,-8.71,-4.41,4.26,3.27
17,1.4,0.625,-0.032,10.88,6.73,-3.45,-8.49,-3.96,4.04,3.21
18,1.5,0.662,-0.031,9.52,5.66,-2.94,-8.64,-3.77,3.65,2.88
19,1.7,0.71,-0.024,7.12,4.23,-2.04,-6.57,-2.68,2.54,2.13
20,2.0,0.779,-0.016,3.36,2.32,-1.03,-2.08,-1.0,1.11,0.93
21,2.4,0.835,-0.009,1.44,1.05,-0.27,-0.21,-0.1,0.15,0.16
22,2.8,0.862,-0.003,0.71,0.58,-0.06,0.01,0.01,0.03,0.05
23,3.2,0.868,0.001,0.5,0.41,0.01,0.05,0.03,0.01,0.02
24,3.6,0.871,0.003,0.47,0.38,0.0,0.07,0.04,0.0,0.0
25,4.0,0.871,0.006,0.45,0.36,0.0,0.08,0.04,0.0,0.01
26,5.0,0.871,0.01,0.43,0.35,-0.01,0.05,0.03,0.0,0.0
27,6.0,0.872,0.02,0.4,0.34,0.0,0.04,0.03,0.01,0.01
28,8.0,0.875,0.037,0.39,0.33,0.01,0.03,0.03,0.0,0.0
