# Case: R.ST6
# Station: 8
# X/H: 3.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.15,0.0,6.86,4.39,-0.85,1.1,0.55,-0.51,-0.86
3,0.15,-0.146,0.003,7.06,4.92,-0.79,1.69,0.99,-0.92,-1.18
4,0.2,-0.136,0.002,8.21,5.91,-1.24,2.46,1.16,-1.19,-1.71
5,0.3,-0.11,0.001,10.24,7.18,-1.99,4.6,2.05,-2.1,-1.96
6,0.4,-0.072,-0.001,13.87,9.41,-3.44,6.25,2.89,-2.69,-3.22
7,0.5,-0.005,-0.009,18.72,11.52,-5.2,6.17,3.03,-2.94,-3.93
8,0.6,0.083,-0.016,21.73,13.4,-6.38,-2.68,0.25,-0.62,-1.91
9,0.7,0.184,-0.026,19.98,13.76,-6.41,-6.68,-1.54,0.71,-1.19
10,0.8,0.279,-0.029,17.72,12.93,-6.25,-4.63,-1.75,1.48,-0.2
11,0.9,0.373,-0.029,17.08,12.15,-6.36,-3.23,-2.2,1.63,1.21
12,1.0,0.465,-0.029,16.58,11.08,-5.86,-4.66,-2.68,2.92,2.3
13,1.1,0.563,-0.026,15.21,9.48,-4.91,-7.17,-3.77,4.15,3.43
14,1.15,0.609,-0.023,13.32,8.04,-3.99,-6.92,-3.27,3.54,2.81
15,1.2,0.656,-0.021,11.43,6.6,-3.06,-6.67,-2.78,2.93,2.19
16,1.3,0.721,-0.016,7.87,4.82,-2.09,-4.17,-2.0,1.94,1.82
17,1.4,0.766,-0.015,5.31,3.3,-1.21,-1.1,-0.6,0.41,0.61
18,1.5,0.802,-0.015,4.25,2.72,-0.98,-0.61,-0.32,0.28,0.28
19,1.7,0.852,-0.015,3.24,2.08,-0.7,-0.45,-0.18,0.17,0.18
20,2.0,0.908,-0.013,2.28,1.48,-0.41,-0.37,-0.18,0.14,0.11
21,2.4,0.961,-0.01,1.14,0.86,0.04,-0.14,-0.04,0.07,0.05
22,2.8,0.978,-0.006,0.7,0.64,0.22,0.0,0.0,-0.02,-0.02
23,3.2,0.98,-0.002,0.65,0.57,0.21,0.02,0.01,-0.01,-0.01
24,3.6,0.977,0.001,0.65,0.57,0.21,0.03,0.02,-0.01,0.0
25,4.0,0.978,0.005,0.65,0.56,0.21,0.02,0.01,-0.01,-0.01
26,5.0,0.974,0.012,0.69,0.6,0.24,0.02,0.01,-0.01,-0.01
27,6.0,0.974,0.012,0.69,0.6,0.24,0.02,0.01,-0.01,-0.01
