# Case: R.ST6
# Station: 7
# X/H: 2.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.08,0.005,6.28,2.47,-0.2,0.49,0.01,-0.03,0.07
3,0.15,-0.085,0.009,6.28,2.94,0.11,0.82,0.01,0.01,-0.02
4,0.2,-0.088,0.015,6.23,3.26,-0.13,0.87,0.12,0.02,-0.03
5,0.3,-0.084,0.021,6.39,3.73,-0.27,0.35,0.14,-0.14,-0.11
6,0.4,-0.072,0.025,6.94,4.11,-0.44,0.41,0.25,-0.02,-0.16
7,0.5,-0.039,0.021,8.14,4.95,-1.17,0.36,0.65,-0.58,-0.68
8,0.6,0.009,0.013,11.1,6.56,-2.8,1.33,1.6,-1.83,-2.51
9,0.7,0.099,-0.005,14.33,9.38,-4.47,1.25,1.75,-2.17,-2.91
10,0.8,0.208,-0.021,15.12,10.85,-5.67,-1.15,-0.11,-0.11,-1.73
11,0.9,0.329,-0.027,15.53,11.17,-6.1,-0.81,-0.57,0.86,-0.74
12,1.0,0.477,-0.033,15.33,9.81,-5.07,-2.36,-1.81,1.99,1.69
13,1.1,0.583,-0.018,13.7,7.5,-4.22,-6.42,-3.07,3.65,2.79
14,1.15,0.63,-0.013,11.39,6.14,-3.23,-5.26,-2.35,2.74,2.11
15,1.2,0.677,-0.008,9.07,4.78,-2.24,-4.1,-1.63,1.82,1.42
16,1.3,0.734,-0.004,5.86,3.25,-1.29,-1.18,-0.48,0.52,0.54
17,1.4,0.773,-0.006,4.65,2.68,-1.04,-0.55,-0.19,0.22,0.19
18,1.5,0.807,-0.006,4.16,2.3,-0.91,-0.5,-0.16,0.15,0.2
19,1.7,0.86,-0.007,3.28,1.86,-0.76,-0.49,-0.17,0.19,0.18
20,2.0,0.917,-0.006,2.23,1.32,-0.43,-0.41,-0.13,0.17,0.14
21,2.4,0.972,-0.003,1.01,0.75,-0.01,-0.11,-0.03,0.03,0.04
22,2.8,0.985,-0.001,0.66,0.56,0.08,0.02,0.01,0.0,0.0
23,3.2,0.984,0.002,0.68,0.56,0.13,0.02,0.01,-0.01,0.0
24,3.6,0.983,0.005,0.67,0.55,0.14,0.03,0.01,-0.01,-0.01
25,4.0,0.984,0.007,0.63,0.51,0.1,0.03,0.02,0.0,0.0
26,5.0,0.983,0.014,0.61,0.5,0.1,0.03,0.02,0.0,0.0
27,6.0,0.984,0.023,0.66,0.53,0.13,0.02,0.01,-0.01,0.0
28,8.0,0.991,0.051,0.7,0.63,0.12,-0.01,-0.01,-0.01,-0.01
