# Case: R.ST6
# Station: 21
# X/H: 20.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.32,-0.012,6.94,3.36,-0.69,1.8,0.4,-0.08,-0.27
3,0.15,0.329,-0.011,7.31,3.78,-0.89,1.6,0.4,-0.12,-0.38
4,0.2,0.34,-0.011,7.74,4.05,-1.04,1.78,0.56,-0.23,-0.41
5,0.3,0.353,-0.01,8.18,4.73,-1.51,1.69,0.62,-0.18,-0.65
6,0.4,0.368,-0.011,8.69,5.38,-1.8,1.5,0.72,-0.38,-0.73
7,0.5,0.384,-0.011,9.32,6.53,-2.41,1.64,0.84,-0.51,-0.64
8,0.6,0.4,-0.014,9.68,6.43,-2.52,1.68,0.73,-0.26,-0.47
9,0.7,0.417,-0.015,10.57,6.97,-2.99,1.19,0.41,0.08,-0.3
10,0.8,0.431,-0.016,10.58,7.2,-3.32,0.76,0.27,0.01,0.14
11,0.9,0.448,-0.016,11.14,7.3,-3.34,0.48,-0.2,0.37,0.33
12,1.0,0.465,-0.02,10.8,7.65,-3.53,-0.48,-0.55,0.79,0.93
13,1.1,0.487,-0.019,11.46,7.54,-3.49,-0.57,-0.65,0.91,1.19
14,1.15,0.496,-0.019,11.46,7.5,-3.49,-1.12,-0.8,1.03,1.23
15,1.2,0.504,-0.018,11.46,7.46,-3.49,-1.68,-0.95,1.15,1.28
16,1.3,0.524,-0.02,11.63,7.46,-3.57,-2.53,-1.47,1.57,1.92
17,1.4,0.546,-0.019,11.47,7.01,-3.31,-3.98,-1.88,2.09,2.01
18,1.5,0.567,-0.018,11.34,6.84,-3.36,-4.31,-2.31,2.4,2.11
19,1.7,0.608,-0.015,10.61,6.21,-3.08,-6.04,-2.72,2.56,2.39
20,2.0,0.67,-0.009,8.4,4.83,-2.34,-7.11,-2.68,2.79,1.9
21,2.4,0.741,-0.001,4.86,2.77,-1.19,-4.63,-1.47,1.58,1.08
22,2.8,0.793,0.007,1.87,1.49,-0.44,-0.97,-0.4,0.47,0.35
23,3.2,0.814,0.013,0.87,0.83,-0.09,0.05,0.0,0.05,0.09
24,3.6,0.818,0.017,0.67,0.61,0.01,0.06,0.02,0.01,0.05
25,4.0,0.819,0.019,0.57,0.47,0.02,0.06,0.03,0.01,0.02
26,5.0,0.82,0.023,0.5,0.4,0.03,0.05,0.03,0.01,0.01
27,6.0,0.821,0.027,0.42,0.34,0.03,0.04,0.02,0.0,0.01
28,8.0,0.822,0.038,0.4,0.31,0.03,0.03,0.02,0.01,0.01
