# Case: R.ST6
# Station: 10
# X/H: 5.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.12,-0.013,9.68,7.25,-2.86,6.43,3.18,-2.96,-2.59
3,0.15,-0.111,-0.014,12.14,8.46,-3.3,9.86,4.19,-3.77,-4.41
4,0.2,-0.091,-0.019,15.02,10.41,-4.81,13.73,5.4,-5.02,-5.03
5,0.3,-0.04,-0.032,21.53,14.44,-7.65,16.88,6.41,-6.14,-5.34
6,0.4,0.029,-0.042,28.18,17.13,-9.62,11.55,3.65,-2.46,-4.31
9,0.7,0.277,-0.062,26.53,16.19,-9.24,-19.84,-6.88,7.31,3.84
10,0.8,0.355,-0.062,21.82,14.49,-7.85,-13.8,-6.37,7.06,4.04
11,0.9,0.425,-0.062,20.32,12.55,-7.16,-11.75,-6.03,7.23,4.39
12,1.0,0.492,-0.058,18.37,10.78,-5.94,-10.28,-5.06,5.69,3.61
13,1.1,0.565,-0.054,16.53,8.94,-4.88,-10.11,-4.74,5.4,3.97
14,1.15,0.597,-0.052,14.84,8.01,-4.2,-9.16,-4.03,4.51,3.47
15,1.2,0.629,-0.049,13.14,7.07,-3.53,-8.22,-3.32,3.62,2.96
16,1.3,0.688,-0.043,10.61,5.31,-2.62,-7.83,-2.51,2.45,2.4
17,1.4,0.735,-0.04,7.55,4.05,-1.89,-4.75,-1.87,1.99,1.72
18,1.5,0.775,-0.037,5.36,2.93,-1.28,-2.11,-0.74,0.81,0.96
19,1.7,0.826,-0.034,3.47,1.88,-0.76,-0.73,-0.18,0.28,0.28
20,2.0,0.883,-0.029,2.16,1.2,-0.44,-0.37,-0.12,0.17,0.12
21,2.4,0.936,-0.022,1.04,0.66,-0.06,-0.17,-0.05,0.07,0.06
22,2.8,0.954,-0.016,0.51,0.4,0.12,0.03,0.02,0.01,0.02
23,3.2,0.954,-0.008,0.47,0.35,0.12,0.03,0.02,0.0,0.0
24,3.6,0.954,-0.003,0.47,0.34,0.12,0.05,0.03,0.01,0.01
25,4.0,0.952,0.0,0.43,0.32,0.1,0.01,0.01,-0.01,0.0
26,5.0,0.95,0.011,0.49,0.36,0.14,0.03,0.02,0.01,0.01
27,6.0,0.95,0.025,0.48,0.36,0.14,0.03,0.03,0.01,0.02
28,8.0,0.949,0.051,0.44,0.35,0.1,0.02,0.01,0.01,0.0
