# Case: R.ST6
# Station: 9
# X/H: 4.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.149,-0.007,8.77,5.72,-1.26,2.95,1.25,-1.38,-1.7
3,0.15,-0.152,-0.009,8.91,6.27,-1.95,4.55,2.17,-2.42,-2.82
4,0.2,-0.137,-0.01,10.69,7.59,-2.88,7.07,3.62,-3.42,-3.47
5,0.3,-0.098,-0.019,15.75,10.65,-5.36,12.26,5.26,-5.51,-5.3
6,0.4,-0.047,-0.023,21.36,13.8,-7.19,14.77,5.96,-6.28,-5.06
7,0.5,0.033,-0.034,28.12,15.93,-9.06,8.82,2.68,-2.84,-3.27
8,0.6,0.129,-0.038,29.32,16.46,-9.28,-9.0,-1.62,2.6,-0.64
9,0.7,0.226,-0.044,27.19,15.76,-9.33,-17.56,-5.75,6.65,2.06
10,0.8,0.319,-0.048,22.23,14.49,-8.07,-12.61,-5.94,6.43,3.28
11,0.9,0.395,-0.047,19.91,13.09,-7.37,-9.43,-5.3,5.69,3.37
12,1.0,0.475,-0.045,17.68,11.53,-6.3,-7.86,-4.87,5.27,4.32
13,1.1,0.56,-0.042,16.32,9.1,-4.91,-7.26,-3.96,4.36,3.3
14,1.15,0.596,-0.04,14.82,8.05,-4.23,-8.28,-3.85,4.31,3.2
15,1.2,0.633,-0.038,13.32,7.0,-3.56,-9.29,-3.74,4.27,3.1
16,1.3,0.704,-0.032,9.85,5.01,-2.52,-6.94,-2.55,2.72,2.19
17,1.4,0.751,-0.03,6.8,3.6,-1.7,-3.37,-1.32,1.36,1.43
18,1.5,0.788,-0.028,4.75,2.72,-1.19,-1.38,-0.6,0.7,0.82
19,1.7,0.839,-0.026,3.39,1.9,-0.77,-0.6,-0.18,0.22,0.25
20,2.0,0.897,-0.023,2.19,1.21,-0.47,-0.43,-0.13,0.17,0.13
21,2.4,0.951,-0.017,1.0,0.65,-0.04,-0.17,-0.04,0.06,0.06
22,2.8,0.968,-0.012,0.51,0.41,0.13,0.03,0.02,0.02,0.02
23,3.2,0.966,-0.005,0.47,0.36,0.12,0.02,0.01,0.0,0.0
24,3.6,0.964,-0.001,0.47,0.36,0.13,0.02,0.02,0.0,0.01
25,4.0,0.963,0.0,0.48,0.36,0.12,0.04,0.02,0.0,0.01
26,5.0,0.961,0.011,0.48,0.38,0.14,0.03,0.02,0.01,0.01
27,6.0,0.962,0.025,0.44,0.32,0.11,0.03,0.02,0.0,0.01
28,8.0,0.959,0.051,0.47,0.39,0.12,0.02,0.02,0.01,0.01
