# Case: R.ST6
# Station: 6
# X/H: 1.5
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
7,0.5,-0.022,0.013,4.96,2.65,-0.22,-1.57,-0.21,0.47,0.33
8,0.6,-0.01,0.01,5.07,3.06,-0.49,-0.61,0.05,0.1,-0.21
9,0.7,0.029,0.005,8.22,5.34,-1.6,3.76,2.03,-1.5,-1.82
10,0.8,0.131,-0.007,13.72,9.25,-5.0,1.76,2.31,-2.67,-3.33
11,0.9,0.281,-0.025,15.21,11.1,-6.6,0.02,0.21,0.1,-1.23
12,1.0,0.435,-0.025,15.5,9.91,-5.9,-1.93,-2.13,2.35,1.73
13,1.1,0.592,-0.012,12.94,6.75,-3.67,-6.58,-3.06,3.29,2.6
14,1.15,0.649,-0.007,9.83,5.06,-2.64,-5.13,-2.13,2.21,1.99
15,1.2,0.688,-0.002,7.43,3.94,-1.76,-2.19,-1.02,1.06,1.08
16,1.3,0.743,-0.002,5.14,2.8,-1.29,-0.74,-0.25,0.26,0.33
17,1.4,0.777,-0.002,4.44,2.46,-1.15,-0.46,-0.17,0.14,0.19
18,1.5,0.808,-0.002,3.86,2.26,-1.02,-0.56,-0.15,0.2,0.14
19,1.7,0.859,-0.003,3.17,1.78,-0.83,-0.57,-0.18,0.25,0.16
20,2.0,0.919,-0.002,2.09,1.34,-0.47,-0.39,-0.14,0.19,0.14
21,2.4,0.974,0.002,0.98,0.7,-0.05,-0.1,-0.03,0.05,0.04
22,2.8,0.99,0.004,0.57,0.45,0.08,0.06,0.03,0.01,0.01
23,3.2,0.991,0.007,0.57,0.44,0.08,0.06,0.02,0.0,-0.01
24,3.6,0.99,0.009,0.56,0.45,0.08,0.06,0.04,0.0,0.0
25,4.0,0.99,0.011,0.57,0.45,0.1,0.07,0.05,0.01,0.01
26,5.0,0.988,0.015,0.56,0.46,0.12,0.03,0.03,0.01,0.01
27,6.0,0.993,0.025,0.53,0.42,0.1,0.03,0.02,0.0,0.0
28,8.0,1.001,0.053,0.64,0.52,0.13,-0.02,0.0,-0.01,-0.01
