# Case: R.ST6
# Station: 16
# X/H: 9.1
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.178,-0.023,11.55,8.27,-1.41,-0.31,0.47,-0.24,-0.83
3,0.15,0.195,-0.023,13.72,8.48,-2.51,2.2,1.14,-0.58,-1.19
4,0.2,0.211,-0.027,13.94,9.58,-3.41,0.88,0.83,-0.53,-1.94
5,0.3,0.238,-0.037,14.58,11.98,-4.69,0.77,0.35,-0.06,-1.4
6,0.4,0.27,-0.044,15.49,12.92,-5.79,-0.35,-0.89,0.47,0.42
7,0.5,0.299,-0.047,16.92,13.14,-6.06,-0.35,-1.88,1.83,0.59
8,0.6,0.339,-0.052,16.86,13.15,-6.58,-2.62,-3.09,2.82,2.14
9,0.7,0.373,-0.053,17.81,13.06,-7.03,-4.71,-3.76,3.73,3.21
10,0.8,0.413,-0.051,17.75,12.47,-6.78,-6.6,-4.66,5.64,3.77
11,0.9,0.456,-0.051,16.69,11.44,-5.9,-6.27,-4.81,4.66,4.72
12,1.0,0.494,-0.053,16.27,10.59,-5.65,-9.56,-5.56,6.12,4.96
13,1.1,0.536,-0.048,15.14,9.2,-5.12,-9.46,-5.05,5.5,4.89
14,1.15,0.557,-0.046,14.66,8.7,-4.71,-10.39,-5.01,5.51,4.58
15,1.2,0.578,-0.044,14.19,8.2,-4.29,-11.32,-4.97,5.51,4.27
16,1.3,0.617,-0.04,12.53,6.99,-3.66,-11.65,-4.71,4.88,3.84
17,1.4,0.658,-0.036,10.4,5.73,-3.01,-10.49,-4.17,4.55,3.31
18,1.5,0.691,-0.033,8.3,4.73,-2.41,-8.47,-3.05,3.34,2.5
19,1.7,0.75,-0.028,4.82,2.95,-1.39,-3.23,-1.38,1.52,1.34
20,2.0,0.817,-0.021,2.43,1.55,-0.51,-0.51,-0.18,0.2,0.26
21,2.4,0.872,-0.015,1.17,0.83,-0.08,-0.14,-0.05,0.08,0.1
22,2.8,0.894,-0.01,0.61,0.53,0.1,0.01,0.01,0.01,0.04
23,3.2,0.899,-0.005,0.52,0.41,0.1,0.04,0.03,0.01,0.02
24,3.6,0.9,0.001,0.48,0.38,0.11,0.04,0.03,0.01,0.02
25,4.0,0.901,0.005,0.46,0.36,0.12,0.03,0.02,0.01,0.02
26,5.0,0.903,0.015,0.44,0.33,0.11,0.03,0.02,0.01,0.02
27,6.0,0.904,0.025,0.41,0.31,0.09,0.03,0.02,0.01,0.02
28,8.0,0.904,0.045,0.46,0.34,0.11,0.02,0.02,0.01,0.01
