# Case: R.ST6
# Station: 17
# X/H: 10.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.22,-0.022,9.94,7.84,-0.5,1.4,0.76,-0.44,-0.39
3,0.15,0.224,-0.023,10.66,8.36,-2.13,2.19,1.27,-0.8,-1.38
4,0.2,0.238,-0.027,11.42,9.18,-2.73,2.2,1.33,-1.01,-1.43
5,0.3,0.261,-0.032,12.75,10.98,-3.81,2.3,1.46,-0.85,-1.54
6,0.4,0.287,-0.038,13.98,11.74,-4.94,2.04,0.57,-0.51,-0.72
7,0.5,0.319,-0.043,15.01,12.84,-5.49,0.45,-0.04,0.45,0.4
8,0.6,0.349,-0.042,15.82,12.38,-5.82,-1.87,-1.54,1.93,1.16
9,0.7,0.381,-0.044,16.05,12.27,-5.91,-2.54,-2.81,2.84,2.33
10,0.8,0.417,-0.045,16.5,12.06,-5.98,-4.04,-3.29,3.6,2.97
11,0.9,0.45,-0.043,16.09,11.01,-5.76,-5.02,-3.86,3.74,3.63
12,1.0,0.485,-0.04,16.31,10.6,-5.75,-7.36,-4.67,4.59,4.63
13,1.1,0.527,-0.04,15.51,9.77,-5.07,-8.46,-5.0,4.99,3.79
14,1.15,0.544,-0.038,15.11,9.24,-5.01,-9.72,-5.18,5.25,4.02
15,1.2,0.561,-0.036,14.7,8.71,-4.95,-10.97,-5.37,5.51,4.25
16,1.3,0.599,-0.033,13.26,7.58,-4.09,-11.3,-4.79,5.2,4.19
17,1.4,0.636,-0.028,11.32,6.67,-3.56,-10.3,-4.67,4.66,4.16
18,1.5,0.673,-0.027,9.11,5.3,-2.66,-8.44,-3.58,3.58,2.98
19,1.7,0.731,-0.023,5.7,3.49,-1.51,-4.26,-1.81,1.51,1.54
20,2.0,0.799,-0.016,2.69,1.79,-0.66,-0.73,-0.39,0.44,0.52
21,2.4,0.855,-0.01,1.28,0.85,-0.19,-0.22,-0.05,0.1,0.13
22,2.8,0.882,-0.004,0.59,0.5,0.02,0.04,0.02,0.03,0.05
23,3.2,0.886,0.0,0.44,0.34,0.05,0.05,0.02,0.01,0.02
24,3.6,0.887,0.004,0.42,0.32,0.06,0.05,0.03,0.01,0.03
25,4.0,0.889,0.009,0.42,0.31,0.06,0.06,0.03,0.01,0.03
26,5.0,0.891,0.018,0.41,0.29,0.05,0.05,0.02,0.01,0.02
27,6.0,0.893,0.027,0.39,0.28,0.04,0.05,0.02,0.01,0.01
28,8.0,0.894,0.044,0.4,0.31,0.08,0.02,0.02,0.01,0.02
