# Case: R.ST0 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
4,0.0,22,2.8,1.02,-0.017,0.65,0.43,0.08,0.02,0.01,0.0,0.0
4,0.0,23,3.2,1.019,-0.016,0.57,0.37,0.08,0.03,0.02,0.0,0.0
4,0.0,24,3.6,1.016,-0.016,0.57,0.37,0.11,0.04,0.02,0.0,0.0
4,0.0,25,4.0,1.014,-0.017,0.61,0.39,0.12,0.05,0.02,0.0,0.0
4,0.0,26,5.0,1.009,-0.022,0.6,0.4,0.1,0.04,0.02,-0.01,-0.01
4,0.0,27,6.0,1.007,-0.02,0.58,0.36,0.08,0.05,0.01,-0.01,-0.01
4,0.0,28,7.5,1.007,-0.022,0.56,0.39,0.09,0.03,0.02,-0.01,0.0
4,0.0,29,8.2,0.94,-0.015,1.97,1.37,0.54,-0.41,-0.17,-0.15,-0.12
5,1.0,2,0.1,-0.008,-0.005,3.18,2.94,-0.72,0.0,-0.35,0.14,0.19
5,1.0,3,0.15,-0.017,-0.004,4.71,3.22,0.46,-0.46,-0.14,0.15,0.06
5,1.0,4,0.2,-0.027,-0.001,5.04,3.29,0.21,-0.38,-0.11,0.22,-0.01
5,1.0,5,0.3,-0.035,0.004,5.12,3.49,-0.14,-0.31,-0.21,0.31,0.05
5,1.0,6,0.4,-0.035,0.014,4.5,3.67,-0.43,-0.33,-0.24,0.33,0.31
5,1.0,7,0.5,-0.035,0.022,4.94,2.9,-0.65,-0.48,-0.25,0.32,0.2
5,1.0,8,0.6,-0.027,0.028,4.56,3.0,-0.74,-0.61,-0.23,0.28,0.18
5,1.0,9,0.7,-0.005,0.025,5.03,3.44,-0.92,-0.39,-0.15,-0.1,-0.04
5,1.0,10,0.8,0.081,0.006,9.24,7.38,-3.71,2.63,2.22,-2.73,-2.24
5,1.0,11,0.9,0.292,-0.027,13.8,11.77,-7.05,1.18,0.94,-0.65,-1.0
5,1.0,12,1.0,0.519,-0.033,13.93,10.41,-5.85,-4.18,-2.73,2.91,2.32
5,1.0,13,1.1,0.704,-0.023,6.18,3.79,-1.54,-1.19,-0.49,0.45,0.62
5,1.0,14,1.15,0.74,-0.022,4.87,2.84,-1.25,-0.07,-0.16,0.12,0.25
5,1.0,15,1.2,0.762,-0.023,4.27,2.51,-1.05,-0.21,-0.11,0.09,0.24
5,1.0,16,1.3,0.793,-0.031,3.87,2.26,-0.98,-0.22,-0.11,0.14,0.16
5,1.0,17,1.4,0.827,-0.027,3.38,2.05,-0.82,-0.26,-0.09,0.13,0.15
5,1.0,18,1.5,0.851,-0.031,3.08,1.98,-0.81,-0.26,-0.11,0.14,0.13
5,1.0,19,1.7,0.891,-0.034,2.49,1.57,-0.64,-0.25,-0.11,0.09,0.09
5,1.0,20,2.0,0.942,-0.033,1.76,1.21,-0.44,-0.24,-0.09,0.11,0.09
5,1.0,21,2.4,0.99,-0.031,0.91,0.67,-0.12,-0.11,-0.04,0.05,0.04
5,1.0,22,2.8,1.009,-0.028,0.45,0.36,0.01,0.01,0.01,0.0,0.01
5,1.0,23,3.2,1.003,-0.028,0.41,0.33,0.04,0.02,0.02,0.0,0.0
5,1.0,24,3.6,1.002,-0.026,0.4,0.33,0.03,0.01,0.01,0.0,0.0
5,1.0,25,4.0,1.0,-0.028,0.38,0.3,0.03,0.02,0.01,0.0,0.0
5,1.0,26,5.0,0.997,-0.027,0.36,0.29,0.01,0.02,0.01,0.0,0.0
5,1.0,27,6.0,0.994,-0.027,0.33,0.27,-0.01,0.01,0.01,-0.01,-0.01
5,1.0,28,7.5,0.993,-0.025,0.36,0.3,0.01,0.01,0.01,0.0,0.0
5,1.0,29,8.2,0.919,-0.013,1.83,1.56,0.59,-0.3,-0.19,-0.15,-0.14
6,1.5,2,0.1,-0.069,-0.003,6.34,2.7,-0.33,0.06,-0.07,0.24,-0.11
6,1.5,3,0.15,-0.081,0.004,7.16,2.27,-0.33,0.05,-0.13,-0.01,0.03
6,1.5,4,0.2,-0.085,0.009,6.69,2.35,-0.61,0.04,-0.07,0.0,-0.02
6,1.5,5,0.3,-0.088,0.02,6.75,2.78,-0.84,0.0,-0.08,0.0,0.03
6,1.5,6,0.4,-0.08,0.025,6.53,3.13,-0.84,-0.45,-0.17,0.03,-0.04
6,1.5,7,0.5,-0.062,0.025,6.12,3.44,-1.16,-0.66,-0.08,0.1,-0.03
6,1.5,8,0.6,-0.026,0.02,7.57,4.67,-1.88,-0.16,0.37,-0.48,-0.85
6,1.5,9,0.7,0.055,0.0,10.78,7.49,-3.94,0.97,1.61,-1.59,-2.41
6,1.5,10,0.8,0.208,-0.034,13.89,10.56,-6.08,0.14,0.38,-0.23,-1.87
6,1.5,11,0.9,0.373,-0.046,15.92,11.22,-6.96,-0.82,-0.65,0.99,-0.01
6,1.5,12,1.0,0.554,-0.047,14.37,7.99,-4.69,-4.29,-1.9,1.69,2.06
6,1.5,13,1.1,0.709,-0.039,7.53,3.89,-2.01,-2.71,-1.01,1.16,1.4
6,1.5,14,1.15,0.739,-0.037,6.19,3.12,-1.57,-1.51,-0.56,0.68,0.85
6,1.5,15,1.2,0.768,-0.035,4.84,2.35,-1.12,-0.31,-0.11,0.21,0.3
6,1.5,16,1.3,0.803,-0.037,4.0,2.03,-0.95,-0.3,-0.09,0.13,0.18
6,1.5,17,1.4,0.832,-0.037,3.43,1.79,-0.81,-0.28,-0.1,0.11,0.1
