# Case: R.ST6
# Station: 14
# X/H: 8.1
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.149,-0.022,16.6,9.9,-0.74,-0.33,0.81,0.08,-0.95
3,0.15,0.142,-0.026,16.64,10.49,-3.31,1.06,1.57,-0.96,-2.55
4,0.2,0.16,-0.031,17.33,11.8,-4.24,1.3,1.23,-0.83,-1.84
5,0.3,0.196,-0.041,18.96,14.05,-6.29,-0.61,0.61,-0.4,-2.45
6,0.4,0.241,-0.051,19.68,15.02,-6.89,-2.22,-1.91,1.28,0.43
7,0.5,0.277,-0.054,19.66,15.51,-7.56,-3.74,-3.21,2.46,1.85
8,0.6,0.321,-0.057,20.04,15.25,-7.85,-6.32,-4.01,3.87,3.17
9,0.7,0.365,-0.058,20.23,14.23,-7.85,-7.59,-5.14,5.52,4.18
10,0.8,0.405,-0.058,19.18,13.65,-7.47,-7.93,-5.33,5.66,4.7
11,0.9,0.453,-0.055,19.01,12.41,-6.98,-9.41,-6.36,6.75,5.73
12,1.0,0.5,-0.054,18.08,11.03,-6.27,-10.3,-5.64,6.34,4.76
13,1.1,0.546,-0.05,16.42,9.62,-5.39,-12.03,-5.79,6.72,4.94
14,1.15,0.568,-0.049,15.65,9.06,-5.02,-12.33,-5.75,6.41,4.83
15,1.2,0.591,-0.047,14.88,8.49,-4.65,-12.63,-5.7,6.1,4.72
16,1.3,0.637,-0.044,12.98,7.11,-3.86,-12.92,-5.28,5.79,4.58
17,1.4,0.68,-0.04,10.05,5.63,-3.0,-9.41,-3.61,4.2,3.41
18,1.5,0.718,-0.038,7.55,4.36,-2.11,-6.05,-2.27,2.31,2.04
19,1.7,0.776,-0.033,4.18,2.61,-1.07,-1.66,-0.65,0.78,0.82
20,2.0,0.838,-0.028,2.35,1.45,-0.48,-0.46,-0.14,0.2,0.21
21,2.4,0.894,-0.023,1.11,0.81,-0.13,-0.17,-0.04,0.09,0.07
22,2.8,0.917,-0.017,0.55,0.48,0.02,0.04,0.03,0.02,0.01
23,3.2,0.919,-0.01,0.46,0.4,0.05,0.04,0.03,0.01,0.01
24,3.6,0.919,-0.003,0.43,0.36,0.07,0.04,0.03,0.0,0.01
25,4.0,0.92,0.0,0.44,0.37,0.08,0.05,0.03,0.01,0.01
26,5.0,0.921,0.011,0.44,0.36,0.08,0.05,0.03,0.01,0.01
27,6.0,0.922,0.023,0.43,0.35,0.08,0.05,0.03,0.01,0.01
28,8.0,0.922,0.044,0.42,0.35,0.07,0.04,0.02,0.01,0.0
