# Case: R.ST6
# Station: 11
# X/H: 6.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.047,-0.024,13.85,8.47,-3.62,9.65,4.45,-3.28,-3.65
3,0.15,-0.034,-0.027,16.41,11.27,-4.25,12.46,5.7,-3.89,-4.48
4,0.2,-0.007,-0.035,19.14,12.99,-5.46,12.23,5.23,-3.59,-4.2
5,0.3,0.047,-0.051,23.66,16.17,-7.51,7.96,3.59,-2.03,-3.38
6,0.4,0.106,-0.059,25.88,17.62,-8.41,0.38,-0.16,1.61,-0.6
7,0.5,0.169,-0.064,25.84,18.86,-8.64,-6.46,-3.62,2.73,2.61
8,0.6,0.239,-0.066,25.06,18.33,-8.76,-11.81,-6.8,5.73,4.54
9,0.7,0.306,-0.066,22.67,17.21,-7.99,-11.66,-7.72,6.56,4.6
10,0.8,0.371,-0.064,21.25,15.71,-7.46,-11.82,-7.59,7.21,5.89
11,0.9,0.433,-0.062,19.09,13.75,-6.66,-8.6,-6.95,5.91,5.55
12,1.0,0.494,-0.057,17.26,12.26,-5.83,-10.76,-6.09,6.1,4.8
13,1.1,0.553,-0.052,14.58,10.74,-4.77,-9.2,-5.74,5.15,4.48
14,1.15,0.583,-0.051,13.46,9.72,-4.27,-9.0,-5.11,4.7,3.86
15,1.2,0.612,-0.049,12.33,8.7,-3.77,-8.8,-4.48,4.26,3.24
16,1.3,0.663,-0.044,9.85,6.83,-2.92,-7.0,-3.77,3.32,2.82
17,1.4,0.71,-0.041,7.32,5.41,-2.29,-4.76,-2.76,2.57,2.56
18,1.5,0.747,-0.038,5.4,3.9,-1.55,-2.54,-1.55,1.44,1.53
19,1.7,0.804,-0.036,3.28,2.48,-0.75,-0.62,-0.32,0.31,0.39
20,2.0,0.862,-0.032,2.05,1.55,-0.43,-0.37,-0.19,0.2,0.19
21,2.4,0.917,-0.025,1.0,0.8,-0.03,-0.14,-0.05,0.08,0.06
22,2.8,0.937,-0.018,0.5,0.47,0.13,0.02,0.01,0.0,0.0
23,3.2,0.938,-0.01,0.46,0.43,0.15,0.04,0.03,0.01,0.02
24,3.6,0.938,-0.005,0.47,0.42,0.14,0.04,0.03,0.0,0.01
25,4.0,0.937,-0.001,0.45,0.39,0.09,0.06,0.03,-0.01,-0.01
26,5.0,0.937,0.011,0.44,0.37,0.09,0.05,0.03,-0.01,-0.01
27,6.0,0.936,0.024,0.42,0.36,0.09,0.04,0.03,-0.01,0.0
28,8.0,0.934,0.048,0.4,0.37,0.12,0.01,0.01,0.01,0.01
