# Case: R.ST6
# Station: 5
# X/H: 1.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
10,0.8,0.057,-0.01,7.7,5.41,-2.38,4.57,2.19,-2.28,-3.02
11,0.9,0.231,-0.02,13.84,9.26,-5.64,2.22,1.09,-1.59,-2.08
12,1.0,0.418,-0.022,17.25,8.73,-5.91,-2.07,-1.58,1.66,1.48
13,1.1,0.619,-0.008,11.47,4.49,-2.7,-5.69,-1.94,2.43,1.71
14,1.15,0.673,-0.004,7.55,3.19,-1.54,-1.78,-0.57,0.64,0.75
15,1.2,0.705,-0.006,6.44,3.21,-1.13,-0.47,-0.13,0.12,0.22
16,1.3,0.749,-0.006,5.54,2.78,-1.03,-0.52,-0.1,0.05,0.12
17,1.4,0.779,-0.003,4.84,2.35,-1.04,-0.67,-0.13,0.13,0.08
18,1.5,0.81,-0.004,4.32,2.16,-0.98,-0.64,-0.17,0.15,0.16
19,1.7,0.861,-0.004,3.35,1.78,-0.7,-0.49,-0.13,0.21,0.13
20,2.0,0.92,-0.003,2.36,1.34,-0.32,-0.37,-0.13,0.14,0.08
21,2.4,0.975,0.001,1.07,0.73,-0.01,-0.15,-0.03,0.04,0.03
22,2.8,0.988,0.004,0.55,0.41,0.07,0.04,0.02,0.0,0.0
23,3.2,0.99,0.007,0.53,0.4,0.08,0.04,0.03,0.0,0.0
24,3.6,0.989,0.009,0.51,0.37,0.1,0.06,0.02,0.0,0.0
25,4.0,0.99,0.012,0.47,0.32,0.12,0.04,0.02,0.0,0.0
26,5.0,0.991,0.016,0.44,0.32,0.12,0.03,0.02,0.0,0.0
27,6.0,0.994,0.025,0.35,0.26,0.12,0.02,0.02,0.01,0.02
