# Case: R.ST6 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
1,-4.0,13,1.1,0.661,-0.005,6.32,1.92,-1.15,-0.07,-0.09,0.09,0.13
1,-4.0,14,1.15,0.694,-0.003,5.95,1.91,-1.18,-0.25,-0.08,0.11,0.07
1,-4.0,15,1.2,0.722,-0.003,5.55,1.96,-1.21,-0.52,-0.09,0.16,0.11
1,-4.0,16,1.3,0.766,-0.003,4.86,1.85,-1.15,-0.68,-0.13,0.21,0.12
1,-4.0,17,1.4,0.802,-0.004,4.3,1.74,-1.06,-0.71,-0.14,0.21,0.15
1,-4.0,18,1.5,0.829,-0.003,3.84,1.66,-0.99,-0.61,-0.16,0.23,0.16
1,-4.0,19,1.7,0.881,-0.004,2.92,1.33,-0.7,-0.58,-0.15,0.23,0.17
1,-4.0,20,2.0,0.942,-0.003,1.68,0.83,-0.31,-0.39,-0.12,0.16,0.11
1,-4.0,21,2.4,0.989,-0.001,0.56,0.37,0.07,-0.04,-0.02,0.03,0.03
1,-4.0,22,2.8,0.996,0.002,0.38,0.25,0.11,0.02,0.01,0.0,0.01
1,-4.0,23,3.2,0.997,0.003,0.38,0.23,0.11,0.04,0.01,0.0,0.0
1,-4.0,24,3.6,0.998,0.003,0.39,0.23,0.1,0.05,0.01,0.01,0.01
1,-4.0,25,4.0,0.998,0.003,0.33,0.21,0.08,0.02,0.01,0.0,0.0
1,-4.0,26,5.0,1.0,0.001,0.32,0.21,0.1,0.01,0.0,0.0,0.0
1,-4.0,27,6.0,1.0,0.001,0.32,0.21,0.1,0.01,0.0,0.0,0.0
2,-2.0,13,1.1,0.644,-0.006,6.59,2.11,-1.07,-0.27,-0.11,0.09,0.12
2,-2.0,14,1.15,0.684,-0.001,6.05,1.98,-1.08,-0.29,-0.08,0.12,0.08
2,-2.0,15,1.2,0.711,-0.001,5.67,2.0,-1.25,-0.38,-0.1,0.17,0.11
2,-2.0,16,1.3,0.757,-0.002,5.07,1.92,-1.16,-0.5,-0.1,0.2,0.13
2,-2.0,17,1.4,0.792,-0.002,4.45,1.78,-1.09,-0.59,-0.13,0.19,0.15
2,-2.0,18,1.5,0.818,-0.004,3.98,1.68,-0.92,-0.62,-0.14,0.17,0.15
2,-2.0,19,1.7,0.873,-0.003,2.98,1.33,-0.71,-0.59,-0.15,0.21,0.14
2,-2.0,20,2.0,0.934,-0.002,1.93,0.89,-0.34,-0.45,-0.13,0.16,0.12
2,-2.0,21,2.4,0.986,0.002,0.65,0.41,0.03,-0.08,-0.02,0.03,0.04
2,-2.0,22,2.8,0.996,0.004,0.4,0.25,0.09,0.03,0.01,0.0,0.01
2,-2.0,23,3.2,0.997,0.007,0.44,0.24,0.11,0.07,0.02,0.01,0.0
2,-2.0,24,3.6,0.998,0.007,0.43,0.23,0.09,0.06,0.02,0.0,0.0
2,-2.0,25,4.0,0.998,0.007,0.39,0.22,0.09,0.03,0.01,0.0,0.0
2,-2.0,26,5.0,1.002,0.007,0.37,0.22,0.09,0.03,0.0,0.0,0.0
2,-2.0,27,6.0,1.007,0.008,0.38,0.23,0.1,0.03,0.01,0.01,0.01
2,-2.0,28,8.0,1.008,0.002,0.7,0.49,0.2,-0.12,-0.03,-0.04,-0.03
3,-1.0,13,1.1,0.651,-0.006,6.39,1.93,-1.11,-0.09,-0.11,0.16,0.09
3,-1.0,14,1.15,0.687,-0.002,6.0,2.01,-1.13,-0.27,-0.11,0.21,0.13
3,-1.0,15,1.2,0.712,-0.002,5.69,2.0,-1.16,-0.37,-0.08,0.13,0.07
3,-1.0,16,1.3,0.755,-0.002,5.09,1.91,-1.11,-0.42,-0.13,0.18,0.15
3,-1.0,17,1.4,0.791,-0.003,4.47,1.86,-1.07,-0.67,-0.14,0.21,0.16
3,-1.0,18,1.5,0.821,-0.002,4.14,1.68,-0.98,-0.68,-0.16,0.24,0.14
3,-1.0,19,1.7,0.872,-0.002,3.17,1.38,-0.74,-0.64,-0.15,0.21,0.13
3,-1.0,20,2.0,0.933,-0.001,1.97,0.93,-0.37,-0.45,-0.12,0.15,0.12
3,-1.0,21,2.4,0.983,0.003,0.75,0.45,0.01,-0.11,-0.03,0.04,0.03
3,-1.0,22,2.8,0.994,0.005,0.45,0.29,0.09,0.02,0.0,-0.01,0.0
3,-1.0,23,3.2,0.996,0.008,0.44,0.24,0.11,0.07,0.01,0.01,0.01
3,-1.0,24,3.6,0.996,0.009,0.44,0.23,0.1,0.07,0.01,0.01,0.0
3,-1.0,25,4.0,0.997,0.01,0.4,0.22,0.1,0.04,0.01,0.0,0.0
3,-1.0,26,5.0,1.0,0.011,0.38,0.22,0.09,0.02,0.01,0.0,0.0
3,-1.0,27,6.0,1.006,0.013,0.38,0.22,0.11,0.01,0.0,0.0,0.0
3,-1.0,28,8.0,1.017,0.012,0.87,0.57,0.17,-0.16,-0.04,-0.05,-0.05
4,0.0,13,1.1,0.638,-0.005,6.62,2.31,-0.75,-0.1,-0.16,0.09,0.13
4,0.0,14,1.15,0.675,-0.005,6.35,2.14,-1.0,-0.38,-0.06,0.11,0.08
4,0.0,15,1.2,0.701,-0.005,5.86,1.98,-1.22,-0.14,-0.07,0.1,0.11
4,0.0,16,1.3,0.745,-0.004,5.3,1.94,-1.19,-0.42,-0.13,0.2,0.1
4,0.0,17,1.4,0.782,-0.003,4.61,1.85,-1.1,-0.54,-0.14,0.21,0.14
4,0.0,18,1.5,0.813,-0.003,4.06,1.7,-0.96,-0.66,-0.15,0.23,0.16
4,0.0,19,1.7,0.865,-0.004,3.22,1.45,-0.79,-0.7,-0.18,0.25,0.17
4,0.0,20,2.0,0.927,-0.002,2.1,0.97,-0.38,-0.48,-0.13,0.18,0.13
4,0.0,21,2.4,0.979,0.003,0.76,0.42,-0.03,-0.12,-0.04,0.06,0.04
4,0.0,22,2.8,0.993,0.006,0.41,0.26,0.07,0.03,0.01,0.0,0.0
4,0.0,23,3.2,0.995,0.009,0.39,0.23,0.09,0.03,0.01,0.01,0.0
4,0.0,24,3.6,0.995,0.01,0.39,0.22,0.07,0.04,0.01,0.0,0.0
4,0.0,25,4.0,0.995,0.011,0.36,0.21,0.08,0.03,0.01,0.0,0.0
4,0.0,26,5.0,0.998,0.014,0.32,0.19,0.07,0.02,0.01,0.0,0.0
4,0.0,27,6.0,1.004,0.02,0.3,0.17,0.07,0.02,0.01,0.0,0.0
4,0.0,28,8.0,1.02,0.033,0.78,0.53,0.14,-0.12,-0.04,-0.04,-0.04
5,1.0,10,0.8,0.057,-0.01,7.7,5.41,-2.38,4.57,2.19,-2.28,-3.02
5,1.0,11,0.9,0.231,-0.02,13.84,9.26,-5.64,2.22,1.09,-1.59,-2.08
5,1.0,12,1.0,0.418,-0.022,17.25,8.73,-5.91,-2.07,-1.58,1.66,1.48
5,1.0,13,1.1,0.619,-0.008,11.47,4.49,-2.7,-5.69,-1.94,2.43,1.71
5,1.0,14,1.15,0.673,-0.004,7.55,3.19,-1.54,-1.78,-0.57,0.64,0.75
5,1.0,15,1.2,0.705,-0.006,6.44,3.21,-1.13,-0.47,-0.13,0.12,0.22
5,1.0,16,1.3,0.749,-0.006,5.54,2.78,-1.03,-0.52,-0.1,0.05,0.12
5,1.0,17,1.4,0.779,-0.003,4.84,2.35,-1.04,-0.67,-0.13,0.13,0.08
5,1.0,18,1.5,0.81,-0.004,4.32,2.16,-0.98,-0.64,-0.17,0.15,0.16
5,1.0,19,1.7,0.861,-0.004,3.35,1.78,-0.7,-0.49,-0.13,0.21,0.13
5,1.0,20,2.0,0.92,-0.003,2.36,1.34,-0.32,-0.37,-0.13,0.14,0.08
5,1.0,21,2.4,0.975,0.001,1.07,0.73,-0.01,-0.15,-0.03,0.04,0.03
5,1.0,22,2.8,0.988,0.004,0.55,0.41,0.07,0.04,0.02,0.0,0.0
5,1.0,23,3.2,0.99,0.007,0.53,0.4,0.08,0.04,0.03,0.0,0.0
5,1.0,24,3.6,0.989,0.009,0.51,0.37,0.1,0.06,0.02,0.0,0.0
5,1.0,25,4.0,0.99,0.012,0.47,0.32,0.12,0.04,0.02,0.0,0.0
5,1.0,26,5.0,0.991,0.016,0.44,0.32,0.12,0.03,0.02,0.0,0.0
