# Case: R.ST6
# Station: 13
# X/H: 7.6
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.1,-0.022,18.65,9.43,-1.89,2.96,1.25,-0.51,-1.75
3,0.15,0.096,-0.025,17.71,10.8,-3.17,4.86,2.6,-1.45,-2.94
4,0.2,0.118,-0.028,19.02,12.23,-4.23,2.71,2.43,-1.37,-2.71
5,0.3,0.163,-0.04,20.83,14.63,-6.19,0.5,0.65,-0.22,-1.62
6,0.4,0.208,-0.049,21.78,15.88,-7.45,-2.54,-1.17,0.76,0.29
7,0.5,0.255,-0.056,22.21,16.12,-8.14,-5.01,-3.19,2.61,0.8
8,0.6,0.3,-0.061,21.97,16.19,-8.24,-6.93,-4.67,3.94,3.38
9,0.7,0.347,-0.059,21.05,15.36,-7.85,-6.26,-5.07,4.38,4.63
10,0.8,0.395,-0.058,19.88,14.35,-7.41,-9.06,-6.25,6.04,4.63
11,0.9,0.445,-0.059,18.75,13.12,-6.63,-9.65,-6.34,6.34,5.27
12,1.0,0.496,-0.058,17.99,11.58,-6.3,-10.9,-6.47,7.05,5.54
13,1.1,0.55,-0.053,16.06,10.1,-5.11,-10.34,-5.39,5.52,4.93
14,1.15,0.574,-0.052,15.47,9.38,-4.82,-11.63,-5.7,6.12,4.73
15,1.2,0.597,-0.051,14.88,8.66,-4.52,-12.91,-6.02,6.73,4.54
16,1.3,0.645,-0.046,12.28,6.98,-3.57,-11.73,-4.87,5.07,3.75
17,1.4,0.692,-0.043,9.35,5.57,-2.65,-9.4,-3.63,3.9,3.11
18,1.5,0.727,-0.04,6.53,4.13,-1.64,-4.35,-1.78,1.73,1.52
19,1.7,0.784,-0.035,3.91,2.67,-1.0,-1.55,-0.75,0.8,0.88
20,2.0,0.846,-0.03,2.16,1.55,-0.44,-0.39,-0.15,0.2,0.23
21,2.4,0.902,-0.025,1.03,0.8,-0.02,-0.13,-0.03,0.08,0.07
22,2.8,0.922,-0.019,0.54,0.5,0.13,0.03,0.03,0.02,0.02
23,3.2,0.924,-0.012,0.48,0.43,0.13,0.03,0.02,0.0,0.0
24,3.6,0.925,-0.006,0.5,0.44,0.14,0.06,0.04,0.01,0.01
25,4.0,0.925,-0.003,0.48,0.41,0.13,0.06,0.04,0.01,0.0
26,5.0,0.926,0.01,0.43,0.38,0.12,0.04,0.03,0.0,0.0
27,6.0,0.927,0.023,0.38,0.35,0.11,0.03,0.03,0.0,-0.01
28,8.0,0.927,0.045,0.38,0.34,0.12,0.03,0.03,0.02,0.01
