# Case: R.ST6
# Station: 20
# X/H: 16.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.294,-0.017,7.2,4.35,-0.72,1.95,0.55,-0.18,-0.26
3,0.15,0.314,-0.015,8.0,4.44,-1.04,1.93,0.64,-0.24,-0.41
4,0.2,0.326,-0.016,8.62,4.89,-1.37,2.53,0.86,-0.17,-0.38
5,0.3,0.345,-0.019,9.36,5.81,-1.88,1.91,0.64,-0.35,-0.68
6,0.4,0.364,-0.022,10.06,6.88,-2.51,1.88,0.81,-0.29,-1.0
7,0.5,0.38,-0.024,10.55,7.72,-3.02,1.46,0.58,-0.19,-0.65
8,0.6,0.397,-0.026,11.36,7.94,-3.49,1.15,0.44,0.05,-0.49
9,0.7,0.417,-0.026,11.9,8.57,-3.71,0.52,-0.2,0.06,0.11
10,0.8,0.438,-0.028,12.32,8.53,-3.89,-0.64,-0.36,1.01,0.73
11,0.9,0.46,-0.029,12.73,8.68,-3.85,-1.38,-0.87,1.41,1.25
12,1.0,0.48,-0.027,13.08,8.39,-4.21,-1.36,-1.26,1.39,1.4
13,1.1,0.503,-0.027,12.86,8.08,-3.97,-3.16,-2.0,2.07,1.82
14,1.15,0.516,-0.027,12.8,8.12,-3.98,-3.9,-2.24,2.36,1.94
15,1.2,0.529,-0.026,12.73,8.16,-3.99,-4.65,-2.48,2.66,2.05
16,1.3,0.552,-0.024,12.31,7.75,-3.96,-5.33,-2.94,3.12,2.57
17,1.4,0.577,-0.022,12.25,7.24,-3.56,-6.44,-2.95,2.88,2.28
18,1.5,0.604,-0.019,11.41,6.45,-3.2,-7.5,-2.97,2.98,2.28
19,1.7,0.653,-0.016,9.64,5.35,-2.54,-7.95,-2.94,2.91,2.2
20,2.0,0.723,-0.009,6.05,3.45,-1.62,-5.47,-1.89,1.94,1.31
21,2.4,0.792,0.0,2.34,1.67,-0.58,-1.12,-0.43,0.51,0.41
22,2.8,0.828,0.006,0.98,0.89,-0.13,-0.03,-0.03,0.05,0.08
23,3.2,0.838,0.011,0.65,0.61,0.0,0.05,0.02,0.01,0.03
24,3.6,0.839,0.012,0.61,0.52,0.08,0.07,0.04,0.01,0.03
25,4.0,0.839,0.015,0.54,0.44,0.07,0.04,0.02,0.0,0.01
26,5.0,0.84,0.02,0.5,0.4,0.06,0.04,0.02,0.0,0.01
27,6.0,0.841,0.025,0.45,0.36,0.05,0.03,0.02,0.0,0.01
28,8.0,0.842,0.037,0.41,0.32,0.05,0.03,0.02,0.0,0.01
