# Case: R.ST6
# Station: 3
# X/H: -1.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.651,-0.006,6.39,1.93,-1.11,-0.09,-0.11,0.16,0.09
14,1.15,0.687,-0.002,6.0,2.01,-1.13,-0.27,-0.11,0.21,0.13
15,1.2,0.712,-0.002,5.69,2.0,-1.16,-0.37,-0.08,0.13,0.07
16,1.3,0.755,-0.002,5.09,1.91,-1.11,-0.42,-0.13,0.18,0.15
17,1.4,0.791,-0.003,4.47,1.86,-1.07,-0.67,-0.14,0.21,0.16
18,1.5,0.821,-0.002,4.14,1.68,-0.98,-0.68,-0.16,0.24,0.14
19,1.7,0.872,-0.002,3.17,1.38,-0.74,-0.64,-0.15,0.21,0.13
20,2.0,0.933,-0.001,1.97,0.93,-0.37,-0.45,-0.12,0.15,0.12
21,2.4,0.983,0.003,0.75,0.45,0.01,-0.11,-0.03,0.04,0.03
22,2.8,0.994,0.005,0.45,0.29,0.09,0.02,0.0,-0.01,0.0
23,3.2,0.996,0.008,0.44,0.24,0.11,0.07,0.01,0.01,0.01
24,3.6,0.996,0.009,0.44,0.23,0.1,0.07,0.01,0.01,0.0
25,4.0,0.997,0.01,0.4,0.22,0.1,0.04,0.01,0.0,0.0
26,5.0,1.0,0.011,0.38,0.22,0.09,0.02,0.01,0.0,0.0
27,6.0,1.006,0.013,0.38,0.22,0.11,0.01,0.0,0.0,0.0
28,8.0,1.017,0.012,0.87,0.57,0.17,-0.16,-0.04,-0.05,-0.05
