trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,a1,betaStar
0,0_0,COMPLETED,CenterOfSearchSpace,2.9758942145123113,0.31,0.09
1,1_0,COMPLETED,Sobol,2.986681629205659,0.29589858698844906,0.08575893831253051
2,2_0,COMPLETED,Sobol,3.102147272182917,0.31486814714968203,0.09601818626001477
3,3_0,COMPLETED,Sobol,2.9975409552090158,0.36883742645010353,0.07924193359538913
4,4_0,COMPLETED,Sobol,3.7110323256668356,0.2565206680335104,0.10692948170006275
5,5_0,COMPLETED,BoTorch,3.0276618393602117,0.33657041767514284,0.08769484421892569
6,6_0,COMPLETED,BoTorch,3.156810336775849,0.2747676340420449,0.08972610475808533
7,7_0,COMPLETED,BoTorch,3.0423036058273483,0.372,0.07261780181487447
8,8_0,COMPLETED,BoTorch,3.0882866584301554,0.32489933609412824,0.07572818427341063
9,9_0,COMPLETED,BoTorch,3.014922409528919,0.3099998537647338,0.0860153414099842
10,10_0,COMPLETED,BoTorch,3.0136678510025137,0.372,0.08799991907305524
11,11_0,COMPLETED,BoTorch,2.950768537354247,0.3056952218873983,0.08758807219240233
12,12_0,COMPLETED,BoTorch,3.0617068737589426,0.32178498553880186,0.08522249303368665
13,13_0,COMPLETED,BoTorch,3.001653638897173,0.26792457203220543,0.072
14,14_0,COMPLETED,BoTorch,2.9608165569713893,0.372,0.08231217424888174
15,15_0,COMPLETED,BoTorch,3.063419261096286,0.3013204580497312,0.08962936219150545
16,16_0,COMPLETED,BoTorch,3.0014170400656885,0.36033930026796307,0.08446975813719353
17,17_0,COMPLETED,BoTorch,3.061168496106756,0.2522818163267386,0.072
18,18_0,COMPLETED,BoTorch,3.005153942267757,0.32100214829913065,0.09039150789153645
19,19_0,COMPLETED,BoTorch,2.9990654100811196,0.2971086098340029,0.0870302075319994
20,20_0,COMPLETED,BoTorch,2.9826598424153277,0.36769743635906504,0.08313691781426702
21,21_0,COMPLETED,BoTorch,3.0821040070693915,0.3112576812243768,0.0884432460613754
22,22_0,COMPLETED,BoTorch,2.997334626497941,0.372,0.0810930763973275
23,23_0,COMPLETED,BoTorch,2.9763994661576167,0.372,0.08474761668345575
24,24_0,COMPLETED,BoTorch,3.045588137506144,0.2905505121843828,0.07742627662469198
25,25_0,COMPLETED,BoTorch,3.087356470544809,0.2868431397135056,0.072
26,26_0,COMPLETED,BoTorch,2.9867339070839254,0.35242042711529176,0.09409615307410268
27,27_0,COMPLETED,BoTorch,2.9682244714157435,0.3508836436538046,0.10181221191476601
28,28_0,COMPLETED,BoTorch,3.0150540737665734,0.36796247728423187,0.10148153610374461
29,29_0,COMPLETED,BoTorch,3.029856534071266,0.35555537000601933,0.08926838737465147
30,30_0,COMPLETED,BoTorch,3.102064063220357,0.3075017082552151,0.0911422810238115
31,31_0,COMPLETED,BoTorch,2.989559197024598,0.3072888600652878,0.08725883202801078
32,32_0,COMPLETED,BoTorch,3.038920103913284,0.30753470620817835,0.09483353238310384
33,33_0,COMPLETED,BoTorch,3.3870699292219393,0.3516099781572884,0.108
34,34_0,COMPLETED,BoTorch,2.991037971386363,0.34316416339832356,0.09859625024351858
35,35_0,COMPLETED,BoTorch,3.072522049212918,0.36195954511831824,0.108
36,36_0,COMPLETED,BoTorch,2.980633559372013,0.372,0.09161165221234346
37,37_0,COMPLETED,BoTorch,3.0069441167583015,0.372,0.09381424186866946
38,38_0,COMPLETED,BoTorch,3.029425819032757,0.3485326913079337,0.08502904693393278
39,39_0,COMPLETED,BoTorch,2.987117024914651,0.372,0.08974033512726841
40,40_0,COMPLETED,BoTorch,3.0116307238556344,0.372,0.0865673642451267
41,41_0,COMPLETED,BoTorch,3.0201269491282163,0.3445177777617804,0.0793607720896469
42,42_0,COMPLETED,BoTorch,2.999413165903423,0.35851931359274636,0.08706035164603125
43,43_0,COMPLETED,BoTorch,2.9902492186193603,0.3600986191393034,0.09046981667362793
44,44_0,COMPLETED,BoTorch,3.2043588076929432,0.254871007394992,0.08071251867779126
45,45_0,COMPLETED,BoTorch,3.039098615475475,0.35746737097638015,0.09733784548082505
46,46_0,COMPLETED,BoTorch,3.0104390121994626,0.3511914916709435,0.09739537491380693
47,47_0,COMPLETED,BoTorch,3.0801075893388448,0.3698569757801274,0.0976247116314929
48,48_0,COMPLETED,BoTorch,3.011966239763353,0.30174336683409575,0.08291854127761149
49,49_0,COMPLETED,BoTorch,3.015469661628738,0.35864239009476456,0.07838996599542691
