y,U_0,U_1,U_2
0,0,0,0
7.4e-05,0.529998,-6.73696e-05,0
0.000149199,1.07616,-0.000258982,0
0.000225651,1.60317,-0.000591953,0
0.000303409,2.04358,-0.001045,-9.31334e-22
0.000382531,2.36419,-0.00157453,-1.56328e-21
0.000463072,2.58724,-0.00215661,2.55506e-22
0.000545092,2.74707,-0.00278482,2.3737e-22
0.00062865,2.86734,-0.00345407,-1.15574e-21
0.000713808,2.96203,-0.00415919,-5.05662e-22
0.000800627,3.0394,-0.00489624,1.31873e-21
0.000889173,3.10448,-0.00566263,7.63575e-22
0.000979511,3.1605,-0.00645669,3.98177e-22
0.00107171,3.2096,-0.00727742,9.4818e-22
0.00116584,3.25328,-0.00812424,-7.22008e-25
0.00126196,3.29258,-0.0089969,-1.97026e-21
0.00136016,3.32829,-0.00989538,-1.96796e-21
0.0014605,3.36099,-0.0108198,1.08407e-21
0.00156307,3.39115,-0.0117706,8.3343e-23
0.00166794,3.41912,-0.012748,1.75497e-21
0.00177519,3.44518,-0.0137527,1.03985e-21
0.00188491,3.46956,-0.0147852,-3.29245e-21
0.00199718,3.49245,-0.0158462,1.39993e-21
0.00211208,3.51401,-0.0169365,1.5793e-21
0.0022297,3.53437,-0.0180568,-7.77339e-23
0.00235015,3.55364,-0.019208,6.93322e-23
0.0024735,3.57191,-0.0203911,-6.21723e-23
0.00259987,3.58928,-0.021607,5.60234e-23
0.00272934,3.60581,-0.0228567,-3.30541e-21
0.00286202,3.62156,-0.0241414,-2.1755e-21
0.00299801,3.63659,-0.025462,1.99084e-21
0.00313743,3.65096,-0.0268199,7.70879e-23
0.00328037,3.66469,-0.0282161,-3.76661e-21
0.00342696,3.67783,-0.029652,1.7213e-21
0.00357732,3.69043,-0.0311289,3.56535e-21
0.00373155,3.7025,-0.0326481,1.66295e-21
0.00388979,3.71407,-0.0342111,-1.56562e-21
0.00405216,3.72518,-0.0358193,-1.65967e-21
0.00421879,3.73585,-0.0374742,1.58145e-21
0.00438981,3.7461,-0.0391774,-5.91001e-21
0.00456537,3.75595,-0.0409305,2.70844e-21
0.0047456,3.76542,-0.0427352,2.26672e-22
0.00493064,3.77453,-0.0445933,-2.94796e-21
0.00512065,3.78329,-0.0465066,5.45637e-21
0.00531578,3.79172,-0.0484768,-1.09505e-35
0.00551619,3.79983,-0.0505059,1.10136e-23
0.00572203,3.80764,-0.052596,1.39156e-25
0.00593348,3.81516,-0.054749,-1.08744e-23
0.0061507,3.82241,-0.0569671,-2.36505e-21
0.00637387,3.82938,-0.0592524,4.60019e-21
0.00660317,3.8361,-0.0616073,-6.67552e-21
0.00683878,3.84258,-0.064034,-2.7801e-22
0.0070809,3.84882,-0.0665349,1.33422e-20
0.00732972,3.85484,-0.0691125,-2.05468e-23
0.00758543,3.86063,-0.0717694,2.02108e-23
0.00784826,3.86623,-0.0745083,-4.10374e-21
0.0081184,3.87162,-0.0773317,-8.15097e-21
0.00839607,3.87682,-0.0802426,-7.42877e-23
0.00868151,3.88183,-0.0832438,7.85323e-21
0.00897493,3.88668,-0.0863383,6.97665e-23
0.00927657,3.89135,-0.0895292,-3.83074e-21
0.00958668,3.89586,-0.0928196,-7.37556e-21
0.00990551,3.90022,-0.0962128,-3.76102e-21
0.0102333,3.90442,-0.0997122,7.18634e-21
0.0105703,3.90849,-0.103321,-3.41353e-21
0.0109168,3.91243,-0.107043,-6.9853e-21
0.0112731,3.91623,-0.110882,6.7549e-21
0.0116395,3.91991,-0.114842,1.34361e-20
0.0120162,3.92348,-0.118926,1.07975e-22
0.0124035,3.92694,-0.123139,-1.05218e-22
0.0128018,3.93029,-0.127484,6.43194e-21
0.0132114,3.93354,-0.131966,-6.3018e-21
0.0136326,3.93671,-0.136589,6.07111e-21
0.0140656,3.93978,-0.141358,6.29814e-21
0.014511,3.94278,-0.146278,-1.80013e-20
0.0149689,3.9457,-0.151352,-1.19281e-20
0.0154398,3.94855,-0.156586,1.15729e-20
0.015924,3.95134,-0.161985,5.85454e-21
0.0164219,3.95408,-0.167554,-5.68387e-21
0.0169338,3.95676,-0.173299,-1.43913e-33
0.0174603,3.95939,-0.179224,1.0947e-20
0.0180016,3.96198,-0.185336,1.54105e-22
0.0185582,3.96454,-0.191639,-1.07297e-20
0.0191305,3.96706,-0.198141,-1.04337e-20
0.0197189,3.96957,-0.204847,-2.03141e-22
0.0203239,3.97205,-0.211764,2.04504e-20
0.0209459,3.97452,-0.218897,1.32873e-22
0.0215853,3.97698,-0.226254,-1.00238e-20
0.0222428,3.97944,-0.23384,-9.76952e-21
0.0229186,3.98191,-0.241664,9.52689e-21
0.0236134,3.98439,-0.249731,9.8214e-21
0.0243276,3.98689,-0.25805,-1.12988e-22
0.0250617,3.98943,-0.266627,9.41563e-21
0.0258163,3.992,-0.27547,-9.19926e-21
0.0265918,3.99462,-0.284587,-1.03998e-22
0.0273889,3.99729,-0.293986,1.00213e-22
0.0282081,4.00003,-0.303675,-9.04866e-21
0.0290499,4.00284,-0.313662,1.7668e-20
0.029915,4.00573,-0.323956,8.94709e-21
0.0308038,4.00873,-0.334565,-1.74031e-20
0.0317171,4.01183,-0.345498,8.42382e-21
0.0326554,4.01506,-0.356765,1.71957e-20
0.0336193,4.01842,-0.368373,-1.67958e-20
0.0346095,4.02193,-0.380333,-3.3538e-20
0.0356266,4.0256,-0.392655,1.64604e-20
0.0366713,4.02946,-0.405347,2.65991e-22
0.0377441,4.03351,-0.41842,-1.65904e-20
0.0388458,4.03778,-0.431884,4.13387e-23
0.0399771,4.04228,-0.445748,-3.22374e-20
0.0411386,4.04704,-0.460024,1.58828e-20
0.042331,4.05207,-0.474721,1.60925e-20
0.043555,4.0574,-0.48985,-9.60697e-23
0.0448114,4.06306,-0.505422,1.57165e-20
0.0461008,4.06906,-0.521448,-1.56082e-20
0.0474241,4.07544,-0.537938,-8.12484e-23
0.0487818,4.08222,-0.554904,-1.53091e-20
0.0501748,4.08943,-0.572357,-1.3973e-22
0.0516037,4.0971,-0.590308,1.54443e-20
0.0530694,4.10527,-0.608767,1.51934e-20
0.0545726,4.11397,-0.627747,5.2539e-23
0.056114,4.12324,-0.647258,1.49296e-20
0.0576944,4.13311,-0.667313,-1.48523e-20
0.0593145,4.14362,-0.687921,-6.02804e-20
0.0609752,4.15482,-0.709094,2.9932e-20
0.0626771,4.16675,-0.730844,-2.9802e-20
0.064421,4.17946,-0.753181,-3.00236e-20
0.0662077,4.19298,-0.776116,5.96772e-20
0.0680379,4.20738,-0.79966,5.95882e-20
0.0699124,4.2227,-0.823824,-2.96632e-20
0.0718318,4.23899,-0.848617,-2.97197e-20
0.073797,4.25632,-0.87405,5.93219e-20
0.0758087,4.27473,-0.900133,1.05661e-23
0.0778675,4.2943,-0.926874,6.95657e-23
0.0799742,4.31507,-0.954284,7.372e-23
0.0821295,4.33711,-0.982371,2.96482e-20
0.084334,4.36048,-1.01114,-5.94691e-20
0.0865883,4.38526,-1.04061,-5.93442e-20
0.0888933,4.41151,-1.07077,5.94099e-20
0.0912494,4.4393,-1.10164,-5.94999e-20
0.0936572,4.4687,-1.13322,6.12831e-23
0.0961174,4.49978,-1.16552,5.95612e-20
0.0986305,4.53261,-1.19855,-2.98257e-20
0.101197,4.56727,-1.2323,-2.83057e-24
0.103817,4.60383,-1.26678,2.98658e-20
0.106492,4.64236,-1.30198,-5.99565e-20
0.109222,4.68295,-1.33793,-1.20016e-19
0.112007,4.72565,-1.3746,1.78352e-22
0.114847,4.77056,-1.412,1.20429e-19
0.117744,4.81773,-1.45014,6.02334e-20
0.120696,4.86725,-1.489,-1.30946e-35
0.123706,4.91917,-1.52858,8.4088e-36
0.126772,4.97358,-1.56888,-6.07181e-20
0.129894,5.03054,-1.60989,1.12203e-22
0.133074,5.0901,-1.6516,-8.48419e-23
0.136311,5.15234,-1.694,1.18354e-22
0.139605,5.21731,-1.73708,6.10335e-20
0.142956,5.28506,-1.78084,-6.12576e-20
0.146364,5.35564,-1.82527,2.21065e-22
0.149829,5.42918,-1.87028,-2.40986e-22
0.153351,5.50592,-1.91586,6.37751e-22
0.156929,5.58616,-1.96202,1.25849e-19
0.160563,5.67007,-2.00868,6.34897e-20
0.164253,5.75778,-2.05577,-6.51278e-20
0.167998,5.84937,-2.10329,8.45754e-22
0.171798,5.94495,-2.1512,-8.67984e-22
0.175653,6.04458,-2.19947,-6.64086e-20
0.179561,6.14833,-2.24805,-1.34116e-23
0.183523,6.25624,-2.29691,6.9065e-20
0.187537,6.36832,-2.34602,-7.13236e-20
0.191602,6.4846,-2.39532,-1.40831e-19
0.195719,6.60504,-2.44478,7.17299e-20
0.199885,6.72961,-2.49435,2.1846e-19
0.204101,6.85823,-2.54401,-1.24602e-21
0.208364,6.99082,-2.59369,-1.47981e-19
0.212674,7.12725,-2.64337,-1.50246e-19
0.217031,7.26739,-2.69299,2.69014e-21
0.221432,7.41107,-2.74253,4.59572e-19
0.225876,7.55811,-2.79194,-4.00489e-21
0.230363,7.7083,-2.84118,-1.54572e-19
0.234891,7.86142,-2.89021,-1.24589e-21
0.239458,8.01724,-2.93901,-1.57312e-19
0.244063,8.17551,-2.98753,7.73627e-36
0.248706,8.33597,-3.03575,-1.60363e-19
0.253383,8.49838,-3.08362,1.61976e-19
0.258095,8.66249,-3.13114,1.60473e-19
0.262839,8.82803,-3.17825,-1.61863e-19
0.267614,8.99477,-3.22495,4.1025e-32
0.272418,9.16247,-3.2712,-4.12361e-32
0.277251,9.33089,-3.31698,-3.43356e-32
0.282109,9.49982,-3.36227,-2.75427e-32
0.286992,9.66904,-3.40706,-2.75365e-32
0.291898,9.83836,-3.45132,-1.64857e-19
0.296825,10.0076,-3.49504,-1.41812e-21
0.301772,10.1766,-3.53821,2.78614e-22
0.306737,10.3451,-3.58081,2.19257e-21
0.31172,10.5131,-3.62283,3.27723e-19
0.316717,10.6803,-3.66427,-7.51631e-22
0.321728,10.8468,-3.70513,-1.6312e-19
0.326751,11.0123,-3.74539,-1.23872e-21
0.331785,11.1768,-3.78505,1.6105e-19
0.336828,11.3402,-3.82411,2.02974e-21
0.341879,11.5024,-3.86258,-4.77796e-19
0.346937,11.6633,-3.90044,-1.80859e-21
0.352,11.823,-3.93772,4.72006e-19
0.357066,11.9813,-3.97441,9.84142e-22
0.362135,12.1383,-4.01052,-3.09535e-19
0.367206,12.2938,-4.04606,-1.05203e-21
0.372278,12.448,-4.08104,2.00123e-23
0.377348,12.6008,-4.11547,-1.12574e-21
0.382417,12.7521,-4.14936,1.5204e-19
0.387484,12.9021,-4.18272,-2.36389e-34
0.392547,13.0507,-4.21557,1.4746e-19
0.397606,13.1979,-4.24791,-1.45107e-19
0.40266,13.3437,-4.27977,-2.93524e-19
0.407708,13.4883,-4.31115,1.43882e-19
0.412751,13.6315,-4.34207,2.87488e-19
0.417787,13.7734,-4.37253,1.42623e-19
0.422816,13.914,-4.40256,-1.4025e-19
0.427837,14.0534,-4.43217,-2.80113e-19
0.432851,14.1916,-4.46137,-1.18473e-21
0.437857,14.3287,-4.49018,1.38701e-19
0.442856,14.4647,-4.51863,-1.3554e-19
0.447846,14.5997,-4.54672,-1.09674e-21
0.452829,14.7337,-4.57448,3.60934e-22
0.457804,14.8668,-4.60193,-1.34063e-19
0.462771,14.999,-4.62907,-1.31178e-19
0.467732,15.1304,-4.65592,-2.75942e-22
0.472685,15.2611,-4.68251,2.59485e-19
