y,U_0,U_1,U_2
0,0,0,0
1.37955e-05,1.86377,-8.71567e-05,9.29924e-23
2.92331e-05,3.88182,-0.000274683,-1.69574e-20
4.65113e-05,6.05339,-0.000631475,-6.15757e-22
6.58528e-05,8.16613,-0.00124238,-1.07422e-20
8.75077e-05,9.93989,-0.00217141,1.27066e-20
0.000111757,11.2753,-0.00346964,1.129e-20
0.000138915,12.255,-0.00519808,-2.98212e-20
0.000169336,12.9906,-0.00741674,8.17168e-21
0.000203417,13.5635,-0.010172,2.25792e-20
0.000241604,14.0268,-0.0135075,-8.67098e-21
0.000284398,14.4146,-0.0174727,-4.634e-23
0.000332361,14.7491,-0.022126,3.62185e-20
0.000386126,15.0454,-0.0275364,-7.98871e-21
0.000446401,15.3139,-0.0337837,-2.22517e-20
0.000513985,15.5624,-0.0409599,2.38552e-20
0.000589773,15.7966,-0.04917,1.92296e-21
0.000674771,16.0211,-0.0585325,-1.20899e-20
0.000770111,16.2395,-0.0691809,-8.6036e-21
0.000877061,16.4552,-0.0812646,8.79826e-21
0.000997051,16.6711,-0.0949501,-6.97212e-21
0.00113168,16.89,-0.110423,-1.72881e-20
0.00128277,17.1147,-0.127886,6.29929e-22
0.00145232,17.3483,-0.147564,-3.30529e-20
0.00164263,17.5938,-0.169702,2.88718e-20
0.00185625,17.855,-0.194563,1.69224e-20
0.00209606,18.136,-0.222427,-1.44417e-20
0.0023653,18.4416,-0.253588,4.44935e-20
0.0026676,18.7778,-0.288344,-3.18815e-22
0.00300706,19.1517,-0.326985,-3.05587e-20
0.00338828,19.572,-0.369774,0
0.00381642,20.0495,-0.416909,7.59044e-20
0.0042973,20.5978,-0.468482,-3.27423e-21
0.00483747,21.2333,-0.524413,-1.47125e-19
0.00544427,21.9437,-0.581826,-9.85341e-20
0.00602098,22.6878,-0.636287,-1.13849e-22
0.00660124,23.4574,-0.686765,3.49784e-20
0.00718535,24.2638,-0.733679,1.24154e-19
0.00777365,25.1063,-0.776661,-8.48795e-22
0.00836651,25.9832,-0.815368,-1.06814e-19
0.00896431,26.8916,-0.849499,6.22104e-20
0.00956749,27.8275,-0.878799,4.88751e-20
0.0101765,28.7855,-0.903071,-1.01213e-20
0.0107919,29.7591,-0.922199,4.21525e-22
0.0114142,30.7403,-0.936155,1.09403e-20
0.012044,31.72,-0.945024,-1.99071e-19
0.0126819,32.6879,-0.949076,1.18437e-20
0.0133287,33.63,-0.948884,5.52871e-19
0.0139851,34.5091,-0.945554,3.38782e-19
0.0145992,35.2956,-0.940751,-3.73129e-19
0.0152409,35.9987,-0.93611,-3.69927e-19
0.0159119,36.6213,-0.933149,3.38991e-19
0.016614,37.1576,-0.933071,3.32563e-19
0.0173491,37.6196,-0.936169,-3.30922e-19
0.018119,38.03,-0.941912,-9.73823e-19
0.0189258,38.4122,-0.949383,-3.37018e-19
0.0197718,38.7843,-0.957669,3.18984e-19
0.0206593,39.1585,-0.966045,6.23639e-19
0.0215907,39.5422,-0.974009,1.24737e-18
0.0225687,39.9388,-0.981256,-5.80986e-19
0.023596,40.349,-0.987655,-1.20466e-18
0.0246755,40.7854,-0.99338,2.04419e-20
0.0259626,41.2612,-0.998455,2.62786e-19
0.0273361,41.761,-1.00256,7.49757e-19
0.0288025,42.2666,-1.00574,-1.50411e-19
0.030369,42.7619,-1.00834,-6.42393e-19
0.0320431,43.2012,-1.01018,3.55456e-19
0.033833,43.5192,-1.00948,-7.28298e-20
0.0357475,43.6823,-1.00407,-1.94079e-19
0.0377646,43.7126,-0.994108,2.66277e-19
0.0399122,43.6627,-0.980706,-1.76548e-19
0.0422027,43.5891,-0.964597,-1.07189e-19
0.0446494,43.5422,-0.946855,1.21491e-19
0.0472662,43.5548,-0.928047,-1.95287e-20
0.0500679,43.6271,-0.907738,1.00773e-19
0.05307,43.7232,-0.884485,7.84599e-20
0.0562894,43.7945,-0.856679,-5.52749e-20
0.0597436,43.8229,-0.823769,-1.28452e-20
0.0634517,43.8435,-0.786886,-1.06024e-20
0.0674339,43.8961,-0.747138,3.82929e-21
0.0717118,43.9498,-0.701391,7.52289e-21
0.0763087,43.9844,-0.652189,4.09196e-22
0.0812495,43.9501,-0.597145,1.91322e-20
0.0865609,43.5518,-0.530725,1.96355e-20
0.0922714,42.3679,-0.439492,-5.38733e-20
0.0960782,40.7872,-0.350111,-2.87423e-20
0.0992295,39.379,-0.287589,9.96206e-22
0.101838,38.1668,-0.23635,1.26683e-20
