y,U_0,U_1,U_2
0,0,0,0
1.15767e-05,0.555153,-0.000254408,-8.68524e-23
2.48888e-05,1.19195,-0.00107656,1.06867e-22
4.02163e-05,1.92952,-0.00281472,-6.8263e-22
5.78882e-05,2.69657,-0.00596096,-2.6059e-22
7.82917e-05,3.34835,-0.010729,6.13128e-22
0.000101883,3.8137,-0.0169499,-8.19605e-22
0.000129201,4.13799,-0.0246123,1.03339e-22
0.000160882,4.38199,-0.033939,-1.68329e-21
0.000197681,4.58225,-0.0451796,-1.14712e-21
0.000240493,4.75853,-0.058606,1.70296e-21
0.000290379,4.92227,-0.074555,3.01832e-21
0.000348605,5.08081,-0.0934463,-1.32208e-22
0.000416677,5.23951,-0.115791,-2.42793e-21
0.000496392,5.40275,-0.142205,-3.27752e-21
0.000589899,5.57462,-0.173421,-2.52734e-22
0.000699764,5.75925,-0.210317,2.22529e-21
0.000829066,5.96126,-0.253934,-5.28908e-23
0.000981493,6.18604,-0.305511,1.05851e-20
0.00116147,6.44024,-0.366514,2.81759e-22
0.00137434,6.73238,-0.438674,-9.0776e-21
0.00162648,7.07359,-0.524016,3.7089e-20
0.00192562,7.47892,-0.624886,2.09267e-20
0.00228106,7.96905,-0.743954,-2.07711e-20
0.00270401,8.52822,-0.874046,8.15256e-21
0.00308362,9.09993,-0.999866,1.23635e-20
0.00344943,9.6692,-1.11764,-4.81849e-20
0.0038084,10.2554,-1.2313,2.25934e-20
0.00416715,10.8705,-1.34276,-2.37343e-20
0.00453208,11.5279,-1.45374,-4.4235e-20
0.00490948,12.2428,-1.56574,2.55394e-20
0.00530563,13.0324,-1.67997,-4.62468e-21
0.00572698,13.9169,-1.79738,5.27782e-20
0.00618017,14.9194,-1.91855,-2.11188e-20
0.00667222,16.019,-2.03868,-2.16453e-20
0.0071306,17.1506,-2.15,2.0886e-20
0.00758188,18.2959,-2.25143,-1.93515e-20
0.00802708,19.4669,-2.34465,-6.79981e-21
0.00846704,20.6593,-2.42973,1.40523e-20
0.00890252,21.8687,-2.50672,2.09875e-20
0.00933414,23.0902,-2.57566,-1.85882e-22
0.00976245,24.3182,-2.63658,-8.01743e-21
0.0101879,25.5465,-2.68951,0
0.0106109,26.7681,-2.73452,0
0.0110319,27.9749,-2.77167,-1.41105e-21
0.011451,29.1561,-2.80113,3.54155e-21
0.0118686,30.2976,-2.82317,1.31158e-21
0.0122849,31.3806,-2.83822,-3.64097e-21
0.0127,32.3579,-2.84689,3.41431e-22
0.0130748,33.2029,-2.85056,-2.6795e-21
0.0134728,33.9448,-2.85093,-1.00267e-20
0.0138957,34.5935,-2.84912,-3.21632e-21
0.0143452,35.1427,-2.84614,1.48467e-20
0.0148233,35.6076,-2.84264,5.75507e-21
0.0153318,36.0153,-2.83879,9.31005e-22
0.0158732,36.392,-2.83432,2.53485e-22
0.0164499,36.7565,-2.82888,-5.98492e-21
0.0170647,37.1206,-2.82209,8.18329e-22
0.0177206,37.492,-2.81365,9.20627e-21
0.018421,37.8762,-2.80329,1.60274e-21
0.0191698,38.2771,-2.79079,-5.45756e-21
0.0191698,38.2771,-2.79079,-5.45756e-21
0.0199712,38.7114,-2.77541,8.40163e-22
0.0209503,39.1961,-2.75612,3.73601e-21
0.0220143,39.7195,-2.73296,7.39584e-21
0.0231718,40.2696,-2.70614,-4.44196e-21
0.0244326,40.8469,-2.67532,-5.85198e-21
0.0258078,41.4509,-2.64007,3.26123e-21
0.0273099,42.0783,-2.59983,1.07258e-22
0.0289533,42.7207,-2.55416,2.15359e-20
0.0307544,43.3553,-2.50273,-2.27543e-20
0.0327322,43.9255,-2.44381,2.45997e-21
0.0349085,44.3494,-2.37285,4.32294e-20
0.0373085,44.5725,-2.28518,-2.06815e-20
0.0399613,44.6095,-2.18092,-1.67295e-20
0.0429011,44.5462,-2.06532,-1.179e-21
0.0461675,44.5055,-1.94462,1.79038e-20
0.0498071,44.5656,-1.82311,-2.13402e-20
0.0538744,44.681,-1.69536,-1.89531e-20
0.0584337,44.7393,-1.55847,1.00319e-20
0.0631441,44.7699,-1.42349,-5.90638e-22
0.0680914,44.8178,-1.29015,1.09706e-20
0.0732937,44.8553,-1.15838,5.52589e-21
0.0787704,44.8799,-1.02685,2.97793e-21
0.0845614,44.7682,-0.89597,-3.85264e-21
0.0903998,44.1072,-0.759379,-1.74216e-20
0.0945097,42.7672,-0.623479,5.37134e-21
0.0979158,41.2784,-0.513106,1.00747e-20
0.100739,40.0078,-0.426964,-3.08925e-21
0.103078,38.8588,-0.353657,-1.71791e-21
