y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000296632,7.51646,7.51646,-0.000227014,4.07998e-23
0.000596102,9.55748,9.55748,-0.000505346,-2.4554e-24
0.000900397,10.5238,10.5238,-0.000849923,-7.19775e-23
0.00121153,11.1034,11.1034,-0.00124956,7.22886e-23
0.00153158,11.4949,11.4949,-0.00169744,8.74906e-23
0.00186264,11.7815,11.7815,-0.00219112,-9.73111e-23
0.00220692,12.0041,12.0041,-0.00272978,-8.35575e-23
0.00256668,12.1847,12.1847,-0.00331409,6.97782e-23
0.00294431,12.3363,12.3363,-0.00394597,-2.49092e-23
0.00334229,12.467,12.467,-0.0046284,4.03987e-23
0.00376326,12.5822,12.5822,-0.0053652,5.88754e-23
0.00421,12.6855,12.6855,-0.00616089,-9.35906e-23
0.00468544,12.7795,12.7795,-0.00702068,-3.72815e-23
0.00519274,12.8662,12.8662,-0.00795035,-1.08263e-22
0.00573524,12.9469,12.9469,-0.00895636,2.68444e-23
0.00631651,13.0229,13.0229,-0.0100457,1.08456e-22
0.00694041,13.0949,13.0949,-0.0112262,3.06485e-23
0.00761104,13.1637,13.1636,-0.0125062,1.06968e-24
0.00833284,13.2297,13.2297,-0.0138948,4.54075e-23
0.00911058,13.2936,13.2936,-0.0154019,-1.41766e-23
0.0099494,13.3557,13.3557,-0.0170383,1.67049e-23
0.0108548,13.4163,13.4163,-0.0188156,3.80537e-24
0.0118329,13.4758,13.4758,-0.0207466,-1.84442e-22
0.0128901,13.5344,13.5343,-0.0228448,1.13636e-23
0.0140333,13.5923,13.5923,-0.0251251,2.11669e-22
0.0152702,13.6499,13.6499,-0.0276036,3.7187e-23
0.0166089,13.7073,13.7073,-0.0302977,-9.68361e-23
0.0180584,13.7647,13.7647,-0.0332263,-3.27422e-23
0.0196282,13.8224,13.8224,-0.0364098,8.34174e-23
0.0213288,13.8806,13.8805,-0.0398704,1.14035e-22
0.0231714,13.9393,13.9393,-0.0436319,-8.45074e-23
0.0251682,13.999,13.9989,-0.0477204,-1.14636e-22
0.0273326,14.0597,14.0596,-0.0521639,-9.62429e-26
0.0296789,14.1217,14.1216,-0.0569928,2.14801e-22
0.0322227,14.1852,14.1851,-0.06224,2.60289e-23
0.0349809,14.2506,14.2504,-0.0679411,-2.26777e-22
0.0379719,14.3179,14.3177,-0.0741344,-1.23618e-22
0.0412155,14.3877,14.3875,-0.0808615,1.9839e-23
0.0447333,14.4601,14.4598,-0.0881673,1.00024e-22
0.0485489,14.5355,14.5352,-0.0961,-3.5888e-23
0.0526875,14.6143,14.614,-0.104712,1.71356e-23
0.0571768,14.6969,14.6965,-0.11406,5.93462e-23
0.0620466,14.7838,14.7833,-0.124204,-1.78063e-23
0.0673295,14.8755,14.8748,-0.135208,1.0887e-23
0.0730607,14.9725,14.9717,-0.147144,4.70283e-23
0.0792784,15.0755,15.0746,-0.160087,-1.26143e-22
0.0860241,15.1852,15.1842,-0.174116,2.72831e-22
0.0933428,15.3026,15.3014,-0.189316,2.74862e-22
0.101283,15.4284,15.427,-0.205781,-4.91299e-23
0.109899,15.5637,15.5621,-0.223605,-2.81687e-22
0.119247,15.71,15.7081,-0.242891,9.83804e-23
0.12939,15.8684,15.8662,-0.263748,-1.8224e-22
0.140395,16.0408,16.0382,-0.286287,-1.20335e-21
0.152337,16.2289,16.2259,-0.310624,1.0179e-21
0.165296,16.4351,16.4316,-0.336878,6.69187e-22
0.179357,16.6619,16.6579,-0.36517,-1.52749e-21
0.194615,16.9123,16.9076,-0.395617,-7.92296e-22
0.211171,17.1899,17.1845,-0.428333,8.43891e-22
0.229138,17.4988,17.4926,-0.463422,2.27677e-21
0.248635,17.8439,17.8368,-0.500974,8.86559e-22
0.269793,18.2309,18.2229,-0.54105,-1.35303e-21
0.292753,18.6665,18.6574,-0.583681,-1.37715e-21
0.317669,19.1584,19.148,-0.628846,1.04628e-21
0.344708,19.7069,19.6953,-0.675747,4.06781e-22
0.372405,20.2958,20.283,-0.722356,-1.04269e-21
