y,U_0,U_1,U_2
0,0,0,0
0.000611645,-0.341005,-0.00302482,-3.35362e-22
0.00128281,-0.311723,-0.00587966,-4.16463e-22
0.00203939,-0.279812,-0.00943124,-2.29972e-22
0.00291168,-0.247534,-0.0137078,1.08061e-21
0.00393573,-0.213298,-0.0188181,4.18251e-22
0.00515491,-0.175749,-0.0249433,-2.15008e-22
0.00662186,-0.13363,-0.0323472,-1.14523e-21
0.00840063,-0.0856456,-0.0413617,-6.446e-22
0.0105693,-0.0303737,-0.0523913,2.20205e-22
0.0132229,0.0337974,-0.065926,-1.70041e-21
0.016476,0.108728,-0.0825572,-1.31001e-21
0.0204662,0.196585,-0.102991,1.41392e-21
0.0253562,0.299901,-0.128058,8.37495e-21
0.0313344,0.421635,-0.158715,-5.90053e-21
0.0386145,0.565236,-0.196035,-1.3238e-20
0.0474297,0.734705,-0.241175,5.61382e-21
0.058023,0.934633,-0.295319,6.4767e-21
0.070631,1.17023,-0.359589,0
0.085461,1.44728,-0.434931,-9.74327e-21
0.102665,1.77208,-0.521979,-2.21596e-20
0.122315,2.15123,-0.620941,-1.05667e-20
0.144384,2.5915,-0.731518,3.94239e-20
0.168754,3.09968,-0.852941,1.90262e-20
0.195237,3.6826,-0.984116,-1.85361e-20
0.223631,4.34744,-1.12383,2.3708e-20
0.253785,5.10297,-1.27108,9.53272e-24
0.28567,5.96143,-1.42544,-6.87865e-20
0.319434,6.94089,-1.58729,1.03602e-20
0.355433,8.06792,-1.75802,8.88634e-22
0.394252,9.38161,-1.93856,-1.52093e-21
0.436695,10.9534,-2.13033,2.08175e-20
0.483781,12.8446,-2.33107,-3.87089e-20
0.531799,14.9785,-2.52689,2.88978e-20
0.577166,17.1912,-2.70499,3.53327e-20
0.620228,19.3869,-2.86421,0
0.661304,21.5276,-3.00679,0
0.700681,23.5814,-3.1342,3.29766e-20
0.738613,25.5185,-3.24762,3.31372e-23
0.775323,27.3163,-3.34803,-3.29244e-20
0.811008,28.9754,-3.43562,2.87434e-36
0.845842,30.54,-3.51131,0
0.879979,32.0644,-3.57624,2.35502e-20
0.913555,33.539,-3.62951,-1.69867e-21
0.946694,34.88,-3.66878,-2.19712e-20
0.97951,35.9483,-3.69006,-1.60561e-23
1.01211,36.6583,-3.6935,-1.09623e-20
1.04459,37.1021,-3.68637,-2.71699e-22
1.07704,37.4351,-3.67575,4.17452e-21
1.10959,37.7421,-3.6644,3.09942e-20
1.14238,38.0526,-3.65304,3.12835e-21
1.17551,38.3682,-3.64191,-1.96476e-21
1.20907,38.6821,-3.6305,3.21511e-22
1.24318,38.9922,-3.61847,-1.53989e-19
1.27797,39.2996,-3.60573,-1.80342e-21
1.31357,39.6054,-3.59221,1.23395e-19
1.35015,39.9099,-3.57777,-1.26778e-19
1.38788,40.2135,-3.56221,5.6042e-20
1.42698,40.5181,-3.54539,2.53466e-19
1.46769,40.8269,-3.52712,-5.1476e-20
1.5103,41.1394,-3.50726,-1.21949e-19
1.55515,41.452,-3.48558,-2.23206e-19
1.60265,41.7614,-3.46162,-1.3751e-20
1.65329,42.0617,-3.43476,2.09512e-19
1.70768,42.3457,-3.40344,7.97223e-34
1.76996,42.6084,-3.36388,-8.15861e-20
1.84728,42.8389,-3.31054,5.1563e-20
1.9428,43.0112,-3.23825,1.95247e-19
2.06009,43.0971,-3.14321,-3.52141e-20
2.20301,43.0904,-3.02368,-5.23091e-20
2.37559,43.0293,-2.88204,1.6238e-19
2.58172,42.9946,-2.72523,-1.53103e-19
2.82473,43.0501,-2.55915,-1.54025e-19
3.10691,43.1674,-2.3833,6.34643e-20
3.42888,43.252,-2.19349,4.48944e-20
3.78902,43.284,-1.99598,-4.06735e-20
4.18307,43.3279,-1.80015,-8.73145e-21
4.60398,43.3757,-1.60739,1.39695e-19
5.04218,43.4053,-1.42274,2.50002e-21
5.48633,43.4325,-1.24957,-4.63202e-20
5.92439,43.4529,-1.08996,-7.14509e-20
6.34489,43.4691,-0.945597,2.85883e-20
6.73802,43.4825,-0.817111,2.35736e-20
7.09653,43.4907,-0.704722,-2.93241e-20
7.41603,43.4605,-0.607999,3.19359e-22
7.6949,43.2584,-0.523099,2.02409e-22
7.93391,42.6206,-0.441706,-2.72388e-20
8.13555,41.4071,-0.359229,6.58938e-21
8.30339,39.9593,-0.286409,3.37989e-20
8.44155,38.7089,-0.230655,2.77097e-22
8.55423,37.6683,-0.184847,-3.26004e-20
8.64545,36.7152,-0.147279,-1.22184e-20
8.71885,35.8141,-0.117025,7.05177e-20
8.77763,34.9462,-0.0923136,3.44736e-20
8.82452,34.1012,-0.0724061,-3.46461e-20
8.86181,33.2748,-0.0564182,-1.89425e-20
8.89139,32.4646,-0.0436946,0
8.91482,31.669,-0.0336407,-8.24771e-21
8.93334,30.8859,-0.025756,1.43101e-21
8.94798,30.1128,-0.0196139,4.00752e-21
8.95953,29.3462,-0.0148573,8.20033e-22
8.96863,28.5814,-0.0111911,1.37962e-20
8.97581,27.8126,-0.00837625,7.30656e-21
8.98147,27.0323,-0.0062216,-1.14565e-20
8.98593,26.2314,-0.00457641,-8.90897e-21
8.98944,25.3974,-0.00332304,2.54765e-21
8.9922,24.5131,-0.00237043,0
8.99438,23.5526,-0.00164805,0
8.99609,22.4741,-0.00110083,-5.71928e-22
8.99744,21.204,-0.000690763,1.64119e-22
8.9985,19.572,-0.000405498,7.36047e-22
8.99934,16.6594,-0.000227067,0
9,0,0,0
