y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.00062865,7.82629,-7.82629,-0.000650013,-3.74746e-21
0.00136016,8.51843,-8.51843,-0.00261236,-1.95507e-21
0.0022297,8.75281,-8.75281,-0.00503277,1.79239e-21
0.00328037,8.8674,-8.86739,-0.00791859,6.11268e-21
0.00456537,8.92963,-8.92963,-0.0114824,6.11324e-21
0.0061507,8.96071,-8.96069,-0.0159418,4.05162e-21
0.0081184,8.96859,-8.96857,-0.0215456,4.43218e-21
0.0105703,8.95623,-8.95619,-0.0286015,6.97779e-21
0.0136326,8.92408,-8.924,-0.0374932,-5.34446e-21
0.0174603,8.87113,-8.87099,-0.048695,-3.38607e-20
0.0222428,8.79525,-8.79502,-0.0627871,-2.09362e-20
0.0282081,8.69337,-8.69299,-0.0804698,1.90236e-20
0.0356266,8.56146,-8.56083,-0.102574,-5.16391e-20
0.0448114,8.39446,-8.39343,-0.130066,-6.97599e-20
0.056114,8.1862,-8.18453,-0.16403,6.57539e-20
0.0699124,7.92928,-7.92656,-0.205644,4.06518e-21
0.0865883,7.61494,-7.61055,-0.256118,1.13856e-19
0.106492,7.23313,-7.22606,-0.316614,6.18125e-20
0.129894,6.77275,-6.76139,-0.388137,-9.32287e-21
0.156929,6.22225,-6.20396,-0.471418,8.69915e-21
0.187537,5.57082,-5.54116,-0.566847,-9.11306e-20
0.221432,4.81116,-4.76216,-0.674375,-2.04569e-19
0.258095,3.94405,-3.85994,-0.793456,1.83098e-19
0.296825,2.9889,-2.83249,-0.923167,-1.80486e-19
0.336828,2.03013,-1.68314,-1.06236,-1.96685e-19
0.377348,1.43804,-0.419616,-1.20986,3.76589e-19
0.417787,1.75401,0.949174,-1.36435,-1.85303e-19
0.457804,2.8943,2.43404,-1.5258,-3.78761e-19
0.497368,4.42405,4.07757,-1.69699,2.20882e-19
0.536763,6.21607,5.9213,-1.88004,1.91211e-19
0.576557,8.2553,7.98824,-2.07505,2.61156e-19
0.617561,10.5056,10.2544,-2.27833,-1.55084e-20
0.657495,12.8395,12.5973,-2.47853,-2.61563e-19
0.694189,15.1096,14.8724,-2.66462,2.37792e-19
0.728096,17.2482,17.0136,-2.83374,1.88316e-34
0.759639,19.2383,19.0048,-2.98738,-1.9897e-34
0.789195,21.0757,20.8423,-3.12733,-3.84552e-33
0.817097,22.7734,22.5395,-3.25488,-4.1488e-33
0.843629,24.3755,24.1412,-3.37114,9.80486e-20
0.869035,25.9422,25.7079,-3.47802,9.77701e-20
0.893524,27.5061,27.2726,-3.57602,-1.05579e-19
0.917272,29.0707,28.8387,-3.66473,-5.13299e-20
0.940428,30.6323,30.4025,-3.74476,-4.08135e-21
0.963124,32.1841,31.957,-3.81628,-4.23083e-20
0.98547,33.7113,33.4873,-3.87901,-1.62533e-21
1.00757,35.183,34.9625,-3.93218,-1.7358e-20
1.0295,36.538,36.3212,-3.97418,0
1.05136,37.6709,37.4578,-4.00113,7.56998e-21
1.07328,38.4733,38.2638,-4.01002,1.72664e-19
1.09543,38.9628,38.7564,-4.00452,1.42478e-21
1.11788,39.2786,39.0752,-3.99214,-3.16402e-19
1.14073,39.5323,39.3316,-3.97739,-6.84372e-21
1.16408,39.7671,39.5693,-3.96144,-1.22489e-19
1.18806,39.998,39.803,-3.94455,-2.78385e-19
1.21282,40.2303,40.0382,-3.9268,2.5745e-19
1.23852,40.4664,40.2772,-3.90814,1.68262e-20
1.26537,40.708,40.5218,-3.88846,2.50325e-19
1.29362,40.9566,40.7736,-3.86763,2.51238e-19
1.32357,41.2143,41.0345,-3.84547,-7.14543e-19
1.3556,41.4836,41.3072,-3.82175,-1.38841e-20
1.39015,41.7673,41.5944,-3.7962,2.19561e-20
1.4278,42.0687,41.8996,-3.76843,3.84631e-19
1.46925,42.3914,42.2263,-3.73795,4.358e-19
1.51537,42.7428,42.582,-3.70373,-3.78681e-19
1.56949,43.1397,42.9839,-3.6633,-2.5492e-19
1.63713,43.5966,43.4465,-3.61336,1.67616e-19
1.72128,44.1012,43.958,-3.55042,2.48455e-19
1.82542,44.5953,44.4601,-3.46902,-3.09577e-19
1.95343,44.9724,44.8466,-3.36029,8.51883e-20
2.10949,45.122,45.0073,-3.21466,1.24762e-19
2.29789,45.0205,44.9182,-3.03169,5.61431e-20
2.52268,44.7981,44.7088,-2.82495,-9.77954e-20
2.78715,44.6504,44.5737,-2.61372,-1.44353e-19
3.09333,44.6069,44.5422,-2.39908,1.60545e-20
3.44125,44.5372,44.4838,-2.17651,-1.70504e-19
3.82836,44.4444,44.4012,-1.95585,-1.1949e-21
4.24915,44.3768,44.3425,-1.7417,1.44772e-19
4.69507,44.3131,44.2863,-1.53738,1.31928e-19
5.15501,44.2594,44.2388,-1.3467,6.2766e-22
5.61626,44.215,44.1994,-1.17135,-6.3816e-20
6.06579,44.1794,44.1677,-1.0129,6.68819e-20
6.49173,44.152,44.1433,-0.871843,-6.57833e-21
6.88453,44.1323,44.1259,-0.748017,7.93667e-21
7.2377,44.1147,44.11,-0.64154,3.28619e-20
7.54803,44.046,44.0425,-0.550653,-9.77422e-20
7.81519,43.7237,43.7212,-0.470231,-8.33193e-20
8.04115,42.8302,42.8284,-0.389168,4.60266e-20
8.22941,41.4247,41.4236,-0.310457,5.23611e-20
8.38429,40.0393,40.0386,-0.248163,-5.45076e-20
8.5104,38.9001,38.8996,-0.198593,-3.01435e-20
8.61222,37.8902,37.8899,-0.157946,2.37177e-20
8.69387,36.957,36.9568,-0.125624,-6.05951e-21
8.75901,36.0685,36.0684,-0.0992231,-4.79862e-20
8.81074,35.207,35.2069,-0.0780341,2.72474e-20
8.85169,34.3639,34.3639,-0.0609901,3.42351e-21
8.88402,33.535,33.535,-0.0473998,-2.50436e-20
8.90949,32.7177,32.7176,-0.0366154,1.70951e-20
8.92952,31.9096,31.9096,-0.0281156,6.50445e-34
8.94526,31.1083,31.1083,-0.0214589,5.67236e-23
8.95762,30.3109,30.3109,-0.0162773,-1.18764e-23
8.96731,29.5133,29.5133,-0.0122664,4.59649e-21
8.97491,28.7104,28.7104,-0.00917706,-6.52262e-22
8.98087,27.8952,27.8952,-0.00680773,-8.248e-21
8.98553,27.0587,27.0587,-0.00499746,4.13287e-22
8.98919,26.1889,26.1889,-0.0036192,5.22386e-21
8.99205,25.2682,25.2682,-0.00257357,-2.56473e-22
8.99429,24.2705,24.2705,-0.00178294,-2.13624e-21
8.99605,23.1531,23.1531,-0.00118624,-7.41273e-22
8.99742,21.8413,21.8413,-0.000740905,3.28838e-22
8.9985,20.1614,20.1614,-0.000432331,8.84619e-22
8.99934,17.1701,17.1701,-0.000240166,-1.85491e-22
9,0,0,0,0
