y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000299862,0.669261,-0.66926,-0.00102637,4.29367e-23
0.000611645,0.770304,-0.7703,-0.00228791,2.52451e-23
0.000938257,0.789018,-0.789009,-0.00365855,5.42412e-23
0.00128281,0.791273,-0.791256,-0.00518691,2.32785e-23
0.00164864,0.787746,-0.787715,-0.00687895,1.05536e-22
0.00203939,0.781236,-0.781186,-0.00872122,3.06038e-23
0.00245897,0.77276,-0.772683,-0.0107203,-1.23587e-22
0.00291168,0.762742,-0.76263,-0.0128943,0
0.00340221,0.751366,-0.751207,-0.0152658,-1.50568e-22
0.00393573,0.738693,-0.738472,-0.0178602,-1.4794e-23
0.00451788,0.724721,-0.724418,-0.0207055,1.35774e-22
0.00515491,0.709404,-0.708993,-0.0238331,0
0.00585371,0.692668,-0.692116,-0.0272779,2.15271e-22
0.00662186,0.67442,-0.673683,-0.0310785,1.26933e-23
0.00746775,0.654552,-0.653572,-0.0352778,-3.94784e-22
0.00840063,0.632942,-0.631641,-0.0399232,-4.15367e-22
0.00943074,0.609458,-0.607731,-0.0450671,9.04393e-22
0.0105693,0.583962,-0.581667,-0.0507676,4.18239e-22
0.0118288,0.556316,-0.553255,-0.0570884,-2.46276e-23
0.0132229,0.526387,-0.522285,-0.0640998,2.41427e-23
0.0147664,0.494063,-0.488523,-0.0718789,-6.60545e-22
0.016476,0.459277,-0.451718,-0.0805102,0
0.0183694,0.422055,-0.411593,-0.0900856,1.09793e-35
0.0204662,0.382612,-0.36785,-0.100705,-1.12046e-21
0.0227876,0.341553,-0.320162,-0.112477,-3.07347e-23
0.0253562,0.300303,-0.268177,-0.125519,1.08973e-21
0.0281965,0.261926,-0.211512,-0.139954,-1.04604e-21
0.0313344,0.231865,-0.149752,-0.155915,-1.05101e-21
0.0347975,0.216676,-0.0824495,-0.173541,-1.12041e-21
0.0386145,0.221291,-0.00912147,-0.192977,9.4999e-22
0.0428151,0.248813,0.0707526,-0.214374,4.2069e-21
0.0474297,0.300452,0.157731,-0.237882,2.15502e-21
0.0524889,0.373992,0.252411,-0.263653,-2.04598e-21
0.058023,0.465357,0.35543,-0.291837,-2.05954e-21
0.0640612,0.571459,0.467466,-0.322576,0
0.070631,0.690789,0.589233,-0.355999,-3.5998e-22
0.0777571,0.822877,0.721483,-0.392224,-7.344e-24
0.085461,0.967815,0.865,-0.431347,4.2417e-21
0.0937598,1.12599,1.02059,-0.473441,3.58425e-21
0.102665,1.29797,1.1891,-0.518549,-3.74611e-21
0.112184,1.48441,1.37135,-0.566685,-3.44121e-21
0.122315,1.686,1.56822,-0.617829,1.43384e-20
0.133053,1.9035,1.78055,-0.671926,7.67657e-21
0.144384,2.13763,2.00918,-0.728892,-2.8134e-20
0.156292,2.38915,2.25496,-0.788611,-7.5257e-21
0.168754,2.65881,2.51871,-0.850945,1.39472e-20
0.181745,2.94736,2.80128,-0.915738,-2.9371e-36
0.195237,3.2556,3.10352,-0.98283,5.15125e-34
0.209207,3.58438,3.42634,-1.05207,1.88417e-36
0.223631,3.93463,3.77073,-1.1233,-2.56936e-34
0.238494,4.30744,4.13782,-1.19642,-6.74092e-21
0.253785,4.70413,4.52896,-1.27133,5.38825e-24
0.269507,5.12629,4.94578,-1.348,1.42026e-20
0.28567,5.57588,5.39024,-1.42645,-7.61145e-21
0.3023,6.05531,5.86477,-1.50672,-7.42961e-21
0.319434,6.56754,6.37234,-1.58895,8.24734e-21
0.337123,7.11613,6.91653,-1.67329,-8.59659e-24
0.355433,7.7054,7.50164,-1.75997,-6.17023e-22
0.374445,8.34046,8.13277,-1.84934,-1.64268e-35
0.394252,9.02734,8.81595,-1.9418,-1.64105e-20
0.414962,9.77428,9.55952,-2.03731,7.11227e-22
0.436695,10.5971,10.3795,-2.13601,1.78985e-20
0.459585,11.5187,11.299,-2.23831,-4.32099e-23
0.483781,12.5431,12.3223,-2.34269,-2.23198e-20
0.508144,13.6351,13.414,-2.44542,7.06215e-22
0.531799,14.7513,14.5303,-2.54359,2.2197e-20
0.554792,15.8715,15.6509,-2.63667,1.22721e-20
0.577166,16.9897,16.7697,-2.72498,2.40966e-20
0.598965,18.1022,17.8829,-2.80876,-1.12669e-22
0.620228,19.2059,18.9875,-2.88817,-2.53249e-20
0.640996,20.2972,20.0797,-2.96337,-1.33926e-20
0.661304,21.372,21.1554,-3.03453,-1.32033e-20
0.681189,22.4254,22.2098,-3.10177,-1.42941e-20
0.700681,23.4523,23.2377,-3.16521,-2.87825e-22
0.719813,24.4479,24.2343,-3.22497,6.52735e-22
0.738613,25.4075,25.1947,-3.28115,-3.18772e-22
0.757107,26.3274,26.1154,-3.33389,1.34044e-20
0.775323,27.2056,26.9944,-3.38333,2.88178e-20
0.793282,28.0431,27.8326,-3.42961,-7.32268e-21
0.811008,28.8469,28.6371,-3.47275,-3.0144e-20
0.828522,29.6318,29.4228,-3.51299,8.41476e-21
0.845842,30.4121,30.2041,-3.55056,7.6979e-21
0.862989,31.1909,30.9842,-3.58535,-8.9019e-21
0.879979,31.9638,31.7584,-3.6172,4.52622e-21
0.896829,32.7245,32.5208,-3.64596,1.01218e-20
0.913555,33.4647,33.2627,-3.67138,4.97773e-21
0.930172,34.1719,33.9717,-3.69311,-1.01083e-34
0.946694,34.8291,34.6309,-3.7107,1.17991e-37
0.963136,35.4155,35.2192,-3.72365,0
0.97951,35.9116,35.7172,-3.73164,2.16856e-22
0.99583,36.3094,36.1168,-3.73491,2.33496e-24
1.01211,36.6184,36.4275,-3.73438,3.19122e-21
1.02836,36.8608,36.6715,-3.73124,-3.20967e-21
1.04459,37.0601,36.8722,-3.72649,9.23812e-21
1.06081,37.2333,37.0469,-3.72073,3.55308e-21
1.07704,37.3913,37.2063,-3.71427,-5.9764e-21
1.09329,37.5415,37.358,-3.70747,1.21657e-20
1.10959,37.6906,37.5085,-3.70062,-6.45908e-21
1.12595,37.8428,37.6621,-3.69389,9.80021e-22
1.14238,37.9979,37.8186,-3.68738,-9.03338e-23
1.1589,38.1538,37.9758,-3.68096,-1.33713e-20
1.17551,38.309,38.1323,-3.67449,-2.68763e-20
1.19223,38.463,38.2877,-3.66791,1.37873e-20
1.20907,38.6162,38.4422,-3.6612,-1.02e-21
1.22605,38.7688,38.5962,-3.65438,-1.38501e-20
1.24318,38.9213,38.75,-3.64744,-4.46501e-22
1.26048,39.0737,38.9037,-3.64039,-4.11222e-23
1.27797,39.2263,39.0577,-3.63321,2.82317e-20
1.29566,39.3791,39.2118,-3.6259,5.65477e-20
1.31357,39.5323,39.3663,-3.61845,-9.89704e-22
1.33173,39.6858,39.5212,-3.61084,-8.55613e-20
1.35015,39.8398,39.6766,-3.60306,3.03269e-20
1.36886,39.9943,39.8324,-3.59509,-2.85175e-20
1.38788,40.1493,39.9887,-3.58691,-8.73655e-20
1.40725,40.3046,40.1454,-3.57848,-9.96795e-22
1.42698,40.4604,40.3026,-3.56976,5.70981e-20
1.44712,40.6166,40.4602,-3.56071,1.1483e-19
1.46769,40.7742,40.6192,-3.55131,8.94676e-23
1.48874,40.9345,40.781,-3.54154,-1.15366e-19
1.5103,41.0977,40.9457,-3.53139,6.06469e-20
1.53242,41.2631,41.1126,-3.52084,5.82886e-20
1.55515,41.4299,41.281,-3.50984,-6.05674e-20
1.57854,41.598,41.4506,-3.49835,6.16316e-20
1.60265,41.767,41.6212,-3.48632,1.60238e-21
1.62754,41.9365,41.7923,-3.47366,-8.83068e-22
1.65329,42.1059,41.9635,-3.4603,5.96449e-20
1.67998,42.2746,42.1339,-3.44614,-5.51548e-20
