y,U_0,U_1,U_2
0,0,0,0
0.00062865,-7.82629,-0.000650014,-3.74746e-21
0.00136016,-8.51843,-0.00261236,-1.95506e-21
0.0022297,-8.75281,-0.00503277,1.79239e-21
0.00328037,-8.86739,-0.00791859,6.1127e-21
0.00456537,-8.92963,-0.0114824,6.11325e-21
0.0061507,-8.96069,-0.0159418,4.05163e-21
0.0081184,-8.96857,-0.0215456,4.43217e-21
0.0105703,-8.95619,-0.0286015,6.97776e-21
0.0136326,-8.924,-0.0374932,-5.34447e-21
0.0174603,-8.87099,-0.0486951,-3.38607e-20
0.0222428,-8.79502,-0.0627871,-2.09362e-20
0.0282081,-8.69299,-0.0804698,1.90236e-20
0.0356266,-8.56083,-0.102575,-5.16391e-20
0.0448114,-8.39343,-0.130066,-6.976e-20
0.056114,-8.18453,-0.16403,6.5754e-20
0.0699124,-7.92656,-0.205644,4.06514e-21
0.0865883,-7.61055,-0.256118,1.13857e-19
0.106492,-7.22606,-0.316614,6.18127e-20
0.129894,-6.76139,-0.388137,-9.32276e-21
0.156929,-6.20396,-0.471418,8.69931e-21
0.187537,-5.54117,-0.566847,-9.11303e-20
0.221432,-4.76216,-0.674375,-2.04568e-19
0.258095,-3.85994,-0.793456,1.831e-19
0.296825,-2.83249,-0.923168,-1.80484e-19
0.336828,-1.68314,-1.06236,-1.96685e-19
0.377348,-0.419617,-1.20986,3.76589e-19
0.417787,0.949174,-1.36435,-1.85303e-19
0.457804,2.43404,-1.5258,-3.78761e-19
0.497368,4.07757,-1.69699,2.20883e-19
0.536763,5.9213,-1.88004,1.91212e-19
0.576557,7.98824,-2.07505,2.61156e-19
0.617561,10.2544,-2.27833,-1.55086e-20
0.657495,12.5974,-2.47853,-2.61563e-19
0.694189,14.8724,-2.66462,2.37792e-19
0.728096,17.0136,-2.83374,1.88318e-34
0.759639,19.0048,-2.98738,-1.98966e-34
0.789195,20.8423,-3.12733,-3.84554e-33
0.817097,22.5396,-3.25488,-4.14882e-33
0.843629,24.1412,-3.37114,9.80486e-20
0.869035,25.7079,-3.47802,9.77701e-20
0.893524,27.2726,-3.57602,-1.05579e-19
0.917272,28.8387,-3.66473,-5.133e-20
0.940428,30.4025,-3.74476,-4.0813e-21
0.963124,31.957,-3.81628,-4.23083e-20
0.98547,33.4873,-3.87901,-1.62534e-21
1.00757,34.9625,-3.93219,-1.7358e-20
1.0295,36.3212,-3.97418,0
1.05136,37.4578,-4.00113,7.57003e-21
1.07328,38.2638,-4.01002,1.72664e-19
1.09543,38.7564,-4.00452,1.42483e-21
1.11788,39.0752,-3.99214,-3.16402e-19
1.14073,39.3316,-3.97739,-6.84351e-21
1.16408,39.5693,-3.96144,-1.22489e-19
1.18806,39.803,-3.94455,-2.78386e-19
1.21282,40.0382,-3.92681,2.5745e-19
1.23852,40.2773,-3.90814,1.68252e-20
1.26537,40.5218,-3.88846,2.50324e-19
1.29362,40.7736,-3.86763,2.51238e-19
1.32357,41.0345,-3.84547,-7.14543e-19
