y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000654158,3.01238,-3.01238,0.00241243,-2.02358e-20
0.00147619,3.85629,-3.85629,0.00589698,-1.00914e-20
0.00251518,4.23139,-4.23138,0.0104401,1.01444e-20
0.00383341,4.44218,-4.44215,0.0161934,0
0.00550983,4.57833,-4.57827,0.0235532,2.77945e-20
0.00764438,4.6735,-4.67338,0.0329736,5.30746e-21
0.0103632,4.74197,-4.74175,0.0449865,1.29619e-20
0.0138249,4.79016,-4.78978,0.0602446,-1.24264e-19
0.0182274,4.82069,-4.82002,0.079545,1.12121e-20
0.0238164,4.83403,-4.83289,0.103842,2.29104e-19
0.0308929,4.8292,-4.8273,0.134252,-4.93818e-20
0.0398209,4.80412,-4.80098,0.172034,-1.01079e-19
0.0510323,4.75572,-4.75061,0.218554,6.48591e-21
0.0650269,4.68013,-4.6719,0.275194,1.5522e-19
0.0823633,4.57289,-4.55978,0.343203,3.02578e-19
0.103636,4.42921,-4.40858,0.423468,-4.1525e-19
0.129436,4.24453,-4.2125,0.516207,2.46796e-19
0.160284,4.01528,-3.96623,0.620593,8.09404e-19
0.196544,3.73992,-3.66588,0.734393,-9.82787e-19
0.238324,3.42036,-3.3102,0.853734,-1.47749e-18
0.28537,3.06341,-2.90179,0.973101,-5.27188e-19
0.337003,2.68241,-2.44813,1.08579,2.79879e-20
0.392107,2.2985,-1.96181,1.1849,8.55498e-19
0.449206,1.94146,-1.46004,1.26441,7.9407e-19
0.506624,1.64787,-0.962337,1.32018,0
0.562692,1.45227,-0.485663,1.35034,0
0.615961,1.37236,-0.0392676,1.35474,8.69542e-19
0.66536,1.40118,0.380445,1.33332,-1.88173e-18
0.710271,1.52463,0.797026,1.28417,1.50687e-18
0.75053,1.76025,1.26687,1.20132,3.9902e-19
0.78635,2.20912,1.91289,1.06984,-3.85583e-18
0.818232,3.0888,2.9466,0.870268,2.62148e-18
0.846039,4.54806,4.49818,0.611961,1.5338e-18
0.869723,6.43167,6.4196,0.343164,-1.08437e-18
0.889898,8.4539,8.45229,0.103792,0
0.907141,10.442,10.4412,-0.0967107,0
0.921967,12.3254,12.3225,-0.261475,-5.25986e-19
0.934823,14.0833,14.0777,-0.395931,-2.92094e-19
0.946088,15.7171,15.7089,-0.505538,6.61355e-19
0.956077,17.2382,17.2279,-0.595114,3.17469e-20
0.965047,18.6619,18.6499,-0.66862,-2.11478e-19
0.973211,20.0045,19.9912,-0.729181,1.0345e-20
0.980739,21.2817,21.2674,-0.77919,-5.62623e-21
0.987768,22.5075,22.4926,-0.820452,1.68187e-19
0.99441,23.6945,23.6791,-0.854302,-4.14407e-20
1.00076,24.8534,24.8377,-0.881711,5.94102e-22
1.00688,25.9929,25.9772,-0.903368,-4.53397e-20
1.01284,27.1264,27.1108,-0.919823,1.91366e-19
1.01882,28.2783,28.2629,-0.931464,7.50187e-20
1.025,29.4727,29.4578,-0.93825,-2.03565e-19
1.03144,30.72,30.7056,-0.939742,1.33443e-34
1.03822,32.0176,32.0039,-0.935433,-5.96287e-19
