"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.0508,0,0
-0.21946,6.9686e-06,-3.7618e-23,1.2598e-05,0.0508,1.2598e-05,0
-2.088,-0.00010351,-1.6409e-21,1.2598e-05,0.0508,1.2598e-05,0
nan,nan,nan,1.8393e-05,0.0508,1.8393e-05,0
-4.0716,-0.00099842,5.4829e-21,1.8393e-05,0.0508,1.8393e-05,0
-1.6882,-4.7313e-05,-1.0519e-21,4.1194e-05,0.0508,4.1194e-05,0
-5.1185,-0.002027,3.2898e-21,4.1194e-05,0.0508,4.1194e-05,0
-3.259,-0.00049426,4.7872e-21,6.0036e-05,0.0508,6.0036e-05,0
-6.0695,-0.0037577,6.0065e-21,6.0036e-05,0.0508,6.0036e-05,0
-4.8648,-0.0016234,2.8919e-21,8.2264e-05,0.0508,8.2264e-05,0
-6.7285,-0.0065071,1.4352e-20,8.2264e-05,0.0508,8.2264e-05,0
-6.15,-0.0040937,7.0264e-21,0.00010853,0.0508,0.00010853,0
-7.1601,-0.010256,-2.7772e-21,0.00010853,0.0508,0.00010853,0
-6.9474,-0.0081179,9.0314e-21,0.00013962,0.0508,0.00013962,0
-7.4324,-0.015113,-9.3778e-21,0.00013962,0.0508,0.00013962,0
-7.3725,-0.013684,-9.3732e-21,0.00017647,0.0508,0.00017647,0
-7.5953,-0.021254,8.6271e-22,0.00017647,0.0508,0.00017647,0
-7.5892,-0.020908,-4.6258e-23,0.00022021,0.0508,0.00022021,0
-7.6857,-0.028903,6.2389e-21,0.00022021,0.0508,0.00022021,0
-7.6931,-0.030016,5.159e-21,0.00027223,0.0508,0.00027223,0
-7.7252,-0.038324,-1.1922e-21,0.00027223,0.0508,0.00027223,0
-7.7286,-0.041304,-2.8785e-21,0.00033416,0.0508,0.00033416,0
-7.7254,-0.049846,3.1693e-21,0.00033416,0.0508,0.00033416,0
-7.7155,-0.055148,1.3517e-20,0.00040802,0.0508,0.00040802,0
-7.6917,-0.063874,6.591e-21,0.00040802,0.0508,0.00040802,0
-7.6626,-0.072034,-2.1871e-20,0.0004962,0.0508,0.0004962,0
-7.6262,-0.08091,-3.6941e-20,0.0004962,0.0508,0.0004962,0
-7.5726,-0.092567,-3.618e-20,0.00060163,0.0508,0.00060163,0
-7.5282,-0.10157,-2.2971e-20,0.00060163,0.0508,0.00060163,0
-7.4447,-0.1175,2.2427e-20,0.00072785,0.0508,0.00072785,0
-7.395,-0.12661,3.1819e-20,0.00072785,0.0508,0.00072785,0
-7.2754,-0.14774,1.5569e-20,0.00087914,0.0508,0.00087914,0
-7.2219,-0.15696,1.5851e-20,0.00087914,0.0508,0.00087914,0
-7.0582,-0.18444,3.8432e-20,0.0010607,0.0508,0.0010607,0
-7.0016,-0.19376,2.9314e-20,0.0010607,0.0508,0.0010607,0
-6.7835,-0.22901,-6.7988e-20,0.0012788,0.0508,0.0012788,0
-6.7241,-0.23843,-6.3526e-20,0.0012788,0.0508,0.0012788,0
-6.4373,-0.2832,1.0093e-19,0.0015411,0.0508,0.0015411,0
-6.3752,-0.29272,1.2149e-19,0.0015411,0.0508,0.0015411,0
-5.9999,-0.34924,1.5894e-19,0.0018568,0.0508,0.0018568,0
-5.9344,-0.3589,1.6195e-19,0.0018568,0.0508,0.0018568,0
-5.4425,-0.43005,1.5951e-19,0.0022373,0.0508,0.0022373,0
-5.3728,-0.43989,1.3533e-19,0.0022373,0.0508,0.0022373,0
-4.7231,-0.52957,-2.9816e-19,0.0026962,0.0508,0.0026962,0
-4.6481,-0.53966,-3.1937e-19,0.0026962,0.0508,0.0026962,0
-3.7802,-0.65326,-2.5703e-19,0.0032501,0.0508,0.0032501,0
-3.7021,-0.66321,-2.4224e-19,0.0032501,0.0508,0.0032501,0
-2.6394,-0.79473,8.392e-20,0.0039193,0.0508,0.0039193,0
-2.5524,-0.8052,8.8472e-20,0.0039193,0.0508,0.0039193,0
-1.4737,-0.93214,-7.8393e-20,0.0044796,0.0508,0.0044796,0
-1.3744,-0.94358,-6.5156e-20,0.0044796,0.0508,0.0044796,0
-0.33926,-1.0606,3.5176e-19,0.0049873,0.0508,0.0049873,0
-0.23257,-1.0724,3.43e-19,0.0049873,0.0508,0.0049873,0
0.78388,-1.1836,-1.9685e-19,0.0054531,0.0508,0.0054531,0
0.89892,-1.196,-2.2697e-19,0.0054531,0.0508,0.0054531,0
1.9096,-1.303,-2.3871e-19,0.0058867,0.0508,0.0058867,0
2.0341,-1.3159,-2.2639e-19,0.0058867,0.0508,0.0058867,0
3.0673,-1.4212,-1.9274e-20,0.0062969,0.0508,0.0062969,0
3.2038,-1.4348,-5.2255e-21,0.0062969,0.0508,0.0062969,0
4.2958,-1.5414,1.0654e-20,0.0066919,0.0508,0.0066919,0
4.4461,-1.5558,1.0204e-20,0.0066919,0.0508,0.0066919,0
5.6217,-1.6654,-1.2034e-20,0.0070791,0.0508,0.0070791,0
5.7859,-1.6804,1.282e-20,0.0070791,0.0508,0.0070791,0
7.0582,-1.7939,4.0506e-19,0.0074656,0.0508,0.0074656,0
7.2348,-1.8093,4.4757e-19,0.0074656,0.0508,0.0074656,0
8.6172,-1.9273,6.928e-19,0.0078585,0.0508,0.0078585,0
8.8012,-1.9427,6.6102e-19,0.0078585,0.0508,0.0078585,0
10.262,-2.0619,-9.3386e-20,0.0082644,0.0508,0.0082644,0
10.455,-2.0774,-1.9503e-19,0.0082644,0.0508,0.0082644,0
11.892,-2.1897,-9.6143e-19,0.0086369,0.0508,0.0086369,0
12.095,-2.2052,-9.8725e-19,0.0086369,0.0508,0.0086369,0
13.492,-2.31,-6.0664e-19,0.0089952,0.0508,0.0089952,0
13.699,-2.3252,-5.0337e-19,0.0089952,0.0508,0.0089952,0
15.065,-2.4238,4.8585e-19,0.0093413,0.0508,0.0093413,0
15.274,-2.4387,5.512e-19,0.0093413,0.0508,0.0093413,0
16.603,-2.5316,4.2405e-19,0.0096769,0.0508,0.0096769,0
16.813,-2.5461,3.7587e-19,0.0096769,0.0508,0.0096769,0
18.097,-2.6337,-9.2208e-20,0.010004,0.0508,0.010004,0
18.305,-2.6477,-1.3079e-19,0.010004,0.0508,0.010004,0
19.54,-2.7305,-1.3597e-19,0.010323,0.0508,0.010323,0
19.745,-2.7442,-1.1687e-19,0.010323,0.0508,0.010323,0
20.928,-2.8226,1.1066e-19,0.010635,0.0508,0.010635,0
21.13,-2.8358,1.2752e-19,0.010635,0.0508,0.010635,0
22.263,-2.9101,9.7011e-20,0.010942,0.0508,0.010942,0
22.461,-2.9228,8.7131e-20,0.010942,0.0508,0.010942,0
23.557,-2.9924,6.5736e-21,0.011243,0.0508,0.011243,0
23.753,-3.0045,-1.0403e-20,0.011243,0.0508,0.011243,0
24.835,-3.0689,-1.1792e-19,0.011541,0.0508,0.011541,0
25.033,-3.0802,-1.1632e-19,0.011541,0.0508,0.011541,0
26.12,-3.1391,7.0512e-21,0.011835,0.0508,0.011835,0
26.322,-3.1495,2.0312e-20,0.011835,0.0508,0.011835,0
27.415,-3.2022,4.0491e-20,0.012126,0.0508,0.012126,0
27.62,-3.2115,3.7563e-20,0.012126,0.0508,0.012126,0
28.712,-3.2578,-1.3411e-20,0.012414,0.0508,0.012414,0
28.915,-3.266,-1.8288e-20,0.012414,0.0508,0.012414,0
29.969,-3.3051,-1.8975e-20,0.0127,0.0508,0.0127,0
30.175,-3.3122,-1.5467e-20,0.0127,0.0508,0.0127,0
31.152,-3.3436,1.7772e-20,0.012959,0.0508,0.012959,0
31.354,-3.3496,2.0301e-20,0.012959,0.0508,0.012959,0
32.328,-3.3761,9.7883e-21,0.013235,0.0508,0.013235,0
32.515,-3.3807,-7.4005e-22,0.013235,0.0508,0.013235,0
33.491,-3.4021,-1.0395e-19,0.01353,0.0508,0.01353,0
33.66,-3.4053,-9.4877e-20,0.01353,0.0508,0.01353,0
34.584,-3.42,1.2364e-19,0.013845,0.0508,0.013845,0
34.726,-3.4218,1.1456e-19,0.013845,0.0508,0.013845,0
35.537,-3.4285,-2.3782e-19,0.014183,0.0508,0.014183,0
35.648,-3.4289,-2.6932e-19,0.014183,0.0508,0.014183,0
36.307,-3.4279,-3.2258e-19,0.014544,0.0508,0.014544,0
36.389,-3.4273,-3.0149e-19,0.014544,0.0508,0.014544,0
36.911,-3.4203,7.2104e-20,0.014933,0.0508,0.014933,0
36.972,-3.4191,9.9741e-20,0.014933,0.0508,0.014933,0
37.407,-3.408,1.4358e-19,0.015351,0.0508,0.015351,0
37.456,-3.4066,1.3585e-19,0.015351,0.0508,0.015351,0
37.851,-3.3926,-4.8428e-20,0.015801,0.0508,0.015801,0
37.893,-3.3909,-5.6747e-20,0.015801,0.0508,0.015801,0
38.28,-3.3743,-1.6221e-20,0.016288,0.0508,0.016288,0
38.319,-3.3725,-7.5692e-21,0.016288,0.0508,0.016288,0
38.713,-3.3533,1.2985e-19,0.016814,0.0508,0.016814,0
38.75,-3.3514,1.498e-19,0.016814,0.0508,0.016814,0
39.16,-3.3295,4.5748e-19,0.017385,0.0508,0.017385,0
39.196,-3.3275,4.6761e-19,0.017385,0.0508,0.017385,0
39.641,-3.302,3.8503e-19,0.018006,0.0508,0.018006,0
39.674,-3.3001,3.6377e-19,0.018006,0.0508,0.018006,0
40.176,-3.2697,-1.9538e-19,0.018764,0.0508,0.018764,0
40.208,-3.2677,-2.1219e-19,0.018764,0.0508,0.018764,0
40.755,-3.233,-1.7192e-19,0.0196,0.0508,0.0196,0
40.786,-3.231,-1.8634e-19,0.0196,0.0508,0.0196,0
41.373,-3.1925,-7.8542e-19,0.020525,0.0508,0.020525,0
41.403,-3.1905,-7.9077e-19,0.020525,0.0508,0.020525,0
42.033,-3.1481,-3.5226e-19,0.021552,0.0508,0.021552,0
42.062,-3.1461,-3.2225e-19,0.021552,0.0508,0.021552,0
42.738,-3.0993,6.2463e-19,0.022694,0.0508,0.022694,0
42.765,-3.0974,6.3747e-19,0.022694,0.0508,0.022694,0
43.482,-3.0453,2.6522e-19,0.023967,0.0508,0.023967,0
43.508,-3.0433,2.5247e-19,0.023967,0.0508,0.023967,0
44.251,-2.9849,-9.7709e-20,0.025392,0.0508,0.025392,0
44.274,-2.9829,-9.9833e-20,0.025392,0.0508,0.025392,0
44.996,-2.9162,1.5045e-19,0.026991,0.0508,0.026991,0
45.014,-2.9142,1.498e-19,0.026991,0.0508,0.026991,0
45.619,-2.8342,-1.8243e-19,0.028791,0.0508,0.028791,0
45.631,-2.832,-1.858e-19,0.028791,0.0508,0.028791,0
45.997,-2.7307,-1.0214e-19,0.030824,0.0508,0.030824,0
46.002,-2.7283,-9.8304e-20,0.030824,0.0508,0.030824,0
46.069,-2.601,1.8496e-19,0.033129,0.0508,0.033129,0
46.068,-2.5984,1.8535e-19,0.033129,0.0508,0.033129,0
45.916,-2.4507,-9.356e-20,0.03575,0.0508,0.03575,0
45.914,-2.4482,-9.4737e-20,0.03575,0.0508,0.03575,0
45.735,-2.2938,7.269e-20,0.038742,0.0508,0.038742,0
45.733,-2.2915,7.3596e-20,0.038742,0.0508,0.038742,0
45.666,-2.1369,1.5339e-20,0.042167,0.0508,0.042167,0
45.665,-2.1349,1.4099e-20,0.042167,0.0508,0.042167,0
45.646,-1.9718,-1.2949e-19,0.046103,0.0508,0.046103,0
45.645,-1.97,-1.2969e-19,0.046103,0.0508,0.046103,0
45.588,-1.797,-2.3064e-21,0.050641,0.0508,0.050641,0
