"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
23.314,-2.8635,9.1165e-21,0.0097624,0.0762,0.0097624,0
23.48,-2.8716,9.1052e-21,0.0097624,0.0762,0.0097624,0
24.842,-2.9367,5.1768e-22,0.010188,0.0762,0.010188,0
25.003,-2.9442,0,0.010188,0.0762,0.010188,0
26.304,-3.003,0,0.010611,0.0762,0.010611,0
26.458,-3.0097,2.2895e-22,0.010611,0.0762,0.010611,0
27.688,-3.0625,3.9815e-21,0.011032,0.0762,0.011032,0
27.834,-3.0685,3.5835e-21,0.011032,0.0762,0.011032,0
28.988,-3.1153,-6.6421e-21,0.011451,0.0762,0.011451,0
29.125,-3.1206,-7.0963e-21,0.011451,0.0762,0.011451,0
30.205,-3.1607,-4.2909e-21,0.011869,0.0762,0.011869,0
30.335,-3.1652,-3.487e-21,0.011869,0.0762,0.011869,0
31.353,-3.1978,6.73e-21,0.012285,0.0762,0.012285,0
31.474,-3.2013,6.8866e-21,0.012285,0.0762,0.012285,0
32.408,-3.2253,-7.7186e-22,0.0127,0.0762,0.0127,0
32.523,-3.2279,-8.0156e-22,0.0127,0.0762,0.0127,0
33.334,-3.243,5.593e-21,0.013075,0.0762,0.013075,0
33.438,-3.2446,7.2277e-21,0.013075,0.0762,0.013075,0
34.161,-3.2529,2.5537e-20,0.013473,0.0762,0.013473,0
34.246,-3.2535,2.5928e-20,0.013473,0.0762,0.013473,0
34.88,-3.2555,1.2759e-20,0.013896,0.0762,0.013896,0
34.949,-3.2554,8.9721e-21,0.013896,0.0762,0.013896,0
35.485,-3.2521,-4.372e-20,0.014345,0.0762,0.014345,0
35.54,-3.2515,-4.5303e-20,0.014345,0.0762,0.014345,0
36.001,-3.2447,-1.8781e-20,0.014823,0.0762,0.014823,0
36.046,-3.2438,-1.6663e-20,0.014823,0.0762,0.014823,0
36.468,-3.2349,-2.2418e-21,0.015332,0.0762,0.015332,0
36.508,-3.234,-1.4968e-21,0.015332,0.0762,0.015332,0
36.921,-3.2238,-8.0985e-22,0.015873,0.0762,0.015873,0
36.958,-3.2228,1.4966e-22,0.015873,0.0762,0.015873,0
37.38,-3.2114,2.1671e-20,0.01645,0.0762,0.01645,0
37.416,-3.2104,2.1082e-20,0.01645,0.0762,0.01645,0
37.855,-3.1976,-1.6616e-20,0.017065,0.0762,0.017065,0
37.89,-3.1966,-2.0736e-20,0.017065,0.0762,0.017065,0
38.347,-3.1823,-9.0155e-20,0.017721,0.0762,0.017721,0
38.381,-3.1813,-9.138e-20,0.017721,0.0762,0.017721,0
38.858,-3.1654,-5.194e-20,0.018421,0.0762,0.018421,0
38.891,-3.1643,-4.6937e-20,0.018421,0.0762,0.018421,0
39.388,-3.1467,6.4367e-20,0.01917,0.0762,0.01917,0
39.42,-3.1455,6.765e-20,0.01917,0.0762,0.01917,0
39.956,-3.1252,5.6426e-20,0.019971,0.0762,0.019971,0
39.987,-3.124,5.6241e-20,0.019971,0.0762,0.019971,0
40.585,-3.0996,6.2585e-20,0.02095,0.0762,0.02095,0
40.614,-3.0984,6.2544e-20,0.02095,0.0762,0.02095,0
41.25,-3.0695,5.3836e-20,0.022014,0.0762,0.022014,0
41.277,-3.0682,5.1731e-20,0.022014,0.0762,0.022014,0
