"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.127,0,0
10.412,-0.013808,2.2653e-20,0.0002,0.127,0.0002,0
11.768,-0.039555,-1.1028e-20,0.0004,0.127,0.0004,0
12.384,-0.06774,2.6197e-22,0.0006,0.127,0.0006,0
12.81,-0.096861,-3.428e-21,0.0008,0.127,0.0008,0
13.159,-0.12642,-6.9725e-21,0.001,0.127,0.001,0
13.464,-0.15624,-8.8324e-21,0.0012,0.127,0.0012,0
13.748,-0.18616,-2.3012e-20,0.0014,0.127,0.0014,0
14.017,-0.21612,1.4671e-20,0.0016,0.127,0.0016,0
14.277,-0.24605,2.0265e-20,0.0018,0.127,0.0018,0
14.533,-0.27591,-1.588e-21,0.002,0.127,0.002,0
14.786,-0.30565,9.022e-21,0.0022,0.127,0.0022,0
15.039,-0.33527,4.0592e-20,0.0024,0.127,0.0024,0
15.293,-0.36469,9.6699e-21,0.0026,0.127,0.0026,0
15.55,-0.39388,-1.3115e-20,0.0028,0.127,0.0028,0
15.808,-0.42295,-3.1744e-20,0.003,0.127,0.003,0
16.073,-0.45158,-1.6003e-20,0.0032,0.127,0.0032,0
16.339,-0.48016,2.312e-21,0.0034,0.127,0.0034,0
16.614,-0.50816,4.1756e-20,0.0036,0.127,0.0036,0
16.889,-0.53616,8.1201e-20,0.0038,0.127,0.0038,0
17.176,-0.56343,5.0278e-20,0.004,0.127,0.004,0
17.463,-0.59063,1.3062e-20,0.0042,0.127,0.0042,0
17.759,-0.61729,-3.5834e-20,0.0044,0.127,0.0044,0
18.063,-0.64346,-9.5797e-20,0.0046,0.127,0.0046,0
18.367,-0.66962,-1.5576e-19,0.0048,0.127,0.0048,0
18.674,-0.69386,-1.5222e-19,0.005,0.127,0.005,0
18.982,-0.71765,-1.3405e-19,0.0052,0.127,0.0052,0
19.291,-0.74145,-1.1587e-19,0.0054,0.127,0.0054,0
19.628,-0.76511,-8.1481e-20,0.0056,0.127,0.0056,0
19.973,-0.78873,-4.248e-20,0.0058,0.127,0.0058,0
20.318,-0.81235,-3.4801e-21,0.006,0.127,0.006,0
20.676,-0.83422,1.3635e-20,0.0062,0.127,0.0062,0
21.035,-0.85589,2.8185e-20,0.0064,0.127,0.0064,0
21.394,-0.87755,4.2736e-20,0.0066,0.127,0.0066,0
21.771,-0.89736,7.8949e-20,0.0068,0.127,0.0068,0
22.148,-0.91716,1.153e-19,0.007,0.127,0.007,0
22.527,-0.9368,1.4509e-19,0.0072,0.127,0.0072,0
22.924,-0.95435,9.1945e-20,0.0074,0.127,0.0074,0
23.321,-0.9719,3.8803e-20,0.0076,0.127,0.0076,0
23.721,-0.98912,-1.3014e-20,0.0078,0.127,0.0078,0
24.146,-1.0042,-5.609e-20,0.008,0.127,0.008,0
24.57,-1.0193,-9.9167e-20,0.0082,0.127,0.0082,0
25,-1.0339,-1.2269e-19,0.0084,0.127,0.0084,0
