"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.0127,0,0
0.0030807,1.7883e-06,0,1.2828e-05,0.0127,1.2828e-05,0
0.031594,0.00022729,0,1.2828e-05,0.0127,1.2828e-05,0
nan,nan,nan,1.8634e-05,0.0127,1.8634e-05,0
0.052391,0.0017032,4.9112e-21,1.8634e-05,0.0127,1.8634e-05,0
0.026433,0.00016654,0,4.266e-05,0.0127,4.266e-05,0
0.051258,0.0033609,1.263e-21,4.266e-05,0.0127,4.266e-05,0
0.049834,0.0010505,6.4895e-21,6.3258e-05,0.0127,6.3258e-05,0
0.031425,0.0062856,2.6647e-20,6.3258e-05,0.0127,6.3258e-05,0
0.051464,0.0033304,9.9846e-22,8.8223e-05,0.0127,8.8223e-05,0
-0.021073,0.011432,1.6534e-21,8.8223e-05,0.0127,8.8223e-05,0
0.013124,0.0081465,2.0313e-20,0.0001185,0.0127,0.0001185,0
-0.12009,0.020047,-9.5588e-20,0.0001185,0.0127,0.0001185,0
-0.087425,0.017263,-6.0699e-20,0.00015524,0.0127,0.00015524,0
-0.28264,0.034164,5.052e-20,0.00015524,0.0127,0.00015524,0
-0.27686,0.033658,4.026e-20,0.00019984,0.0127,0.00019984,0
-0.51802,0.056233,1.1843e-19,0.00019984,0.0127,0.00019984,0
-0.5652,0.060898,7.3913e-20,0.00025401,0.0127,0.00025401,0
-0.81943,0.088513,-1.1674e-19,0.00025401,0.0127,0.00025401,0
-0.92938,0.10155,-1.7737e-19,0.00031983,0.0127,0.00031983,0
-1.1639,0.13253,-6.8673e-20,0.00031983,0.0127,0.00031983,0
-1.3269,0.15658,1.9746e-19,0.00039984,0.0127,0.00039984,0
-1.5236,0.18906,2.975e-19,0.00039984,0.0127,0.00039984,0
-1.7211,0.22598,1.2215e-19,0.00049714,0.0127,0.00049714,0
-1.8757,0.25833,5.3956e-21,0.00049714,0.0127,0.00049714,0
-2.0875,0.3089,-1.1776e-19,0.00061549,0.0127,0.00061549,0
-2.2024,0.33969,-1.3502e-19,0.00061549,0.0127,0.00061549,0
-2.409,0.40338,-4.2383e-20,0.0007595,0.0127,0.0007595,0
-2.4897,0.43151,-2.1884e-20,0.0007595,0.0127,0.0007595,0
-2.6736,0.50669,-2.8027e-20,0.00093479,0.0127,0.00093479,0
-2.7263,0.53151,-2.3628e-20,0.00093479,0.0127,0.00093479,0
-2.874,0.61602,1.6543e-20,0.0011482,0.0127,0.0011482,0
-2.905,0.63738,2.0088e-20,0.0011482,0.0127,0.0011482,0
-3.0067,0.72918,1.9399e-21,0.0014081,0.0127,0.0014081,0
-3.0217,0.74725,0,0.0014081,0.0127,0.0014081,0
-3.07,0.84486,0,0.0017247,0.0127,0.0017247,0
-3.0733,0.85998,-3.5108e-21,0.0017247,0.0127,0.0017247,0
-3.0611,0.96217,-5.5657e-20,0.0021105,0.0127,0.0021105,0
-3.0559,0.97473,-5.3705e-20,0.0021105,0.0127,0.0021105,0
-2.9739,1.08,4.7568e-20,0.0025806,0.0127,0.0025806,0
-2.9624,1.0902,1.2592e-19,0.0025806,0.0127,0.0025806,0
-2.7986,1.1958,1.8048e-18,0.0031535,0.0127,0.0031535,0
-2.7824,1.204,1.8479e-18,0.0031535,0.0127,0.0031535,0
-2.5233,1.3048,9.9799e-19,0.003852,0.0127,0.003852,0
-2.5037,1.3109,9.0176e-19,0.003852,0.0127,0.003852,0
-2.1315,1.3986,-1.437e-18,0.0047037,0.0127,0.0047037,0
-2.1106,1.4023,-1.4894e-18,0.0047037,0.0127,0.0047037,0
-1.6623,1.4583,-8.8013e-19,0.0057423,0.0127,0.0057423,0
-1.6397,1.4601,-8.743e-19,0.0057423,0.0127,0.0057423,0
-1.2189,1.4773,-1.1563e-18,0.0065737,0.0127,0.0065737,0
-1.1944,1.4775,-1.1193e-18,0.0065737,0.0127,0.0065737,0
-0.83489,1.471,2.1398e-19,0.0072941,0.0127,0.0072941,0
