y,U_0,U_1,U_2
0,0,0,0
0.000149199,1.46996,-0.000663395,7.11981e-25
0.000303409,1.78469,-0.00133751,1.52221e-24
0.000463072,1.90357,-0.00210229,-1.02561e-26
0.00062865,1.97092,-0.00296149,-5.38309e-25
0.000800627,2.01788,-0.00389757,3.20629e-25
0.000979511,2.05437,-0.00489352,3.20635e-25
0.00116584,2.08461,-0.0059448,-2.13775e-25
0.00136016,2.11077,-0.00705245,-2.13781e-25
0.00156307,2.1341,-0.00821904,7.87479e-25
0.00177519,2.15539,-0.00944758,8.49006e-26
0.00199718,2.17517,-0.0107415,-7.02578e-25
0.0022297,2.19379,-0.0121046,-1.15276e-24
0.0024735,2.21155,-0.013541,9.72215e-25
0.00272934,2.22863,-0.0150553,5.88733e-24
0.00299801,2.24521,-0.0166523,-2.52171e-24
0.00328037,2.26141,-0.0183371,-4.55483e-24
0.00357732,2.27735,-0.0201154,3.35266e-24
0.00388979,2.2931,-0.021993,3.15265e-24
0.00421879,2.30875,-0.0239761,-1.40402e-24
0.00456537,2.32436,-0.0260714,-2.93323e-24
0.00493064,2.33999,-0.0282858,-2.65472e-24
0.00531578,2.3557,-0.0306268,3.53899e-24
0.00572203,2.37153,-0.0331023,8.61336e-24
0.0061507,2.38754,-0.0357206,-3.31869e-24
0.00660317,2.40376,-0.0384905,-7.72397e-24
0.0070809,2.42023,-0.0414214,-5.7464e-26
0.00758543,2.43701,-0.044523,5.23437e-26
0.0081184,2.45411,-0.0478058,-4.88895e-26
0.00868151,2.47159,-0.0512808,7.49015e-24
0.00927657,2.48948,-0.0549595,5.61874e-24
0.00990551,2.50783,-0.0588542,-1.07174e-23
0.0105703,2.52665,-0.0629778,-5.47557e-24
0.0112731,2.54601,-0.0673439,1.51763e-23
0.0120162,2.56593,-0.0719668,-6.27328e-24
0.0128018,2.58645,-0.0768616,-9.90376e-24
0.0136326,2.60762,-0.0820441,6.34844e-24
0.014511,2.62948,-0.0875311,8.78243e-24
0.0154398,2.65206,-0.09334,-5.37152e-24
0.0164219,2.67542,-0.0994893,-2.22262e-23
0.0174603,2.6996,-0.105998,5.20307e-24
0.0185582,2.72464,-0.112887,1.32753e-23
0.0197189,2.7506,-0.120177,-1.47213e-23
0.0209459,2.77753,-0.12789,-8.91623e-24
0.0222428,2.80547,-0.136049,7.72805e-25
0.0236134,2.83447,-0.144679,8.33638e-24
0.0250617,2.86461,-0.153805,9.56392e-25
0.0265918,2.89592,-0.163452,-1.864e-25
0.0282081,2.92848,-0.173648,1.73069e-23
0.029915,2.96234,-0.184422,1.12534e-23
0.0317171,2.99757,-0.195802,-4.84298e-24
0.0336193,3.03423,-0.207818,-3.86091e-23
0.0356266,3.0724,-0.220502,-8.15153e-24
0.0377441,3.11214,-0.233886,1.10498e-23
0.0399771,3.15352,-0.248003,7.41227e-24
0.042331,3.19663,-0.262886,1.98559e-23
0.0448114,3.24154,-0.278569,1.19173e-23
0.0474241,3.28834,-0.295088,-5.24113e-24
0.0501748,3.3371,-0.312479,-2.06779e-23
0.0530694,3.38793,-0.330776,1.26851e-24
0.056114,3.44089,-0.350015,8.83918e-24
0.0593145,3.4961,-0.370234,8.53501e-24
0.0626771,3.55364,-0.391467,1.23421e-25
0.0662077,3.61362,-0.41375,-6.38124e-24
0.0699124,3.67613,-0.437118,1.77146e-23
0.073797,3.74128,-0.461605,1.44219e-23
0.0778675,3.80917,-0.487244,-1.71867e-23
0.0821295,3.87993,-0.514066,-1.59244e-23
0.0865883,3.95365,-0.542101,-1.50851e-23
0.0912494,4.03046,-0.571376,-2.26073e-25
0.0961174,4.11047,-0.601916,3.7007e-23
0.101197,4.19381,-0.633744,3.34962e-25
0.106492,4.28058,-0.666878,-8.02908e-23
0.112007,4.37092,-0.701334,-8.90086e-25
0.117744,4.46495,-0.737123,5.75874e-23
0.123706,4.5628,-0.774253,0
0.129894,4.66458,-0.812725,-8.63881e-23
0.136311,4.77042,-0.852537,-1.31346e-24
0.142956,4.88045,-0.893681,-4.17761e-23
0.149829,4.99479,-0.936143,-1.90739e-24
0.156929,5.11355,-0.979902,9.86166e-23
0.164253,5.23686,-1.02493,-1.19148e-22
0.171798,5.36482,-1.07121,1.48934e-22
0.179561,5.49754,-1.11868,-3.69369e-23
0.187537,5.63511,-1.16731,-1.00156e-22
0.195719,5.77764,-1.21705,-1.28692e-22
0.204101,5.9252,-1.26783,-3.69835e-22
0.212674,6.07787,-1.3196,-2.80599e-23
0.221432,6.23571,-1.37228,-2.59557e-23
0.230363,6.39878,-1.42581,-7.30617e-23
0.239458,6.56711,-1.4801,3.50415e-22
0.248706,6.74073,-1.53508,-1.926e-23
0.258095,6.91965,-1.59065,3.39467e-22
0.267614,7.10388,-1.64673,7.77089e-22
0.277251,7.2934,-1.70323,6.524e-23
0.286992,7.48817,-1.76005,-3.43752e-22
0.296825,7.68815,-1.81711,-7.65891e-22
0.306737,7.89329,-1.87432,1.31078e-23
0.306737,7.89329,-1.87432,1.31078e-23
0.316717,8.10352,-1.93158,-3.5953e-22
0.326751,8.31876,-1.98882,-7.84978e-22
0.336828,8.53891,-2.04594,4.30078e-22
0.346937,8.76389,-2.10286,-3.89034e-22
0.357066,8.99359,-2.15952,-8.67087e-22
0.367206,9.22791,-2.21584,3.87392e-22
0.377348,9.46676,-2.27176,4.35388e-22
0.387484,9.71002,-2.32722,4.47141e-22
0.397606,9.95762,-2.38217,-4.07477e-22
0.407708,10.2095,-2.43657,-4.8807e-22
