y,U_0,U_1,U_2
0.281038,24.008,-0.309197,-9.07801e-23
0.292753,24.1201,-0.321655,-8.76791e-23
0.304956,24.237,-0.334536,-1.3497e-22
0.317669,24.359,-0.347845,-6.21888e-25
0.330912,24.4864,-0.361586,1.81796e-22
0.344708,24.6185,-0.375643,-2.59144e-22
0.358618,24.7528,-0.389722,5.15427e-22
0.372405,24.8872,-0.403583,2.64277e-22
0.386072,25.0213,-0.417167,-4.97167e-22
0.399623,25.1552,-0.430477,-1.60414e-22
0.413064,25.2888,-0.443516,3.06166e-22
0.426397,25.4225,-0.456287,7.04704e-24
0.439627,25.5561,-0.468791,3.60253e-22
0.452757,25.6897,-0.481032,1.23924e-23
0.465792,25.8235,-0.493011,-5.05857e-22
0.478735,25.9575,-0.504732,2.72376e-24
0.491589,26.0917,-0.516196,-3.39203e-22
0.504358,26.2262,-0.527406,1.31692e-22
0.517047,26.3611,-0.538363,4.64847e-22
0.529657,26.4963,-0.54907,1.42253e-24
0.542192,26.6318,-0.559528,-1.30539e-22
0.554656,26.7679,-0.569738,-3.16248e-22
0.567051,26.9043,-0.579703,-1.89532e-22
0.579382,27.0413,-0.589424,1.95469e-24
0.59165,27.1788,-0.598902,5.95116e-23
0.603859,27.3169,-0.608139,5.57398e-22
0.616012,27.4555,-0.617135,-5.66613e-23
0.628112,27.5947,-0.625892,-6.57942e-23
0.640161,27.7346,-0.63441,4.8486e-22
0.652163,27.875,-0.642692,-2.24878e-25
0.66412,28.0162,-0.650736,-6.03966e-22
0.676035,28.158,-0.658544,-1.81871e-22
0.687911,28.3005,-0.666117,-1.75895e-22
0.699751,28.4437,-0.673455,4.1888e-22
0.711556,28.5876,-0.680558,4.19459e-22
0.72333,28.7322,-0.687427,-5.95598e-22
0.735076,28.8776,-0.694062,1.80185e-22
0.746795,29.0238,-0.700462,2.95985e-22
0.75849,29.1707,-0.706629,-1.23356e-22
0.770165,29.3183,-0.712562,-2.4317e-22
0.78182,29.4668,-0.71826,2.38397e-22
0.79346,29.6161,-0.723725,6.27713e-22
0.79346,29.6161,-0.723725,6.27713e-22
0.805085,29.7661,-0.728954,1.17532e-22
0.816699,29.917,-0.733949,6.4825e-23
0.828304,30.0686,-0.738709,5.99717e-23
0.839903,30.221,-0.743233,-1.5334e-22
0.851496,30.3743,-0.74752,-7.74326e-23
0.863088,30.5283,-0.751571,-1.49506e-23
0.87468,30.6832,-0.755384,8.97365e-23
0.886275,30.8388,-0.75896,2.14142e-23
0.897874,30.9953,-0.762297,4.40467e-23
