y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.00136016,7.97956,-7.97956,-0.000793356,-9.95777e-21
0.00328037,8.27011,-8.27011,-0.00904465,2.55518e-20
0.0061507,8.31164,-8.31162,-0.0205117,-2.12035e-20
0.0105703,8.26451,-8.26442,-0.0370506,-6.46895e-20
0.0174603,8.14313,-8.14287,-0.0626874,1.2266e-20
0.0282081,7.93372,-7.93301,-0.102892,-7.82123e-20
0.0448114,7.60692,-7.60501,-0.165048,-2.39716e-19
0.0699124,7.11743,-7.1124,-0.258424,7.99031e-20
0.106492,6.40113,-6.38811,-0.392955,9.40098e-19
0.156929,5.37702,-5.34299,-0.576964,4.85561e-20
0.221432,3.97859,-3.88144,-0.81345,-6.88367e-19
0.296825,2.34883,-1.93901,-1.09712,1.29242e-18
0.377348,1.963,0.487055,-1.41442,-2.34581e-21
0.457804,3.88595,3.41046,-1.7549,-1.15386e-18
0.536763,7.28258,6.95497,-2.12226,7.51973e-19
0.617561,11.4206,11.1374,-2.5087,-9.4251e-20
0.694189,15.8032,15.5377,-2.87538,-1.08234e-19
0.759639,19.8574,19.5991,-3.1883,-5.14353e-19
0.817097,23.3811,23.1257,-3.44427,-8.56863e-19
0.869035,26.5022,26.249,-3.65334,5.32278e-19
0.917272,29.4401,29.1901,-3.82684,2.8348e-19
0.963124,32.3158,32.0709,-3.96952,6.22632e-22
1.00757,35.0658,34.8275,-4.07971,6.42183e-21
1.05136,37.3706,37.1399,-4.14479,-7.28598e-19
1.09543,38.8164,38.5934,-4.15452,-4.52559e-20
1.14073,39.5197,39.3035,-4.12738,6.83402e-19
1.18806,39.9829,39.7731,-4.09019,-8.87696e-35
1.23852,40.4447,40.2413,-4.05106,-1.08875e-18
1.29362,40.9336,40.737,-4.00687,-1.08264e-19
1.3556,41.4607,41.2714,-3.95616,1.78466e-18
1.4278,42.0365,41.8555,-3.8962,1.2028e-19
1.51537,42.686,42.5146,-3.8202,-1.74065e-18
1.63713,43.4418,43.2829,-3.71097,-3.51864e-19
1.82542,44.2321,44.09,-3.53994,5.00186e-19
2.10949,44.7712,44.6513,-3.26881,-3.87304e-19
2.52268,44.7613,44.6679,-2.88222,6.85637e-20
3.09333,44.4223,44.3551,-2.43308,2.40276e-19
3.82836,44.2324,44.1874,-1.98308,1.22748e-33
4.69507,44.158,44.13,-1.55916,-1.23145e-19
5.61626,44.066,44.0497,-1.18689,1.30079e-20
6.49173,44.013,44.004,-0.884332,5.05935e-20
7.2377,43.9368,43.9319,-0.652997,-2.13326e-20
7.81519,43.497,43.4943,-0.479876,1.14542e-19
8.22941,41.9312,41.9299,-0.33181,-4.02671e-20
8.5104,39.4703,39.4697,-0.20975,6.74968e-20
8.69387,37.2394,37.2391,-0.132495,1.67306e-19
8.81074,35.4293,35.4292,-0.0832546,4.83919e-34
8.88402,33.7308,33.7308,-0.0501444,-4.22491e-20
8.92952,32.0807,32.0807,-0.0298579,2.20846e-20
8.95762,30.4559,30.4559,-0.0172818,6.42591e-20
8.97491,28.8259,28.8259,-0.00977569,-8.27223e-21
8.98553,27.1428,27.1428,-0.00535682,8.39373e-21
8.99205,25.3341,25.3341,-0.00279205,9.33825e-21
8.99605,23.2589,23.2589,-0.0014174,-7.74e-21
8.9985,19.9066,19.9066,-0.000780429,5.41146e-22
9,0,0,0,0
