y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.00147619,5.03854,-5.03853,0.00832231,-9.10072e-20
0.00383341,5.60747,-5.60743,0.0199385,-1.50357e-19
0.00764438,5.81528,-5.81513,0.0394045,-1.29042e-19
0.0138249,5.90092,-5.90046,0.0707833,3.46414e-20
0.0238164,5.90326,-5.90194,0.120681,1.04341e-19
0.0398209,5.81896,-5.81534,0.198353,5.6356e-19
0.0650269,5.62465,-5.6152,0.315051,-7.72191e-19
0.103636,5.28499,-5.2615,0.481388,9.05819e-19
0.160284,4.76336,-4.7079,0.700721,8.85079e-19
0.238324,4.04432,-3.92038,0.958903,-4.33623e-18
0.337003,3.17201,-2.90809,1.21658,-1.95343e-19
0.449206,2.2942,-1.74702,1.41339,5.60358e-18
0.562692,1.69088,-0.550282,1.49457,2.81287e-18
0.66536,1.6849,0.6567,1.43054,-1.02971e-17
0.75053,2.54365,2.15802,1.19003,-4.0875e-19
0.818232,4.74525,4.64908,0.741649,7.21242e-18
0.869723,8.28378,8.27433,0.204969,-2.62456e-18
0.907141,12.1395,12.1365,-0.223471,1.88184e-33
0.934823,15.5376,15.5293,-0.502812,1.4921e-33
0.956077,18.4075,18.3947,-0.684534,-7.71496e-34
0.973211,20.8697,20.8541,-0.806607,1.27254e-19
0.987768,23.0578,23.0406,-0.890677,6.68951e-20
1.00076,25.0796,25.0616,-0.948917,-1.21011e-19
1.01284,27.0345,27.0164,-0.988177,4.65779e-19
1.025,29.0473,29.0296,-1.01155,-7.11205e-19
1.03822,31.2414,31.2248,-1.01789,-4.6605e-19
1.05321,33.6556,33.6406,-1.00401,7.71341e-19
1.07107,35.974,35.9607,-0.976362,-1.84668e-18
1.09357,37.579,37.5666,-0.963227,2.8899e-18
1.12354,38.5017,38.4891,-0.980755,-1.42641e-19
1.16554,39.3126,39.2994,-1.01528,-3.10732e-18
1.22689,40.2722,40.2583,-1.05799,1.79344e-18
1.3219,41.4599,41.445,-1.11094,-7.58502e-19
1.47342,42.9698,42.9535,-1.18302,-2.81984e-19
1.71033,44.7257,44.7079,-1.25861,-6.1168e-20
2.06959,45.9317,45.9135,-1.29152,-2.07612e-19
2.59002,45.9993,45.9818,-1.26446,1.74172e-19
3.29629,45.5947,45.5795,-1.17752,-7.02704e-20
4.17441,45.2878,45.276,-1.03292,2.12595e-19
5.15407,45.044,45.0359,-0.850722,-7.61219e-20
6.12229,44.8777,44.8727,-0.663751,1.66065e-20
6.97022,44.7767,44.7739,-0.501132,8.25301e-20
7.63711,44.5842,44.5826,-0.375336,2.00377e-22
8.11843,43.4728,43.4719,-0.26759,7.97436e-22
8.44464,41.1677,41.1673,-0.17034,-4.74273e-20
8.6564,38.7941,38.794,-0.10534,6.82141e-20
8.79007,36.886,36.886,-0.0662385,5.18451e-20
8.87295,35.1392,35.1392,-0.0399527,-6.15597e-20
8.92379,33.4457,33.4457,-0.023919,2.99776e-35
8.95476,31.7639,31.7639,-0.0138726,3.22409e-35
8.97356,30.0611,30.0611,-0.00784011,1.91614e-35
8.98494,28.2921,28.2921,-0.00427545,-7.05013e-21
8.99182,26.3887,26.3887,-0.00220766,4.88761e-21
8.99597,24.2123,24.2123,-0.00110139,8.18195e-21
8.99848,20.7124,20.7124,-0.000591501,-3.74348e-21
9,0,0,0,0
