y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.00121153,11.7736,11.7736,-0.00122767,9.2097e-23
0.00256668,12.9756,12.9756,-0.00318083,1.59514e-22
0.00421,13.5118,13.5118,-0.00589025,1.47814e-21
0.00631651,13.8674,13.8674,-0.00953003,-1.2387e-21
0.00911058,14.1463,14.1463,-0.0145283,5.88822e-22
0.0128901,14.3905,14.3905,-0.0215005,9.10611e-22
0.0180584,14.622,14.622,-0.0312627,-2.19899e-21
0.0251682,14.8563,14.8563,-0.04493,-1.02238e-21
0.0349809,15.1076,15.1074,-0.0640383,1.94926e-22
0.0485489,15.392,15.3917,-0.090696,7.80003e-22
0.0673295,15.7312,15.7307,-0.12777,-8.80425e-22
0.0933428,16.1574,16.1563,-0.179083,2.25365e-21
0.12939,16.7222,16.7202,-0.249564,-4.38174e-21
0.179357,17.5147,17.5111,-0.345332,-2.02168e-21
0.248635,18.6946,18.6883,-0.473193,2.38078e-20
0.344708,20.4293,20.4193,-0.628332,5.7431e-22
0.452757,22.6802,22.6664,-0.783132,5.86174e-21
0.554656,25.2357,25.219,-0.907751,5.81728e-20
0.652163,27.9973,27.9793,-0.994385,-2.08469e-20
0.746795,30.8978,30.8797,-1.04733,-5.66876e-20
0.839903,33.6596,33.6422,-1.07238,-1.10574e-21
0.932723,35.9323,35.9157,-1.08345,-4.64515e-20
1.02641,37.4944,37.4781,-1.09451,-6.6572e-20
1.12205,38.4582,38.4419,-1.11115,-2.65346e-20
1.22066,39.1726,39.156,-1.13092,2.77345e-19
1.32317,39.8086,39.7917,-1.14871,7.99344e-20
1.43043,40.3706,40.3535,-1.16354,2.66386e-19
1.54318,40.8496,40.8323,-1.17563,-2.07852e-19
1.66213,41.2258,41.2085,-1.1842,-4.52205e-19
1.78802,41.4927,41.4754,-1.18852,-2.4981e-19
1.92173,41.6696,41.6524,-1.18887,-2.87562e-19
2.06456,41.7771,41.76,-1.18536,4.0952e-19
2.23946,41.8216,41.8048,-1.17598,2.98183e-19
2.48863,41.7963,41.7801,-1.15559,2.73692e-20
2.83997,41.7223,41.7071,-1.11825,-1.07034e-19
3.3204,41.7053,41.6916,-1.06032,-7.85852e-21
3.94358,41.8545,41.8429,-0.979334,8.31053e-20
4.6936,42.0732,42.0641,-0.86718,-7.10761e-20
5.51581,42.1922,42.1857,-0.730299,4.39252e-20
6.32816,42.2647,42.2605,-0.590949,5.98104e-20
7.0517,42.279,42.2764,-0.463575,-9.99473e-20
7.63878,41.952,41.9504,-0.355642,4.32836e-21
8.08014,40.753,40.7521,-0.259332,0
8.39331,38.501,38.5006,-0.169477,0
8.60659,36.1078,36.1077,-0.104272,3.37915e-20
8.74786,34.2027,34.2026,-0.0653143,-1.38002e-20
8.83975,32.5539,32.5538,-0.0390633,-4.61217e-20
8.89886,31.0221,31.0221,-0.0227655,-2.59195e-22
8.93663,29.5699,29.5699,-0.0131783,1.3321e-20
8.96067,28.1644,28.1644,-0.00772596,-3.04756e-20
8.97596,26.7606,26.7606,-0.00467331,5.25505e-21
8.98569,25.3012,25.3012,-0.00303075,9.26349e-21
8.99188,23.7118,23.7118,-0.00250174,2.25569e-20
8.99583,21.8523,21.8523,-0.0031654,1.37736e-21
8.99837,18.7787,18.7787,-0.00411556,-5.05319e-20
9,0,0,0,0
