y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.00128281,0.764963,0.764928,-0.00567373,-1.30711e-21
0.00291168,0.878323,0.878172,-0.0138516,-1.98947e-21
0.00515491,0.974919,0.974488,-0.0255732,2.41313e-22
0.00840063,1.08163,1.08061,-0.0424691,9.2368e-22
0.0132229,1.21418,1.21198,-0.0675411,0
0.0204662,1.38846,1.38395,-0.105149,-6.13525e-21
0.0313344,1.62452,1.61572,-0.161353,-6.6202e-22
0.0474297,1.94891,1.93257,-0.243846,4.3058e-20
0.070631,2.39629,2.36774,-0.361013,1.35501e-20
0.102665,3.00958,2.96314,-0.51974,-3.3313e-20
0.144384,3.83781,3.76808,-0.722656,-9.09179e-20
0.195237,4.93159,4.8351,-0.966578,-3.11002e-20
0.253785,6.34659,6.22269,-1.24481,7.81016e-20
0.319434,8.17318,8.02367,-1.5535,-1.69424e-19
0.394252,10.6148,10.4439,-1.8941,-8.4588e-22
0.483781,13.9112,13.7258,-2.25924,1.29532e-19
0.577166,17.9065,17.7154,-2.60438,1.0846e-19
0.661304,22.0433,21.8527,-2.88828,6.81845e-20
0.738613,25.9042,25.7162,-3.1125,-1.07361e-19
0.811008,29.3143,29.1292,-3.28642,4.2053e-20
0.879979,32.2945,32.113,-3.41663,1.00483e-20
0.946694,34.8811,34.7045,-3.50412,-4.41844e-20
1.01211,36.7207,36.5497,-3.53839,-1.21605e-20
1.07704,37.6897,37.5239,-3.52993,-1.0008e-19
1.14238,38.2849,38.1236,-3.5106,-3.99866e-21
1.20907,38.8625,38.7053,-3.4916,9.60864e-20
1.27797,39.4497,39.2968,-3.47017,-2.46558e-35
1.35015,40.0244,39.8758,-3.44547,-1.11126e-19
1.42698,40.5812,40.4372,-3.41552,-1.87093e-19
1.5103,41.1219,40.9828,-3.37894,2.8637e-19
1.60265,41.6379,41.5042,-3.33352,1.83304e-19
1.70768,42.1234,41.996,-3.27365,-3.1652e-19
1.84728,42.587,42.4677,-3.1837,-4.56014e-20
2.06009,42.9759,42.8683,-3.03724,1.82949e-19
2.37559,43.1493,43.0576,-2.80843,2.71327e-20
2.82473,43.0811,43.0083,-2.49663,-1.67638e-19
3.42888,43.033,42.9793,-2.14019,-2.96109e-20
4.18307,43.1662,43.1294,-1.76968,9.00813e-20
5.04218,43.276,43.2528,-1.40479,-5.05232e-34
5.92439,43.3096,43.2959,-1.07927,5.09682e-20
6.73802,43.3362,43.3284,-0.812798,-7.47861e-20
7.41603,43.2241,43.2197,-0.606915,-7.45728e-20
7.93391,42.5274,42.525,-0.445726,1.53291e-19
8.30339,40.6508,40.6496,-0.302968,-6.9525e-20
8.55423,38.1626,38.1621,-0.190569,4.60581e-21
8.71885,36.058,36.0578,-0.121379,1.2138e-19
8.82452,34.308,34.3079,-0.0756764,-5.71888e-20
8.89139,32.654,32.654,-0.0452611,-1.74505e-20
8.93334,31.0547,31.0547,-0.0267021,8.63739e-21
8.95953,29.4913,29.4913,-0.0153798,2.60615e-20
8.97581,27.9306,27.9306,-0.00868923,6.28114e-21
8.98593,26.3202,26.3202,-0.00477557,-2.11717e-21
8.9922,24.5853,24.5853,-0.00250789,-9.80058e-21
8.99609,22.5846,22.5846,-0.00129151,5.08815e-22
8.9985,19.3361,19.3361,-0.000726637,2.63964e-21
9,0,0,0,0
