y,U_0,U_1,U_2
0,0,0,0
0.000150075,-3.96199,0.000427723,6.29599e-22
0.000308731,-6.3848,0.00119975,3.04859e-22
0.000476552,-7.58161,0.00209397,4.09923e-22
0.000654158,-8.22621,0.00305431,-6.88282e-22
0.000842206,-8.6256,0.00410414,5.76408e-22
0.00104139,-8.89826,0.00524171,1.00101e-21
0.00125246,-9.09791,0.00646621,-2.5684e-21
0.00147619,-9.25172,0.00777909,-2.88562e-22
0.00171341,-9.37473,0.00918342,-8.89079e-22
0.00196502,-9.47588,0.0106833,-3.0441e-22
0.00223194,-9.56083,0.0122835,1.86616e-21
0.00251518,-9.63331,0.0139896,-1.4424e-21
0.00281579,-9.69589,0.0158075,1.15564e-21
0.0031349,-9.7504,0.0177437,3.81666e-21
0.00347368,-9.7982,0.0198054,-3.15833e-21
0.00383341,-9.84027,0.0219999,1.68448e-21
0.00421543,-9.87739,0.0243355,4.15968e-21
0.00462115,-9.91014,0.0268206,-7.16886e-21
0.00505209,-9.939,0.0294643,1.39983e-21
0.00550983,-9.96432,0.0322763,6.6191e-21
0.00599609,-9.98641,0.0352668,-6.04412e-21
0.00651264,-10.0055,0.0384468,-3.11504e-21
0.0070614,-10.0218,0.0418277,8.35362e-21
0.00764438,-10.0354,0.0454216,5.4323e-21
0.00826372,-10.0464,0.0492415,-5.05498e-21
0.00892169,-10.055,0.0533008,-1.02641e-22
0.00962067,-10.0613,0.057614,1.63299e-22
0.0103632,-10.0652,0.0621961,-9.34949e-21
0.011152,-10.0668,0.0670631,-1.35591e-22
0.0119898,-10.0663,0.0722318,4.53206e-21
0.0128797,-10.0634,0.0777197,-4.15983e-21
0.0138249,-10.0584,0.0835455,-8.28479e-21
0.0148286,-10.0511,0.0897285,1.17906e-20
0.0158944,-10.0416,0.0962894,1.58486e-20
0.017026,-10.0299,0.103249,-7.58289e-21
0.0182274,-10.0158,0.110631,-7.46318e-21
0.0195027,-9.99945,0.118458,-7.40515e-21
0.0208562,-9.98073,0.126754,-7.40859e-21
0.0222925,-9.95959,0.135546,1.41816e-20
0.0238164,-9.936,0.144859,2.09823e-20
0.025433,-9.90989,0.154722,-6.69986e-21
0.0271475,-9.88119,0.165163,2.06309e-23
0.0289655,-9.84984,0.176212,1.36381e-20
0.0308929,-9.81575,0.1879,-2.65282e-20
0.0329356,-9.77886,0.200258,-1.34343e-20
