y,U_0,U_1,U_2
0,0,0,0
0.000149199,2.55963,-0.00107934,4.53216e-22
0.000303409,3.41433,-0.00269211,8.76634e-22
0.000463072,3.70446,-0.00441907,-1.70791e-23
0.00062865,3.85315,-0.00632331,-2.47924e-22
0.000800627,3.95045,-0.00841326,3.14906e-24
0.000979511,4.02237,-0.0106485,3.14907e-24
0.00116584,4.07925,-0.0130114,-1.77756e-24
0.00136016,4.12612,-0.0155014,-1.77757e-24
0.00156307,4.16578,-0.0181232,4.35239e-22
0.00177519,4.19994,-0.0208832,5.16212e-23
0.00199718,4.22973,-0.0237887,-3.83618e-22
0.0022297,4.25591,-0.0268479,-6.21774e-22
0.0024735,4.27904,-0.0300696,5.16045e-22
0.00272934,4.29952,-0.0334636,2.7174e-21
0.00299801,4.31768,-0.0370403,-1.35239e-21
0.00328037,4.33377,-0.0408108,-2.0192e-21
0.00357732,4.34797,-0.044787,1.77104e-21
0.00388979,4.36048,-0.0489813,1.66912e-21
0.00421879,4.37142,-0.0534072,-7.27642e-22
0.00456537,4.38093,-0.0580786,-1.53848e-21
0.00493064,4.38911,-0.0630105,-1.39917e-21
0.00531578,4.39606,-0.0682186,1.28632e-21
0.00572203,4.40188,-0.0737195,3.97281e-21
0.0061507,4.40664,-0.0795307,-1.19556e-21
0.00660317,4.41045,-0.0856707,-2.49073e-21
0.0070809,4.41337,-0.0921589,-4.31092e-25
0.00758543,4.41548,-0.0990159,3.90545e-25
0.0081184,4.41687,-0.106263,-3.57353e-25
0.00868151,4.41761,-0.113924,2.12016e-21
0.00927657,4.41778,-0.122021,2.11338e-21
0.00990551,4.41747,-0.130581,-4.00111e-21
0.0105703,4.41675,-0.139629,-2.05148e-21
0.0112731,4.4157,-0.149193,5.75252e-21
0.0120162,4.41443,-0.159303,-3.61269e-21
0.0128018,4.413,-0.169989,-3.79735e-21
0.0136326,4.41152,-0.181284,3.61834e-21
0.014511,4.41007,-0.19322,3.47222e-21
