y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000150075,2.67973,-2.67973,0.000273132,7.16165e-22
0.000308731,4.65162,-4.65162,0.00090768,3.20358e-22
0.000476552,5.75695,-5.75695,0.00169703,5.11738e-22
0.000654158,6.37083,-6.37083,0.00254918,-8.52758e-22
0.000842206,6.75517,-6.75517,0.00347698,6.99568e-22
0.00104139,7.01776,-7.01776,0.00448044,1.24298e-21
0.00125246,7.20922,-7.20922,0.00555885,-3.11006e-21
0.00147619,7.35586,-7.35586,0.00671362,-3.64808e-22
0.00171341,7.47252,-7.47252,0.00794755,-1.0352e-21
0.00196502,7.56806,-7.56806,0.00926425,-3.81145e-22
0.00223194,7.64811,-7.64811,0.010668,2.18242e-21
0.00251518,7.71639,-7.71638,0.0121635,-1.65621e-21
0.00281579,7.77545,-7.77544,0.0137559,1.30365e-21
0.0031349,7.82711,-7.82709,0.015451,4.34176e-21
0.00347368,7.87268,-7.87266,0.0172547,-3.53787e-21
0.00383341,7.91316,-7.91314,0.0191737,1.84815e-21
0.00421543,7.94929,-7.94926,0.0212147,4.65558e-21
0.00462115,7.98165,-7.98162,0.0233852,-7.9215e-21
0.00505209,8.0107,-8.01066,0.025693,1.50812e-21
0.00550983,8.03678,-8.03673,0.0281463,7.26075e-21
0.00599609,8.06018,-8.06013,0.030754,-6.56977e-21
0.00651264,8.08114,-8.08107,0.0335252,-3.39705e-21
0.0070614,8.09982,-8.09974,0.0364698,9.0032e-21
0.00764438,8.11638,-8.11629,0.0395982,5.84068e-21
0.00826372,8.13094,-8.13083,0.0429212,-5.38902e-21
0.00892169,8.14359,-8.14346,0.0464504,-1.26052e-22
0.00962067,8.15441,-8.15425,0.0501979,1.94975e-22
0.0103632,8.16344,-8.16326,0.0541765,-9.866e-21
0.011152,8.17073,-8.17052,0.0583997,-1.62075e-22
0.0119898,8.17631,-8.17607,0.0628815,4.75757e-21
0.0128797,8.18021,-8.17993,0.0676369,-4.32193e-21
0.0138249,8.18242,-8.18209,0.0726814,-8.59721e-21
0.0148286,8.18294,-8.18257,0.0780313,1.21405e-20
0.0158944,8.18177,-8.18134,0.0837039,1.63406e-20
0.017026,8.1789,-8.17841,0.0897169,-7.75957e-21
0.0182274,8.1743,-8.17374,0.096089,-7.6286e-21
0.0195027,8.16794,-8.16729,0.10284,-7.53e-21
0.0208562,8.15979,-8.15905,0.10999,-7.5348e-21
0.0222925,8.14981,-8.14896,0.11756,1.43108e-20
0.0238164,8.13795,-8.13698,0.125573,2.11356e-20
0.025433,8.12416,-8.12306,0.134051,-6.68448e-21
0.0271475,8.1084,-8.10713,0.143017,-1.19821e-23
0.0289655,8.09058,-8.08915,0.152497,1.36239e-20
0.0308929,8.07066,-8.06903,0.162516,-2.63159e-20
0.0329356,8.04857,-8.04671,0.173098,-1.33722e-20
0.0351001,8.02422,-8.0221,0.184272,1.29441e-20
0.0373929,7.99754,-7.99514,0.196064,-1.23252e-20
0.0398209,7.96845,-7.96572,0.208502,-1.80874e-22
0.0423913,7.93686,-7.93376,0.221614,1.21443e-20
0.0451115,7.90268,-7.89917,0.235429,2.36181e-20
0.0479892,7.86581,-7.86184,0.249975,3.23073e-22
0.0510323,7.82616,-7.82165,0.265281,-2.28673e-20
0.0542491,7.7836,-7.77851,0.281375,-4.19438e-22
0.057648,7.73804,-7.73228,0.298286,-4.27675e-22
0.0612376,7.68936,-7.68285,0.316041,2.25257e-20
0.0650269,7.63743,-7.63008,0.334668,2.25188e-20
0.0690248,7.58213,-7.57384,0.35419,-4.31202e-20
0.0732406,7.52332,-7.51398,0.374632,-4.39377e-20
0.0776837,7.46089,-7.45036,0.396015,-2.14502e-20
0.0823633,7.39469,-7.38283,0.418361,6.33078e-20
0.0872889,7.32458,-7.31124,0.441684,8.43553e-20
0.0924701,7.25044,-7.23543,0.465999,-8.27341e-20
0.0979162,7.17211,-7.15524,0.491314,-4.18652e-20
0.103636,7.08947,-7.07052,0.517635,4.08713e-20
0.10964,7.00236,-6.9811,0.544963,-3.98889e-20
0.115935,6.91067,-6.88682,0.573291,3.81693e-20
0.122532,6.81424,-6.78751,0.602606,9.68165e-22
0.129436,6.71297,-6.68303,0.63289,-7.7092e-20
0.136657,6.60672,-6.57322,0.664115,7.5155e-20
0.144202,6.4954,-6.45793,0.696247,9.66444e-22
0.152075,6.37889,-6.33701,0.72924,-1.11148e-19
0.160284,6.2571,-6.21034,0.76304,3.598e-20
0.168832,6.12998,-6.07781,0.797581,7.29391e-20
0.177724,5.99747,-5.93929,0.832788,6.96882e-20
0.186961,5.85953,-5.79471,0.868574,1.3973e-19
0.196544,5.71617,-5.644,0.90484,2.22416e-21
0.206475,5.5674,-5.48711,0.941474,-2.0287e-19
0.21675,5.41329,-5.32402,0.978356,-6.9055e-20
0.227368,5.25392,-5.15474,1.01535,6.59963e-20
0.238324,5.08944,-4.9793,1.05231,0
0.24961,4.92003,-4.79779,1.08908,0
0.26122,4.74591,-4.61031,1.1255,0
0.273144,4.56737,-4.417,1.16139,-1.13146e-21
0.28537,4.38476,-4.21805,1.19658,6.10149e-20
0.297884,4.19849,-4.01369,1.23087,-1.18792e-19
0.310673,4.00905,-3.80418,1.26407,-6.16739e-20
0.323718,3.81701,-3.58982,1.29601,2.3937e-19
0.337003,3.62303,-3.37095,1.32647,1.22342e-21
0.350506,3.42787,-3.14796,1.35529,-2.3455e-19
0.364206,3.23243,-2.92125,1.38226,-1.00553e-21
0.378081,3.03773,-2.69125,1.40721,2.28378e-19
0.392107,2.84497,-2.45842,1.42996,-2.27053e-19
0.406258,2.65558,-2.22322,1.45036,-1.1067e-22
0.420509,2.47123,-1.98611,1.46825,2.27047e-19
0.434834,2.29394,-1.74757,1.48348,1.10677e-19
0.449206,2.12611,-1.50804,1.49592,1.13452e-19
0.463598,1.97062,-1.26791,1.50542,-3.34101e-19
0.477982,1.83092,-1.02756,1.51188,-1.12623e-19
0.492333,1.71093,-0.787279,1.51515,1.10627e-19
0.506624,1.61493,-0.547281,1.51512,-1.06065e-37
0.52083,1.54711,-0.307675,1.51167,-3.36345e-35
0.534925,1.51092,-0.0684286,1.50465,0
0.548887,1.50836,0.170665,1.49389,0
0.562692,1.53954,0.410022,1.47924,1.16858e-19
0.576321,1.60287,0.650311,1.46049,-1.86538e-21
0.589754,1.69564,0.892518,1.43739,1.21524e-19
0.602972,1.81497,1.13801,1.40969,2.40266e-19
0.615961,1.95851,1.38856,1.3771,-2.5325e-19
0.628706,2.12477,1.64622,1.33933,-3.82392e-19
0.641194,2.31281,1.91277,1.29613,3.27648e-21
0.653414,2.52184,2.18941,1.24741,1.32398e-19
0.66536,2.75144,2.47729,1.19319,0
0.677022,3.00184,2.77789,1.13354,0
0.688397,3.27385,3.09306,1.06865,-2.91781e-19
0.69948,3.56864,3.42473,0.998917,2.993e-19
0.710271,3.88749,3.77476,0.925071,2.92318e-19
0.72077,4.23295,4.1464,0.84715,-6.02675e-19
0.730977,4.6103,4.54573,0.764093,-3.01988e-19
0.740895,5.0232,4.97695,0.674775,-3.11403e-19
0.75053,5.46865,5.43728,0.579156,-3.13398e-19
0.759885,5.93902,5.91921,0.478409,8.98227e-19
0.768969,6.42627,6.41495,0.374189,6.10139e-19
0.777788,6.92408,6.91855,0.26816,-2.88171e-19
0.78635,7.42856,7.42653,0.161836,1.34183e-19
0.794665,7.93787,7.93746,0.0564236,4.14636e-21
0.802744,8.45069,8.4504,-0.0470126,-1.30043e-19
0.810595,8.96505,8.96372,-0.147481,1.16906e-19
0.818232,9.47771,9.47448,-0.244127,1.16947e-19
0.825604,9.9841,9.97838,-0.336096,8.30852e-23
0.83269,10.4803,10.4717,-0.42287,3.80034e-21
0.839498,10.964,10.9524,-0.504312,-9.7943e-20
0.846039,11.4341,11.4194,-0.580479,-1.01709e-19
0.852322,11.8896,11.8717,-0.651504,1.81986e-19
0.858358,12.3298,12.3089,-0.717587,8.54278e-21
0.864155,12.7543,12.7305,-0.778976,-1.73442e-19
0.869723,13.1631,13.1365,-0.835944,-1.10925e-36
0.875073,13.5561,13.5269,-0.888783,-2.09467e-35
0.880212,13.9335,13.9019,-0.937786,-7.25896e-20
0.885151,14.2958,14.262,-0.983242,-3.39822e-21
0.889898,14.6434,14.6075,-1.02544,1.35207e-19
0.894463,14.9767,14.9389,-1.06464,1.27545e-19
0.898852,15.2965,15.2568,-1.10109,-1.17551e-19
0.903076,15.6031,15.5618,-1.13505,-1.21614e-19
0.907141,15.8974,15.8545,-1.16672,1.11269e-19
0.911055,16.1799,16.1356,-1.1963,2.29081e-21
0.914826,16.4514,16.4058,-1.224,-5.151e-20
0.918461,16.7123,16.6655,-1.24997,-4.73539e-20
0.921967,16.9634,16.9155,-1.27436,4.43777e-20
0.925349,17.2053,17.1563,-1.29733,2.86892e-21
0.928616,17.4385,17.3885,-1.31898,-4.54663e-20
0.931772,17.6636,17.6127,-1.33945,4.27456e-20
0.934823,17.8812,17.8294,-1.35882,-5.13925e-23
0.937775,18.0917,18.0392,-1.3772,-3.75018e-20
0.940633,18.2956,18.2424,-1.39466,-1.86513e-21
0.943403,18.4935,18.4395,-1.41128,3.64736e-20
0.946088,18.6856,18.631,-1.42712,1.82056e-23
0.948694,18.8725,18.8173,-1.44225,-1.68198e-20
0.951224,19.0546,18.9988,-1.45672,-3.37026e-22
