y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000149199,2.55963,2.55963,-0.00107934,4.53216e-22
0.000303409,3.41433,3.41433,-0.00269211,8.76632e-22
0.000463072,3.70447,3.70447,-0.00441907,-1.70797e-23
0.00062865,3.85316,3.85315,-0.00632331,-2.47924e-22
0.000800627,3.95046,3.95045,-0.00841326,3.15005e-24
0.000979511,4.02239,4.02238,-0.0106485,3.15006e-24
0.00116584,4.07927,4.07925,-0.0130114,-1.77753e-24
0.00136016,4.12615,4.12612,-0.0155014,-1.77755e-24
0.00156307,4.16582,4.16578,-0.0181232,4.3524e-22
0.00177519,4.2,4.19995,-0.0208832,5.16225e-23
0.00199718,4.2298,4.22974,-0.0237887,-3.83617e-22
0.0022297,4.256,4.25592,-0.0268479,-6.21775e-22
0.0024735,4.27915,4.27904,-0.0300696,5.16042e-22
0.00272934,4.29966,4.29953,-0.0334636,2.7174e-21
0.00299801,4.31784,4.31768,-0.0370403,-1.35239e-21
0.00328037,4.33396,4.33377,-0.0408108,-2.0192e-21
0.00357732,4.34821,4.34798,-0.044787,1.77104e-21
0.00388979,4.36076,4.36048,-0.0489813,1.66912e-21
0.00421879,4.37175,4.37143,-0.0534072,-7.2764e-22
0.00456537,4.38132,4.38093,-0.0580786,-1.53848e-21
0.00493064,4.38956,4.38911,-0.0630106,-1.39917e-21
0.00531578,4.39659,4.39606,-0.0682186,1.28632e-21
0.00572203,4.4025,4.40188,-0.0737195,3.97281e-21
0.0061507,4.40736,4.40665,-0.0795307,-1.19556e-21
0.00660317,4.41128,4.41045,-0.0856707,-2.49073e-21
0.0070809,4.41433,4.41337,-0.0921589,-4.29952e-25
0.00758543,4.4166,4.41548,-0.0990158,3.89944e-25
0.0081184,4.41815,4.41687,-0.106263,-3.57435e-25
0.00868151,4.41908,4.41761,-0.113923,2.12016e-21
0.00927657,4.41947,4.41779,-0.122021,2.11338e-21
0.00990551,4.4194,4.41747,-0.13058,-4.0011e-21
0.0105703,4.41896,4.41675,-0.139628,-2.05147e-21
0.0112731,4.41823,4.41571,-0.149193,5.75253e-21
0.0120162,4.41731,4.41443,-0.159303,-3.6127e-21
0.0128018,4.41628,4.413,-0.169989,-3.79738e-21
0.0136326,4.41525,4.41152,-0.181284,3.61832e-21
0.014511,4.41431,4.41007,-0.19322,3.47223e-21
0.0154398,4.41357,4.40876,-0.205834,-3.31982e-21
0.0164219,4.41313,4.40768,-0.219161,-1.01238e-20
0.0174603,4.41311,4.40693,-0.233242,3.19476e-21
0.0185582,4.41362,4.40663,-0.248114,6.52653e-21
0.0197189,4.41479,4.40689,-0.263822,-6.29208e-21
0.0209459,4.41675,4.40782,-0.280408,-6.27632e-21
0.0222428,4.41962,4.40954,-0.297918,2.02307e-24
0.0236134,4.42354,4.41219,-0.316399,5.95415e-21
0.0250617,4.42866,4.41588,-0.3359,1.0035e-22
0.0265918,4.43513,4.42075,-0.356472,-9.46994e-23
0.0282081,4.4431,4.42694,-0.378168,5.78553e-21
0.029915,4.45273,4.4346,-0.401042,1.11591e-20
0.0317171,4.46421,4.44388,-0.425151,1.5513e-22
0.0336193,4.47769,4.45492,-0.45055,-3.26662e-20
0.0356266,4.49337,4.46791,-0.477301,-1.09797e-20
0.0377441,4.51145,4.48299,-0.505463,1.06761e-20
0.0399771,4.5321,4.50035,-0.535099,1.03743e-20
0.042331,4.55555,4.52016,-0.566271,2.06224e-20
0.0448114,4.58201,4.54261,-0.599044,1.02456e-20
0.0474241,4.61169,4.56791,-0.633482,-1.99255e-20
0.0501748,4.64484,4.59623,-0.669651,-2.97902e-20
0.0530694,4.68168,4.62781,-0.707617,9.59448e-21
0.056114,4.72246,4.66285,-0.747444,1.94425e-20
0.0593145,4.76744,4.70157,-0.789198,1.89825e-20
0.0626771,4.81688,4.74422,-0.832943,2.17834e-22
0.0662077,4.87105,4.79102,-0.878743,-2.23057e-22
0.0699124,4.93022,4.84224,-0.926659,-1.81018e-20
0.073797,4.99467,4.89812,-0.976751,-1.85077e-20
0.0778675,5.0647,4.95893,-1.02907,1.81117e-20
0.0821295,5.14059,5.02494,-1.08368,-2.38433e-23
0.0865883,5.22266,5.09645,-1.14062,1.75585e-20
0.0912494,5.31119,5.17373,-1.19994,1.7069e-22
0.0961174,5.4065,5.25708,-1.26168,-3.4596e-20
0.101197,5.5089,5.34681,-1.32587,-1.59182e-22
0.106492,5.61868,5.44323,-1.39255,5.08098e-20
0.112007,5.73617,5.54665,-1.46172,2.96893e-22
0.117744,5.86166,5.65739,-1.5334,-3.34637e-20
0.123706,5.99546,5.77576,-1.6076,0
0.129894,6.13785,5.90208,-1.6843,3.25736e-20
0.136311,6.28912,6.03666,-1.76349,2.57342e-22
0.142956,6.44956,6.17983,-1.84515,-2.86826e-22
0.149829,6.61941,6.33188,-1.92923,2.35791e-22
0.156929,6.79892,6.4931,-2.01568,-3.17957e-20
0.164253,6.98831,6.66377,-2.10445,3.13002e-20
0.171798,7.18778,6.84414,-2.19545,-3.08651e-20
0.179561,7.3975,7.03445,-2.2886,-4.28315e-22
0.187537,7.61762,7.2349,-2.38379,3.10504e-20
0.195719,7.84823,7.44567,-2.48092,3.02144e-20
0.204101,8.08942,7.66689,-2.57986,6.09195e-20
0.212674,8.34121,7.89867,-2.68047,-5.91379e-23
0.221432,8.60357,8.14105,-2.78261,-4.39519e-23
0.230363,8.87646,8.39405,-2.88612,1.2922e-23
0.239458,9.15974,8.6576,-2.99083,-5.91896e-20
0.248706,9.45327,8.93162,-3.09656,-3.43567e-22
0.258095,9.7568,9.21594,-3.20314,-5.81299e-20
0.267614,10.0701,9.51033,-3.31037,-1.17037e-19
0.277251,10.3928,9.81455,-3.41805,-6.35931e-23
0.286992,10.7245,10.1282,-3.52607,5.75532e-20
0.296825,11.0649,10.451,-3.63424,1.1498e-19
0.306737,11.414,10.7831,-3.74213,-1.15638e-19
0.316717,11.7746,11.1275,-3.84965,-5.49652e-20
0.326751,12.1518,11.4893,-3.95714,1.18123e-19
0.336828,12.5483,11.8717,-4.06445,-6.30297e-20
0.346937,12.9641,12.2746,-4.17121,6.64365e-20
0.357066,13.3979,12.6967,-4.27723,1.29757e-19
0.367206,13.8479,13.1361,-4.38233,-6.77407e-20
0.377348,14.3119,13.5905,-4.48636,-6.80351e-20
0.387484,14.7877,14.0576,-4.58916,-7.03988e-20
0.397606,15.2734,14.5353,-4.69065,7.20526e-20
0.407708,15.767,15.0216,-4.79072,7.0736e-20
0.417787,16.2669,15.5147,-4.88928,-7.1923e-20
0.427837,16.7714,16.013,-4.98626,-2.15755e-22
0.437857,17.2793,16.5152,-5.08157,0
0.447846,17.7892,17.0198,-5.17512,7.41618e-20
0.457804,18.3,17.5257,-5.26679,-3.57648e-22
0.467732,18.8106,18.0318,-5.35645,-7.45152e-20
0.477632,19.3198,18.5369,-5.44395,-1.5041e-19
0.487509,19.8264,19.0398,-5.52913,-5.64402e-22
0.497368,20.3294,19.5394,-5.61181,1.50664e-19
0.507215,20.8275,20.0346,-5.69179,8.27113e-22
0.517058,21.3195,20.5241,-5.76888,0
0.526904,21.8043,21.0068,-5.84287,1.47261e-19
0.536763,22.2808,21.4816,-5.91358,1.33824e-21
0.546646,22.7479,21.9475,-5.98087,-1.45915e-19
0.556565,23.2048,22.4036,-6.04461,-1.42328e-19
0.56653,23.6507,22.8492,-6.10472,6.86525e-20
0.576557,24.0852,23.2838,-6.16117,2.10333e-19
0.586658,24.5078,23.7069,-6.21397,-1.36753e-19
0.596849,24.9185,24.1185,-6.26319,-6.90416e-20
0.607144,25.3172,24.5185,-6.30892,6.70688e-20
0.617561,25.7018,24.9047,-6.35107,6.27592e-20
0.627874,26.0671,25.272,-6.38928,6.27413e-20
0.637962,26.4099,25.6168,-6.42348,3.4427e-22
0.647834,26.7302,25.9394,-6.45402,3.4828e-22
0.657495,27.0297,26.2412,-6.4813,-5.30319e-20
0.666954,27.3099,26.5237,-6.50572,-2.3564e-21
0.676218,27.5725,26.7886,-6.52764,2.19281e-21
0.685294,27.8188,27.0373,-6.54734,-9.47058e-20
0.694189,28.0503,27.2712,-6.56512,4.24025e-20
0.70291,28.2682,27.4915,-6.58119,4.61363e-20
0.711464,28.4737,27.6992,-6.59575,-4.2497e-20
0.719857,28.6674,27.8952,-6.60896,5.77857e-23
0.728096,28.8503,28.0803,-6.62094,5.15457e-24
0.736188,29.0229,28.2551,-6.6318,-3.58925e-20
0.744139,29.1859,28.4201,-6.64159,-3.58961e-20
0.751954,29.3397,28.5761,-6.65039,6.58499e-20
0.759639,29.4853,28.7237,-6.65823,3.43387e-20
0.767201,29.6234,28.8639,-6.66518,-9.70306e-22
0.774644,29.7553,28.9978,-6.67135,7.11393e-22
0.781974,29.8823,29.1269,-6.67688,-5.10134e-22
0.789195,30.006,29.2526,-6.68192,3.33114e-22
0.796314,30.1271,29.3757,-6.68658,-5.78546e-20
0.803334,30.2458,29.4964,-6.69092,-2.87267e-20
0.81026,30.3622,29.6149,-6.69494,9.01429e-23
0.817097,30.4766,29.7313,-6.69866,2.80404e-20
0.823848,30.5891,29.8458,-6.70211,5.58608e-20
0.830518,30.6997,29.9585,-6.7053,1.59016e-22
0.83711,30.8087,30.0695,-6.70825,-1.02631e-22
0.843629,30.9162,30.1791,-6.71098,1.10086e-22
0.850077,31.0224,30.2872,-6.71349,-1.3812e-20
0.856459,31.1272,30.3941,-6.71581,2.73111e-20
0.862777,31.2309,30.4998,-6.71795,-1.35673e-20
0.869035,31.3336,30.6045,-6.71991,-4.07923e-20
0.875236,31.4353,30.7082,-6.72172,-2.76679e-24
0.881383,31.5361,30.8111,-6.72338,1.35579e-20
0.887478,31.6362,30.9132,-6.72489,-1.357e-20
0.893524,31.7357,31.0147,-6.72628,-1.35654e-20
0.899524,31.8347,31.1157,-6.72755,1.36383e-20
0.905481,31.9332,31.2162,-6.72871,4.10729e-20
0.911396,32.0313,31.3163,-6.72976,-1.39507e-20
0.917272,32.1291,31.4162,-6.73073,-2.74889e-20
0.923111,32.2268,31.5159,-6.7316,1.3901e-20
0.928915,32.3244,31.6156,-6.7324,6.98259e-21
0.934687,32.422,31.7152,-6.73314,7.03636e-21
0.940428,32.5196,31.8148,-6.73381,-1.42453e-20
0.946141,32.6175,31.9147,-6.73442,7.28271e-21
0.951826,32.7155,32.0148,-6.73499,-1.50785e-22
0.957487,32.814,32.1153,-6.73552,-1.0785e-20
0.963124,32.9129,32.2162,-6.73603,1.09789e-20
0.968739,33.0127,32.318,-6.7365,-3.82689e-21
0.974334,33.1152,32.4227,-6.73693,-1.81055e-21
0.979911,33.2238,32.5336,-6.7373,-4.63828e-21
0.98547,33.3419,32.654,-6.73764,-1.74058e-21
0.991014,33.4724,32.7872,-6.73803,4.59617e-21
0.996544,33.6174,32.9351,-6.73863,-7.2443e-22
1.00206,33.7778,33.0986,-6.73963,4.75165e-22
1.00757,33.9528,33.2769,-6.74126,-2.86738e-21
1.01306,34.1405,33.4678,-6.74376,2.92253e-22
1.01855,34.338,33.6685,-6.74731,-4.84499e-21
1.02403,34.5429,33.8765,-6.75204,9.91373e-21
1.0295,34.7535,34.09,-6.75803,2.86762e-20
1.03497,34.9689,34.3082,-6.76528,9.901e-21
1.04044,35.1894,34.5313,-6.77374,-1.27448e-23
1.0459,35.4154,34.7596,-6.78331,-2.27842e-20
1.05136,35.6469,34.9935,-6.79382,7.25459e-22
1.05682,35.8832,35.2321,-6.80497,-1.50254e-21
1.0623,36.1216,35.4726,-6.81632,-5.21867e-20
1.06779,36.3578,35.711,-6.82734,5.65644e-23
1.07328,36.5874,35.9428,-6.83759,2.7281e-20
1.0788,36.8076,36.1652,-6.84676,7.12383e-23
1.08432,37.0172,36.377,-6.85478,-5.41531e-20
1.08987,37.2164,36.5783,-6.86177,-5.43133e-20
1.09543,37.4059,36.77,-6.86787,5.39858e-20
1.10101,37.5869,36.9531,-6.87328,5.41196e-20
1.10661,37.7609,37.1292,-6.87819,-5.44812e-20
1.11223,37.9293,37.2996,-6.88271,8.65346e-22
1.11788,38.0933,37.4656,-6.88696,5.45355e-20
1.12355,38.254,37.6282,-6.891,7.51772e-23
1.12925,38.4118,37.7879,-6.89488,-1.1847e-19
1.13497,38.5672,37.9452,-6.89862,-5.76327e-20
1.14073,38.7201,38.1,-6.90222,1.24037e-19
1.14651,38.8705,38.2522,-6.90566,6.23115e-20
1.15233,39.0182,38.4016,-6.90893,1.30605e-19
1.15819,39.1629,38.5481,-6.912,-1.3624e-19
1.16408,39.3043,38.6912,-6.91486,-1.3073e-19
1.17001,39.4424,38.831,-6.91748,1.3611e-19
1.17599,39.5771,38.9675,-6.91988,-1.41239e-19
1.182,39.7086,39.1006,-6.92205,2.62402e-21
1.18806,39.8369,39.2305,-6.924,1.4386e-19
1.19417,39.9623,39.3575,-6.92574,-1.29357e-32
1.20033,40.085,39.4818,-6.92728,1.54375e-19
1.20655,40.2052,39.6037,-6.92864,-3.35545e-21
1.21282,40.3233,39.7234,-6.92983,-1.57734e-19
1.21915,40.4395,39.8412,-6.93085,3.63182e-32
1.22554,40.5545,39.9577,-6.93171,1.75473e-32
1.232,40.6689,40.0737,-6.93243,3.52367e-19
1.23852,40.7832,40.1896,-6.933,1.70716e-19
1.24512,40.8975,40.3055,-6.93341,-3.73122e-19
1.25179,41.0113,40.4209,-6.93367,-1.91477e-19
1.25854,41.1244,40.5356,-6.93374,-4.08554e-19
1.26537,41.2363,40.6492,-6.93364,2.27324e-19
1.27229,41.3469,40.7614,-6.93336,4.15837e-19
1.2793,41.4559,40.8721,-6.9329,4.14208e-21
1.28641,41.5631,40.9809,-6.93227,-2.38015e-19
1.29362,41.6685,41.0879,-6.93145,1.61088e-20
1.30093,41.7719,41.193,-6.93047,2.31359e-19
1.30836,41.8735,41.2962,-6.92931,7.60145e-19
1.3159,41.9733,41.3975,-6.928,4.88938e-19
1.32357,42.0714,41.4973,-6.92654,-1.0377e-18
1.33137,42.168,41.5955,-6.92492,-5.24306e-19
1.3393,42.2634,41.6925,-6.92315,-9.53122e-21
1.34737,42.3577,41.7884,-6.92124,-1.33553e-22
1.3556,42.4511,41.8834,-6.91919,4.61689e-21
1.36398,42.5439,41.9779,-6.917,4.36597e-21
1.37252,42.6363,42.0718,-6.91466,1.35881e-22
1.38125,42.7283,42.1655,-6.91218,5.86012e-19
1.39015,42.8202,42.2591,-6.90956,-7.49731e-21
1.39925,42.9122,42.3527,-6.90679,-5.97771e-19
1.40855,43.0042,42.4464,-6.90388,6.14446e-19
1.41807,43.0965,42.5404,-6.90081,-5.52729e-21
1.4278,43.1892,42.6348,-6.89759,9.84182e-22
1.43778,43.2822,42.7296,-6.89422,-6.29383e-19
1.44801,43.3758,42.825,-6.89069,-6.21724e-19
1.45849,43.4701,42.921,-6.887,6.28574e-19
1.46925,43.565,43.0178,-6.88315,8.31416e-32
1.48031,43.6608,43.1154,-6.87914,6.3657e-19
1.49167,43.7575,43.214,-6.87496,2.92596e-21
1.50335,43.8552,43.3136,-6.87061,-6.36487e-19
1.51537,43.9541,43.4145,-6.8661,6.29299e-19
1.52778,44.055,43.5174,-6.86138,7.15568e-21
1.54091,44.1595,43.624,-6.85638,-1.23599e-18
1.5548,44.2682,43.7348,-6.85106,-1.0797e-20
1.56949,44.3812,43.8501,-6.8454,6.00152e-19
1.58502,44.4986,43.9698,-6.83943,6.22676e-35
1.60144,44.6199,44.0936,-6.83308,7.45267e-23
1.61879,44.7448,44.221,-6.82628,-1.00914e-18
1.63713,44.8729,44.3518,-6.81901,-4.62239e-20
1.65649,45.0042,44.4858,-6.81119,5.04044e-19
1.67693,45.1379,44.6223,-6.80272,4.16426e-19
1.69851,45.2732,44.7606,-6.79346,4.09188e-20
1.72128,45.4087,44.8992,-6.7832,-4.36849e-19
1.7453,45.5421,45.0359,-6.77167,3.97974e-19
1.77062,45.6701,45.1673,-6.75851,-3.61304e-19
1.79731,45.7866,45.2874,-6.74297,-3.61037e-19
1.82542,45.8826,45.3872,-6.72371,2.86005e-22
1.85502,45.9495,45.4585,-6.69938,3.14039e-19
1.88618,45.9844,45.4981,-6.66935,6.1397e-19
1.91896,45.9901,45.5091,-6.6341,2.99951e-19
1.95343,45.9734,45.498,-6.59464,-2.75057e-19
1.98964,45.943,45.4733,-6.55227,2.51615e-19
2.02768,45.9086,45.4449,-6.50847,2.73899e-19
2.06761,45.8799,45.4221,-6.46471,-4.94482e-19
2.10949,45.864,45.4122,-6.42212,-2.41831e-19
2.15339,45.8637,45.4176,-6.38113,2.22109e-19
2.19939,45.8758,45.4354,-6.34134,9.04307e-21
2.24753,45.8922,45.4574,-6.30166,-2.12993e-19
2.29789,45.9037,45.4747,-6.26086,3.92228e-19
2.35053,45.9045,45.4814,-6.21828,-3.61712e-19
2.40551,45.8954,45.4782,-6.17421,-3.91184e-19
2.46287,45.8825,45.4712,-6.1297,1.36521e-20
2.52268,45.8722,45.4668,-6.08583,-1.27609e-20
2.58497,45.8667,45.4669,-6.04293,3.35881e-19
2.64979,45.8621,45.4679,-6.00056,-3.12244e-19
2.71717,45.8535,45.4648,-5.9582,-3.12076e-19
2.78715,45.8396,45.4563,-5.9159,5.82551e-19
2.85975,45.8232,45.4452,-5.87429,1.92145e-20
2.93497,45.8069,45.4339,-5.83381,-5.64056e-19
3.01284,45.7897,45.4216,-5.79441,2.28438e-23
3.09333,45.7693,45.4059,-5.75597,2.56828e-19
3.17645,45.7456,45.3867,-5.71867,7.30777e-21
3.26217,45.7198,45.3653,-5.68282,-6.91915e-21
3.35045,45.6921,45.3416,-5.6485,2.43561e-19
3.44125,45.6613,45.3147,-5.61572,2.31238e-19
3.53451,45.6276,45.2845,-5.58461,5.64167e-21
3.63018,45.5912,45.2515,-5.55529,-2.26226e-19
3.72816,45.5519,45.2152,-5.5278,2.17483e-19
3.82836,45.5093,45.1755,-5.50218,3.80912e-21
3.93068,45.4637,45.1325,-5.47848,-4.23573e-19
4.03501,45.415,45.086,-5.45671,-2.92043e-21
4.14121,45.3629,45.036,-5.43688,2.06639e-19
4.24915,45.3076,44.9823,-5.41896,0
4.35867,45.2488,44.925,-5.40292,1.99961e-19
4.46961,45.1865,44.864,-5.3887,1.98374e-21
4.5818,45.1207,44.7993,-5.37623,-1.98354e-19
4.69507,45.0514,44.7308,-5.36544,-4.94511e-32
4.80922,44.9786,44.6585,-5.35621,5.42738e-32
4.92406,44.9021,44.5825,-5.34843,-1.61118e-35
5.03939,44.8221,44.5027,-5.34197,-4.62785e-35
5.15501,44.7386,44.4191,-5.3367,1.96911e-19
5.27072,44.6514,44.3318,-5.33246,1.9747e-19
5.3863,44.5608,44.2409,-5.3291,-1.98954e-19
5.50155,44.4666,44.1464,-5.32647,2.03629e-19
5.61626,44.3691,44.0484,-5.32438,-3.65017e-21
5.73024,44.2681,43.947,-5.32268,-6.12267e-19
5.84328,44.164,43.8422,-5.3212,2.76983e-21
5.95519,44.0567,43.7344,-5.31978,2.08593e-19
6.06579,43.9465,43.6235,-5.31825,-1.08361e-19
6.17491,43.8334,43.5097,-5.31646,-1.08547e-19
6.28237,43.7175,43.3933,-5.31426,-5.78402e-22
6.38803,43.5992,43.2744,-5.31151,1.15083e-19
6.49173,43.4785,43.1533,-5.30807,2.34339e-19
6.59335,43.3557,43.0301,-5.30384,-3.0414e-21
6.69275,43.231,42.9051,-5.29871,-1.21654e-19
6.78984,43.1046,42.7785,-5.29257,-1.29528e-19
6.88453,42.9768,42.6505,-5.28534,1.37734e-19
6.97672,42.8475,42.5213,-5.27692,2.67502e-19
7.06634,42.7165,42.3905,-5.26715,-1.42439e-19
7.15335,42.5813,42.2557,-5.25557,-1.42837e-19
7.2377,42.4346,42.1097,-5.24091,-1.54657e-19
7.31936,42.2582,41.9345,-5.22009,-1.548e-19
7.39831,42.0204,41.699,-5.18766,3.35294e-19
7.47453,41.6871,41.3693,-5.1376,1.59653e-19
7.54803,41.2522,40.9396,-5.06928,-8.31538e-20
7.61883,40.7556,40.4488,-4.9915,-1.02614e-19
7.68693,40.2409,39.9398,-4.9135,1.1203e-20
7.75238,39.7157,39.4204,-4.83439,9.74295e-20
7.81519,39.176,38.8868,-4.75169,6.49867e-21
7.87543,38.6327,38.3497,-4.668,-6.61675e-21
7.93313,38.1016,37.8246,-4.58591,-1.22018e-19
7.98835,37.5922,37.321,-4.50682,-4.76705e-32
8.04115,37.105,36.8396,-4.43063,1.46145e-19
8.09159,36.6356,36.3756,-4.35647,3.01295e-19
8.13973,36.1795,35.925,-4.28379,-3.3709e-19
8.18565,35.7345,35.4854,-4.21219,-3.19001e-19
8.22941,35.2988,35.055,-4.14133,8.12738e-20
8.27108,34.8708,34.6324,-4.07093,5.06643e-21
8.31073,34.449,34.2158,-4.00082,9.66774e-20
8.34844,34.0318,33.804,-3.93082,1.39188e-23
8.38429,33.6181,33.3956,-3.8608,2.66282e-22
8.41833,33.2067,32.9896,-3.79068,1.20935e-19
8.45065,32.7965,32.5848,-3.72036,-6.75856e-21
8.48132,32.3865,32.1802,-3.64978,-1.28076e-19
8.5104,31.9757,31.7747,-3.57886,1.4291e-19
8.53796,31.5629,31.3674,-3.50755,-7.56114e-21
8.56407,31.147,30.9569,-3.43578,8.7961e-21
8.58881,30.7269,30.5423,-3.36348,7.54074e-20
8.61222,30.3014,30.1222,-3.29057,-2.62635e-19
8.63437,29.8692,29.6955,-3.21698,1.04991e-19
8.65533,29.4291,29.2608,-3.14261,1.83277e-19
8.67514,28.9797,28.8169,-3.06734,-2.04972e-19
8.69387,28.5196,28.3623,-2.99105,6.06836e-21
8.71158,28.0469,27.8951,-2.91354,-6.96489e-21
8.7283,27.5598,27.4136,-2.83457,-1.17907e-19
8.74409,27.0559,26.9153,-2.75383,2.6476e-19
8.75901,26.5321,26.3973,-2.6709,5.45956e-20
8.77309,25.9849,25.8559,-2.58525,-2.83895e-19
8.78637,25.4099,25.2869,-2.49624,-7.31358e-20
8.79891,24.8022,24.6854,-2.40319,8.22741e-20
8.81074,24.1567,24.0464,-2.30544,8.23827e-20
8.82189,23.469,23.3654,-2.20252,-9.13964e-20
8.83242,22.7363,22.6396,-2.09434,-1.88075e-19
8.84234,21.9588,21.8692,-1.98135,4.3745e-21
8.85169,21.1398,21.0574,-1.86453,1.00342e-19
8.8605,20.2861,20.2108,-1.74537,5.42341e-20
