# Case: R.ST0
# Station: 6
# X/H: 1.5
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.069,-0.003,6.34,2.7,-0.33,0.06,-0.07,0.24,-0.11
3,0.15,-0.081,0.004,7.16,2.27,-0.33,0.05,-0.13,-0.01,0.03
4,0.2,-0.085,0.009,6.69,2.35,-0.61,0.04,-0.07,0.0,-0.02
5,0.3,-0.088,0.02,6.75,2.78,-0.84,0.0,-0.08,0.0,0.03
6,0.4,-0.08,0.025,6.53,3.13,-0.84,-0.45,-0.17,0.03,-0.04
7,0.5,-0.062,0.025,6.12,3.44,-1.16,-0.66,-0.08,0.1,-0.03
8,0.6,-0.026,0.02,7.57,4.67,-1.88,-0.16,0.37,-0.48,-0.85
9,0.7,0.055,0.0,10.78,7.49,-3.94,0.97,1.61,-1.59,-2.41
10,0.8,0.208,-0.034,13.89,10.56,-6.08,0.14,0.38,-0.23,-1.87
11,0.9,0.373,-0.046,15.92,11.22,-6.96,-0.82,-0.65,0.99,-0.01
12,1.0,0.554,-0.047,14.37,7.99,-4.69,-4.29,-1.9,1.69,2.06
13,1.1,0.709,-0.039,7.53,3.89,-2.01,-2.71,-1.01,1.16,1.4
14,1.15,0.739,-0.037,6.19,3.12,-1.57,-1.51,-0.56,0.68,0.85
15,1.2,0.768,-0.035,4.84,2.35,-1.12,-0.31,-0.11,0.21,0.3
16,1.3,0.803,-0.037,4.0,2.03,-0.95,-0.3,-0.09,0.13,0.18
17,1.4,0.832,-0.037,3.43,1.79,-0.81,-0.28,-0.1,0.11,0.1
18,1.5,0.856,-0.036,3.04,1.61,-0.75,-0.36,-0.1,0.14,0.07
19,1.7,0.898,-0.036,2.43,1.35,-0.63,-0.25,-0.09,0.12,0.11
20,2.0,0.949,-0.034,1.69,0.96,-0.36,-0.26,-0.08,0.09,0.06
21,2.4,0.997,-0.03,0.82,0.5,-0.07,-0.11,-0.04,0.04,0.03
22,2.8,1.012,-0.026,0.42,0.28,0.04,0.01,0.0,0.0,0.0
23,3.2,1.009,-0.025,0.38,0.26,0.05,0.02,0.0,0.0,0.0
24,3.6,1.001,-0.028,0.38,0.24,0.04,0.01,0.0,0.0,0.0
25,4.0,1.0,-0.028,0.36,0.24,0.04,0.01,0.0,0.0,0.0
26,5.0,0.996,-0.027,0.36,0.23,0.03,0.01,0.0,0.0,0.0
27,6.0,0.992,-0.025,0.35,0.23,0.03,0.0,0.0,0.0,0.0
28,7.5,0.991,-0.022,0.35,0.25,0.04,0.01,0.0,0.0,0.0
