# Case: R.ST0
# Station: 22
# X/H: 32.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.581,-0.005,5.31,2.95,-0.89,0.23,0.07,0.14,0.13
3,0.15,0.604,-0.004,5.42,2.86,-0.97,0.18,0.03,0.08,0.12
4,0.2,0.621,-0.004,5.28,3.02,-1.01,0.23,0.03,0.1,0.13
5,0.3,0.645,-0.005,5.26,3.32,-1.16,0.26,0.13,0.04,0.02
6,0.4,0.662,-0.004,5.73,3.35,-1.3,0.16,0.11,0.08,-0.05
7,0.5,0.679,-0.005,5.66,3.63,-1.5,0.48,0.2,-0.11,-0.09
8,0.6,0.691,-0.006,5.74,3.9,-1.59,0.32,0.08,-0.08,0.02
9,0.7,0.705,-0.006,5.98,3.85,-1.69,0.1,0.01,-0.01,0.09
10,0.8,0.718,-0.008,5.9,3.96,-1.71,-0.18,-0.18,0.12,0.28
11,0.9,0.734,-0.009,5.99,4.06,-1.88,-0.45,-0.3,0.28,0.44
12,1.0,0.747,-0.01,6.16,4.15,-1.97,-0.8,-0.39,0.42,0.41
13,1.1,0.761,-0.009,6.0,4.01,-1.94,-0.99,-0.45,0.49,0.59
14,1.15,0.769,-0.011,5.92,3.9,-1.92,-1.18,-0.57,0.57,0.69
15,1.2,0.778,-0.013,5.84,3.8,-1.89,-1.36,-0.69,0.64,0.78
16,1.3,0.792,-0.013,5.61,3.73,-1.83,-1.53,-0.86,0.75,0.82
17,1.4,0.808,-0.013,5.43,3.53,-1.75,-1.75,-0.99,0.9,0.89
18,1.5,0.821,-0.013,5.15,3.37,-1.66,-2.08,-1.05,1.02,0.92
19,1.7,0.848,-0.012,4.49,2.86,-1.39,-2.39,-1.15,1.1,0.92
20,2.0,0.886,-0.011,3.01,2.01,-0.8,-1.88,-0.81,0.76,0.61
21,2.4,0.922,-0.008,1.41,1.1,-0.35,-0.74,-0.31,0.39,0.29
22,2.8,0.936,-0.006,0.7,0.64,-0.06,0.0,-0.01,0.04,0.05
23,3.2,0.941,-0.003,0.53,0.45,0.0,0.05,0.03,0.02,0.04
24,3.6,0.942,-0.004,0.44,0.37,0.01,0.04,0.02,0.01,0.01
25,4.0,0.943,-0.005,0.4,0.33,0.01,0.04,0.02,0.01,0.01
26,5.0,0.944,-0.006,0.39,0.32,0.02,0.04,0.03,0.01,0.01
27,6.0,0.944,-0.007,0.38,0.3,0.03,0.04,0.03,0.01,0.02
28,7.5,0.912,-0.005,1.21,0.87,0.25,-0.28,-0.11,-0.1,-0.07
