# Case: R.ST0
# Station: 19
# X/H: 14.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.505,-0.014,7.47,4.12,-0.94,1.54,0.35,0.04,-0.16
3,0.15,0.511,-0.015,8.0,5.67,-0.9,1.28,0.47,-0.08,-0.31
4,0.2,0.529,-0.013,8.64,5.19,-1.35,1.35,0.52,-0.18,-0.33
5,0.3,0.553,-0.014,9.13,6.13,-1.85,0.96,0.44,-0.21,-0.44
6,0.4,0.57,-0.016,9.76,6.5,-2.54,1.06,0.2,-0.09,0.06
7,0.5,0.593,-0.021,10.23,6.79,-2.89,0.04,-0.07,0.05,0.36
8,0.6,0.618,-0.02,10.94,6.82,-3.36,-1.41,-0.81,0.68,0.9
9,0.7,0.643,-0.021,10.92,6.9,-3.48,-2.94,-1.36,1.1,1.46
10,0.8,0.671,-0.023,11.12,6.5,-3.53,-4.31,-1.97,1.74,2.08
11,0.9,0.7,-0.023,10.34,5.85,-3.31,-4.82,-2.19,1.9,2.26
12,1.0,0.726,-0.022,9.77,5.47,-3.28,-6.53,-2.56,2.54,2.72
13,1.1,0.754,-0.021,8.71,4.81,-2.76,-6.67,-2.55,2.55,2.33
14,1.15,0.768,-0.021,8.13,4.37,-2.57,-6.77,-2.44,2.63,2.22
15,1.2,0.783,-0.021,7.54,3.93,-2.38,-6.88,-2.32,2.7,2.1
16,1.3,0.809,-0.021,6.1,3.46,-1.84,-5.21,-2.03,2.18,1.85
17,1.4,0.831,-0.019,5.08,2.92,-1.52,-4.95,-1.59,1.87,1.51
18,1.5,0.851,-0.018,3.88,2.28,-1.14,-3.32,-1.17,1.38,1.22
19,1.7,0.885,-0.017,2.08,1.43,-0.52,-0.91,-0.4,0.42,0.46
20,2.0,0.919,-0.014,0.98,0.74,-0.14,-0.12,-0.04,0.09,0.08
21,2.4,0.938,-0.012,0.5,0.41,0.04,0.02,0.01,0.02,0.03
22,2.8,0.941,-0.011,0.42,0.31,0.06,0.02,0.02,0.01,0.02
23,3.2,0.943,-0.012,0.38,0.27,0.06,0.02,0.02,0.01,0.02
24,3.6,0.944,-0.012,0.36,0.25,0.06,0.02,0.02,0.01,0.01
25,4.0,0.945,-0.014,0.38,0.26,0.05,0.03,0.02,0.01,0.01
26,5.0,0.948,-0.013,0.35,0.27,0.05,0.03,0.02,0.01,0.01
27,6.0,0.951,-0.012,0.33,0.28,0.04,0.04,0.02,0.01,0.02
28,7.5,0.946,-0.012,0.65,0.49,0.17,-0.05,-0.01,0.0,0.01
29,8.2,0.824,-0.005,3.31,2.33,0.99,-0.42,-0.24,-0.21,-0.09
