# Case: R.ST0
# Station: 21
# X/H: 20.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.54,-0.012,6.27,3.05,-0.9,0.87,0.13,0.06,0.02
3,0.15,0.566,-0.009,6.89,2.88,-0.96,0.92,0.12,0.15,-0.17
4,0.2,0.582,-0.011,6.84,3.48,-1.06,0.85,0.14,0.02,-0.21
5,0.3,0.604,-0.012,7.11,4.06,-1.27,0.88,0.32,-0.12,-0.3
6,0.4,0.622,-0.012,7.47,4.58,-1.63,0.75,0.16,-0.12,0.02
7,0.5,0.638,-0.015,7.68,4.86,-1.87,0.39,0.09,-0.16,-0.09
8,0.6,0.658,-0.015,8.23,5.12,-2.15,-0.2,-0.12,0.04,0.25
9,0.7,0.675,-0.017,8.28,5.04,-2.23,-0.62,-0.33,0.29,0.26
10,0.8,0.693,-0.017,8.69,5.1,-2.5,-1.43,-0.64,0.55,0.72
11,0.9,0.714,-0.017,8.64,5.14,-2.63,-2.08,-0.87,0.83,0.95
12,1.0,0.736,-0.02,8.38,4.75,-2.43,-2.85,-1.25,1.13,1.23
13,1.1,0.754,-0.017,8.18,4.51,-2.46,-3.67,-1.38,1.47,1.35
14,1.15,0.764,-0.018,7.9,4.38,-2.34,-3.86,-1.49,1.51,1.42
15,1.2,0.773,-0.019,7.61,4.25,-2.23,-4.05,-1.6,1.55,1.49
16,1.3,0.796,-0.018,6.84,3.77,-2.02,-4.23,-1.64,1.71,1.59
17,1.4,0.817,-0.018,6.04,3.28,-1.68,-4.13,-1.46,1.58,1.4
18,1.5,0.833,-0.017,5.52,2.97,-1.59,-4.38,-1.54,1.75,1.35
19,1.7,0.866,-0.015,3.75,2.17,-0.95,-2.77,-0.93,1.09,0.87
20,2.0,0.908,-0.012,1.89,1.27,-0.38,-0.89,-0.33,0.37,0.35
21,2.4,0.934,-0.009,0.82,0.75,0.04,-0.01,-0.01,0.02,0.07
22,2.8,0.939,-0.007,0.65,0.52,0.11,0.05,0.03,0.01,0.03
23,3.2,0.94,-0.008,0.56,0.43,0.1,0.04,0.02,0.0,0.02
24,3.6,0.94,-0.008,0.58,0.41,0.14,0.04,0.02,0.0,0.01
25,4.0,0.941,-0.009,0.53,0.38,0.1,0.04,0.02,0.0,0.01
26,5.0,0.942,-0.01,0.51,0.36,0.1,0.04,0.02,0.0,0.01
27,6.0,0.943,-0.011,0.49,0.33,0.09,0.04,0.02,0.0,0.01
28,7.5,0.931,-0.01,0.83,0.55,0.18,-0.12,-0.02,-0.03,-0.02
29,8.2,0.8,-0.003,3.58,2.29,0.95,-0.56,-0.22,-0.27,-0.2
