# Case: R.ST0
# Station: 20
# X/H: 16.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.517,-0.011,6.71,3.74,-0.91,1.16,0.29,0.02,-0.02
3,0.15,0.538,-0.011,7.37,3.74,-1.03,1.19,0.34,0.0,-0.12
4,0.2,0.547,-0.01,7.52,4.27,-1.31,0.94,0.38,-0.14,-0.47
5,0.3,0.57,-0.012,8.15,4.98,-1.71,1.07,0.33,-0.1,-0.37
6,0.4,0.59,-0.015,8.56,5.52,-2.18,0.8,0.21,-0.1,-0.24
7,0.5,0.61,-0.016,9.01,5.93,-2.53,-0.36,-0.11,0.17,0.25
8,0.6,0.631,-0.016,9.51,6.24,-2.85,-0.66,-0.52,0.28,0.73
9,0.7,0.654,-0.019,9.68,5.96,-2.93,-1.87,-0.93,0.78,1.15
10,0.8,0.674,-0.017,9.66,6.05,-3.15,-2.49,-1.36,1.19,1.28
11,0.9,0.699,-0.018,9.53,5.68,-3.08,-3.78,-1.72,1.65,1.8
12,1.0,0.722,-0.019,8.73,5.17,-2.66,-4.3,-1.95,1.66,1.7
13,1.1,0.747,-0.018,8.52,4.66,-2.71,-5.7,-2.09,2.26,1.77
14,1.15,0.758,-0.017,8.14,4.46,-2.57,-5.72,-2.15,2.23,1.87
15,1.2,0.769,-0.016,7.75,4.27,-2.42,-5.74,-2.22,2.2,1.97
16,1.3,0.796,-0.017,6.3,3.62,-1.94,-5.05,-1.94,1.99,1.62
17,1.4,0.817,-0.015,5.47,3.2,-1.69,-4.62,-1.85,1.86,1.65
18,1.5,0.838,-0.015,4.29,2.58,-1.29,-3.36,-1.32,1.34,1.15
19,1.7,0.874,-0.013,2.59,1.65,-0.68,-1.55,-0.53,0.59,0.58
20,2.0,0.911,-0.011,1.16,0.87,-0.25,-0.29,-0.12,0.16,0.17
21,2.4,0.932,-0.008,0.53,0.47,0.01,0.04,0.02,0.03,0.05
22,2.8,0.935,-0.007,0.43,0.34,0.04,0.04,0.02,0.01,0.02
23,3.2,0.936,-0.008,0.39,0.28,0.05,0.04,0.02,0.01,0.02
24,3.6,0.937,-0.008,0.34,0.25,0.04,0.03,0.02,0.01,0.02
25,4.0,0.938,-0.01,0.33,0.23,0.03,0.03,0.02,0.01,0.01
26,5.0,0.939,-0.011,0.32,0.23,0.04,0.03,0.02,0.01,0.01
27,6.0,0.941,-0.011,0.31,0.22,0.05,0.03,0.02,0.01,0.02
28,7.5,0.933,-0.011,0.59,0.41,0.08,-0.09,-0.02,-0.02,-0.01
29,8.2,0.798,-0.006,3.37,2.12,0.85,-0.5,-0.25,-0.26,-0.19
