# Case: R.ST0
# Station: 18
# X/H: 12.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.461,-0.015,7.71,5.97,-0.97,1.41,0.62,0.02,-0.38
3,0.15,0.475,-0.014,8.59,5.38,-1.33,1.93,0.74,-0.1,-0.4
4,0.2,0.488,-0.015,9.17,5.93,-1.9,1.56,0.73,-0.35,-0.47
5,0.3,0.511,-0.019,10.07,7.45,-2.73,1.42,0.58,-0.22,-0.3
6,0.4,0.537,-0.021,10.76,8.2,-3.16,0.48,0.02,0.07,0.19
7,0.5,0.563,-0.027,11.28,8.7,-3.71,-0.34,-0.75,0.56,0.96
8,0.6,0.594,-0.027,11.46,9.11,-3.98,-2.16,-1.56,1.3,1.89
9,0.7,0.625,-0.028,11.54,8.46,-4.18,-3.84,-2.77,2.46,2.37
10,0.8,0.657,-0.027,11.04,7.94,-3.89,-5.0,-3.07,2.56,2.76
11,0.9,0.691,-0.027,9.7,7.82,-3.59,-6.1,-4.15,3.26,3.27
12,1.0,0.721,-0.025,8.29,6.89,-3.08,-5.66,-3.89,3.24,3.13
13,1.1,0.748,-0.026,8.61,4.69,-2.78,-8.32,-3.07,3.5,2.88
14,1.15,0.763,-0.025,7.75,4.3,-2.53,-7.52,-2.86,3.29,2.64
15,1.2,0.779,-0.025,6.89,3.91,-2.27,-6.73,-2.66,3.09,2.4
16,1.3,0.804,-0.025,5.44,3.19,-1.69,-5.27,-1.94,2.06,1.77
17,1.4,0.826,-0.021,4.36,2.69,-1.49,-3.63,-1.6,1.85,1.58
18,1.5,0.845,-0.021,3.14,2.1,-1.03,-1.85,-0.96,1.1,1.14
19,1.7,0.878,-0.02,1.82,1.23,-0.42,-0.41,-0.17,0.21,0.26
20,2.0,0.913,-0.018,0.97,0.69,-0.15,-0.15,-0.05,0.08,0.11
21,2.4,0.935,-0.017,0.47,0.39,0.03,0.01,0.02,0.02,0.04
22,2.8,0.939,-0.016,0.39,0.28,0.06,0.03,0.02,0.02,0.02
23,3.2,0.941,-0.017,0.36,0.25,0.05,0.03,0.02,0.01,0.02
24,3.6,0.943,-0.017,0.36,0.24,0.06,0.03,0.02,0.02,0.02
25,4.0,0.944,-0.018,0.35,0.23,0.05,0.03,0.02,0.01,0.02
26,5.0,0.947,-0.018,0.35,0.24,0.05,0.02,0.02,0.01,0.01
27,6.0,0.949,-0.018,0.36,0.24,0.06,0.02,0.02,0.01,0.01
28,7.5,0.947,-0.015,0.5,0.36,0.09,-0.04,0.0,0.0,0.0
29,8.2,0.825,-0.007,3.19,2.11,0.89,-0.62,-0.24,-0.22,-0.15
