# Case: R.ST0
# Station: 9
# X/H: 3.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.198,-0.003,7.56,6.1,-1.67,2.34,1.57,-1.77,-1.45
3,0.15,-0.197,0.0,8.64,5.93,-1.95,3.14,1.61,-1.8,-2.08
4,0.2,-0.184,-0.001,10.2,7.16,-2.89,5.35,2.37,-2.83,-2.7
5,0.3,-0.143,-0.002,14.81,9.75,-4.99,10.54,3.64,-4.97,-3.73
6,0.4,-0.066,-0.014,24.15,13.31,-8.47,15.08,4.38,-6.34,-3.91
7,0.5,0.038,-0.029,28.65,15.51,-10.16,-4.8,-0.89,1.39,-1.19
8,0.6,0.162,-0.046,25.33,15.29,-9.43,-19.14,-5.35,7.12,1.74
9,0.7,0.282,-0.057,19.25,13.35,-7.97,-9.14,-4.16,4.97,2.22
10,0.8,0.388,-0.064,15.77,11.63,-6.37,-0.98,-2.0,1.47,1.82
11,0.9,0.506,-0.068,15.98,10.25,-6.01,-2.67,-2.23,2.03,2.58
12,1.0,0.613,-0.064,14.29,8.06,-4.81,-7.35,-3.52,3.69,3.62
13,1.1,0.716,-0.067,8.92,4.8,-2.4,-4.45,-1.73,1.78,1.74
14,1.15,0.747,-0.067,7.18,3.94,-1.88,-2.96,-1.14,1.17,1.2
15,1.2,0.777,-0.066,5.45,3.07,-1.36,-1.46,-0.55,0.56,0.67
16,1.3,0.813,-0.064,3.91,2.28,-0.98,-0.4,-0.18,0.2,0.31
17,1.4,0.841,-0.063,3.33,1.81,-0.73,-0.21,-0.08,0.12,0.14
18,1.5,0.864,-0.063,2.93,1.55,-0.67,-0.28,-0.08,0.09,0.09
19,1.7,0.903,-0.063,2.29,1.3,-0.52,-0.33,-0.09,0.12,0.08
20,2.0,0.948,-0.059,1.56,0.83,-0.3,-0.25,-0.08,0.1,0.07
21,2.4,0.989,-0.055,0.66,0.4,-0.04,-0.09,-0.03,0.03,0.02
22,2.8,0.998,-0.048,0.36,0.25,0.05,0.01,0.0,0.0,0.0
23,3.2,0.995,-0.044,0.35,0.23,0.05,0.01,0.0,0.0,0.0
24,3.6,0.994,-0.042,0.35,0.22,0.04,0.01,0.0,0.0,0.0
25,4.0,0.992,-0.039,0.33,0.21,0.04,0.01,0.0,0.0,0.0
26,5.0,0.988,-0.034,0.33,0.21,0.04,0.01,0.0,0.0,0.0
27,6.0,0.984,-0.03,0.33,0.22,0.05,0.01,0.0,0.0,0.0
28,7.5,0.983,-0.025,0.33,0.23,0.04,0.01,0.01,0.0,0.0
29,8.2,0.899,-0.015,2.31,1.55,0.69,-0.52,-0.23,-0.21,-0.17
