# Case: R.ST0
# Station: 11
# X/H: 5.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.032,-0.046,18.83,13.16,-6.05,12.72,5.39,-4.75,-4.24
3,0.15,-0.006,-0.053,23.97,15.57,-7.11,14.24,4.3,-3.75,-3.88
4,0.2,0.026,-0.063,26.59,18.23,-9.54,10.18,3.78,-4.01,-3.06
5,0.3,0.117,-0.088,30.07,20.49,-11.5,-4.63,-3.89,4.71,3.4
6,0.4,0.204,-0.097,27.91,19.81,-10.49,-17.17,-8.17,9.14,6.95
7,0.5,0.293,-0.103,25.09,17.3,-9.29,-18.92,-9.77,9.89,7.64
8,0.6,0.375,-0.106,21.27,15.07,-8.29,-13.35,-7.91,7.4,7.83
9,0.7,0.452,-0.104,19.7,13.26,-7.33,-11.5,-7.42,6.97,7.33
10,0.8,0.536,-0.103,16.77,10.57,-5.84,-9.62,-6.42,6.07,6.21
11,0.9,0.61,-0.097,14.13,8.4,-4.97,-10.74,-5.26,5.67,5.21
12,1.0,0.679,-0.096,10.11,6.14,-3.07,-7.53,-3.32,3.36,3.92
13,1.1,0.734,-0.095,6.79,4.05,-1.86,-4.53,-1.76,1.93,2.05
14,1.15,0.753,-0.093,5.71,3.5,-1.6,-2.92,-1.23,1.33,1.53
15,1.2,0.771,-0.091,4.63,2.95,-1.33,-1.32,-0.69,0.74,1.02
16,1.3,0.8,-0.09,3.6,2.12,-0.78,-0.44,-0.17,0.22,0.35
17,1.4,0.826,-0.088,3.17,1.85,-0.7,-0.38,-0.16,0.23,0.26
18,1.5,0.845,-0.086,2.71,1.61,-0.6,-0.28,-0.11,0.15,0.18
19,1.7,0.88,-0.082,2.13,1.25,-0.43,-0.26,-0.07,0.12,0.1
20,2.0,0.926,-0.076,1.42,0.83,-0.24,-0.27,-0.07,0.08,0.06
21,2.4,0.965,-0.068,0.62,0.44,-0.01,-0.04,0.0,0.03,0.02
22,2.8,0.973,-0.06,0.43,0.33,0.03,0.02,0.02,0.01,0.01
23,3.2,0.972,-0.054,0.4,0.29,0.03,0.02,0.02,0.0,0.0
24,3.6,0.973,-0.05,0.41,0.3,0.05,0.03,0.02,0.01,0.01
25,4.0,0.974,-0.046,0.39,0.29,0.04,0.03,0.02,0.01,0.01
26,5.0,0.974,-0.04,0.39,0.28,0.04,0.03,0.02,0.0,0.0
27,6.0,0.975,-0.034,0.39,0.28,0.03,0.02,0.01,0.0,0.0
28,7.5,0.975,-0.026,0.4,0.32,0.04,0.02,0.02,0.0,0.0
29,8.2,0.88,-0.018,2.71,1.91,0.73,-0.55,-0.25,-0.22,-0.22
