# Case: R.ST0
# Station: 4
# X/H: 0.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.7,-0.017,4.31,3.54,-1.27,-0.12,-0.1,0.06,0.1
14,1.15,0.729,-0.017,5.05,2.21,-1.24,-0.35,-0.17,0.24,0.16
15,1.2,0.757,-0.02,4.68,2.14,-1.1,-0.28,-0.1,0.16,0.11
16,1.3,0.794,-0.02,4.2,2.01,-1.01,-0.29,-0.09,0.15,0.13
17,1.4,0.825,-0.02,3.73,1.85,-0.88,-0.38,-0.1,0.19,0.1
18,1.5,0.853,-0.022,3.43,1.8,-0.87,-0.36,-0.11,0.16,0.13
19,1.7,0.895,-0.023,2.8,1.52,-0.65,-0.26,-0.07,0.08,0.09
20,2.0,0.947,-0.022,2.12,1.16,-0.37,-0.27,-0.08,0.1,0.06
21,2.4,0.998,-0.02,1.17,0.69,-0.07,-0.14,-0.04,0.05,0.03
22,2.8,1.02,-0.017,0.65,0.43,0.08,0.02,0.01,0.0,0.0
23,3.2,1.019,-0.016,0.57,0.37,0.08,0.03,0.02,0.0,0.0
24,3.6,1.016,-0.016,0.57,0.37,0.11,0.04,0.02,0.0,0.0
25,4.0,1.014,-0.017,0.61,0.39,0.12,0.05,0.02,0.0,0.0
26,5.0,1.009,-0.022,0.6,0.4,0.1,0.04,0.02,-0.01,-0.01
27,6.0,1.007,-0.02,0.58,0.36,0.08,0.05,0.01,-0.01,-0.01
28,7.5,1.007,-0.022,0.56,0.39,0.09,0.03,0.02,-0.01,0.0
29,8.2,0.94,-0.015,1.97,1.37,0.54,-0.41,-0.17,-0.15,-0.12
