# Case: R.ST0
# Station: 14
# X/H: 6.5
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.188,-0.046,14.88,11.39,-2.82,2.57,1.11,-0.62,-1.64
3,0.15,0.198,-0.044,15.25,12.71,-3.68,1.74,1.25,-0.87,-1.47
4,0.2,0.22,-0.052,16.31,14.18,-5.32,1.67,0.72,-1.38,-1.1
5,0.3,0.268,-0.065,18.13,16.27,-7.36,-1.45,-1.21,1.33,0.87
6,0.4,0.321,-0.074,19.25,16.52,-8.2,-2.93,-3.82,3.11,3.29
7,0.5,0.379,-0.08,19.57,15.6,-8.35,-7.49,-5.89,5.82,5.53
8,0.6,0.44,-0.083,18.18,14.15,-7.54,-8.46,-6.93,6.72,6.57
9,0.7,0.504,-0.083,16.87,12.63,-6.71,-10.65,-7.63,7.24,7.95
10,0.8,0.57,-0.083,14.28,10.54,-5.28,-10.7,-7.48,7.3,6.78
11,0.9,0.63,-0.081,12.56,7.19,-3.85,-12.22,-5.27,5.66,5.33
12,1.0,0.682,-0.08,9.41,5.52,-2.82,-9.11,-3.93,4.29,4.36
13,1.1,0.726,-0.079,6.11,3.75,-1.79,-4.17,-1.87,1.82,1.92
14,1.15,0.743,-0.078,5.16,3.21,-1.4,-2.6,-1.13,1.15,1.35
15,1.2,0.761,-0.077,4.21,2.67,-1.02,-1.03,-0.4,0.48,0.79
16,1.3,0.787,-0.076,3.34,2.04,-0.74,-0.45,-0.15,0.28,0.39
17,1.4,0.811,-0.075,2.84,1.65,-0.56,-0.37,-0.12,0.21,0.24
18,1.5,0.831,-0.073,2.46,1.42,-0.54,-0.37,-0.12,0.18,0.2
19,1.7,0.865,-0.071,1.92,1.09,-0.34,-0.26,-0.06,0.13,0.13
20,2.0,0.908,-0.067,1.18,0.67,-0.14,-0.21,-0.05,0.07,0.07
21,2.4,0.941,-0.061,0.53,0.38,0.03,-0.02,0.0,0.03,0.03
22,2.8,0.949,-0.056,0.37,0.27,0.07,0.02,0.02,0.01,0.01
23,3.2,0.952,-0.051,0.35,0.24,0.06,0.02,0.01,0.01,0.01
24,3.6,0.955,-0.048,0.36,0.24,0.07,0.03,0.02,0.01,0.01
25,4.0,0.956,-0.045,0.34,0.23,0.06,0.02,0.02,0.01,0.01
26,5.0,0.96,-0.039,0.33,0.23,0.06,0.02,0.01,0.01,0.01
27,6.0,0.963,-0.033,0.33,0.22,0.06,0.02,0.01,0.01,0.01
28,7.5,0.963,-0.027,0.41,0.31,0.09,0.0,0.01,0.0,0.01
29,8.2,0.864,-0.017,2.65,1.83,0.74,-0.52,-0.25,-0.21,-0.17
