# Case: R.ST0
# Station: 3
# X/H: -1.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.687,-0.006,4.77,3.25,-1.12,-0.34,-0.13,0.17,0.21
14,1.15,0.724,-0.006,5.23,2.13,-1.13,-0.39,-0.1,0.2,0.14
15,1.2,0.753,-0.008,5.0,2.15,-1.17,-0.36,-0.1,0.15,0.15
16,1.3,0.793,-0.01,4.31,1.98,-0.99,-0.37,-0.1,0.2,0.13
17,1.4,0.823,-0.01,3.91,1.87,-0.97,-0.48,-0.12,0.21,0.11
18,1.5,0.849,-0.011,3.24,1.9,-0.91,-0.3,-0.08,0.12,0.11
19,1.7,0.896,-0.013,2.69,1.57,-0.72,-0.35,-0.08,0.12,0.09
20,2.0,0.95,-0.013,1.84,1.14,-0.43,-0.21,-0.09,0.13,0.09
21,2.4,1.004,-0.012,0.86,0.63,-0.12,-0.1,-0.04,0.04,0.04
22,2.8,1.023,-0.009,0.45,0.36,-0.02,0.02,0.01,0.0,0.0
23,3.2,1.02,-0.01,0.4,0.31,0.0,0.02,0.01,-0.01,-0.01
24,3.6,1.019,-0.01,0.43,0.34,0.01,0.04,0.02,0.0,0.0
25,4.0,1.016,-0.012,0.4,0.3,0.0,0.01,0.0,-0.01,-0.01
26,5.0,1.013,-0.013,0.44,0.37,0.0,0.01,0.01,-0.02,-0.03
27,6.0,1.01,-0.015,0.48,0.44,0.0,0.01,0.01,-0.02,-0.04
28,7.5,1.01,-0.026,0.41,0.35,-0.01,0.02,0.01,-0.01,-0.01
29,8.2,0.945,-0.014,1.62,1.55,0.35,-0.18,-0.18,-0.12,-0.13
