# Case: R.ST0
# Station: 12
# X/H: 5.5
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.053,-0.044,21.66,13.38,-5.73,7.26,3.05,-2.43,-3.76
3,0.15,0.064,-0.05,21.88,15.15,-6.61,4.23,1.61,-1.14,-1.83
4,0.2,0.1,-0.062,23.64,17.42,-7.97,-0.66,0.03,0.68,-1.19
5,0.3,0.178,-0.081,25.45,18.91,-10.01,-8.5,-4.67,4.85,4.34
6,0.4,0.254,-0.095,23.5,17.38,-8.93,-11.54,-7.64,7.08,6.79
7,0.5,0.327,-0.103,20.28,15.32,-7.65,-9.03,-6.8,6.02,6.27
8,0.6,0.406,-0.104,18.67,13.37,-7.32,-7.61,-6.74,6.47,7.05
9,0.7,0.485,-0.104,16.68,11.04,-5.44,-6.71,-4.66,4.26,4.65
10,0.8,0.56,-0.101,14.48,8.8,-4.55,-7.36,-3.9,3.95,3.85
11,0.9,0.626,-0.097,11.49,6.91,-3.35,-6.62,-2.94,2.78,2.66
12,1.0,0.684,-0.092,7.44,5.15,-2.07,-3.4,-1.66,1.54,1.57
13,1.1,0.732,-0.089,5.1,3.66,-1.36,-1.58,-0.79,0.8,0.82
14,1.15,0.748,-0.089,4.45,3.18,-1.1,-1.11,-0.53,0.57,0.58
15,1.2,0.765,-0.089,3.79,2.7,-0.85,-0.63,-0.28,0.34,0.34
16,1.3,0.792,-0.085,2.99,2.28,-0.65,-0.29,-0.13,0.17,0.24
17,1.4,0.816,-0.084,2.71,1.99,-0.58,-0.24,-0.11,0.09,0.16
18,1.5,0.836,-0.081,2.4,1.72,-0.51,-0.22,-0.11,0.14,0.15
19,1.7,0.872,-0.079,1.96,1.3,-0.35,-0.27,-0.11,0.09,0.1
20,2.0,0.918,-0.074,1.31,0.83,-0.12,-0.22,-0.07,0.07,0.06
21,2.4,0.957,-0.066,0.55,0.42,0.07,-0.05,-0.02,0.01,0.01
22,2.8,0.965,-0.058,0.36,0.29,0.1,0.01,0.0,0.0,0.0
23,3.2,0.966,-0.052,0.35,0.27,0.11,0.01,0.0,0.0,0.0
24,3.6,0.968,-0.049,0.35,0.26,0.11,0.01,0.0,0.0,0.0
25,4.0,0.969,-0.044,0.34,0.25,0.1,0.01,0.0,0.0,0.0
26,5.0,0.969,-0.038,0.35,0.26,0.11,0.0,0.0,-0.01,0.0
27,6.0,0.97,-0.032,0.36,0.26,0.12,0.0,0.0,-0.01,0.0
28,7.5,0.971,-0.025,0.36,0.29,0.11,0.01,0.0,0.0,0.0
29,8.2,0.874,-0.016,2.73,1.75,0.79,-0.57,-0.25,-0.24,-0.18
