y,U_0,U_1,U_2
0,0,0,0
0.000150075,-7.08933,0.000752337,-7.7096e-23
0.000308731,-8.49977,0.00142827,-4.06895e-23
0.000476552,-9.06828,0.00214009,-4.95364e-23
0.000654158,-9.38418,0.00292943,9.27403e-23
0.000842206,-9.59506,0.00378774,-9.21653e-23
0.00104139,-9.75082,0.00470613,-1.25871e-22
0.00125246,-9.87314,0.00568366,3.87203e-22
0.00147619,-9.97314,0.00672304,3.39661e-23
0.00171341,-10.0572,0.00782789,1.59864e-22
0.00196502,-10.1293,0.00900212,3.91623e-23
0.00223194,-10.1921,0.0102499,-3.28961e-22
0.00251518,-10.2474,0.0115758,2.71281e-22
0.00281579,-10.2965,0.0129846,-2.30175e-22
0.0031349,-10.3403,0.0144816,-7.40469e-22
0.00347368,-10.3796,0.0160721,6.41841e-22
0.00383341,-10.4149,0.017762,-3.62403e-22
0.00421543,-10.4467,0.0195575,-8.4754e-22
0.00462115,-10.4753,0.0214653,1.51202e-21
0.00505209,-10.5009,0.0234922,-3.1362e-22
0.00550983,-10.5238,0.0256458,-1.42182e-21
0.00599609,-10.5441,0.0279337,1.325e-21
0.00651264,-10.562,0.0303643,6.78619e-22
0.0070614,-10.5777,0.0329463,-1.86403e-21
0.00764438,-10.5911,0.0356891,-1.21864e-21
0.00826372,-10.6023,0.0386024,1.15105e-21
0.00892169,-10.6114,0.0416964,1.91269e-23
0.00962067,-10.6185,0.0449822,-3.01473e-23
0.0103632,-10.6235,0.0484712,2.16146e-21
0.011152,-10.6265,0.0521754,2.56817e-23
0.0119898,-10.6274,0.0561078,-1.05346e-21
0.0128797,-10.6263,0.0602815,9.82659e-22
0.0138249,-10.6231,0.0647108,1.95732e-21
0.0148286,-10.6178,0.0694103,-2.81046e-21
0.0158944,-10.6104,0.0743957,-3.77267e-21
0.017026,-10.6009,0.079683,1.81672e-21
0.0182274,-10.5892,0.0852893,1.794e-21
0.0195027,-10.5752,0.0912324,1.77665e-21
0.0208562,-10.5589,0.0975306,1.77701e-21
0.0222925,-10.5402,0.104203,-3.42051e-21
0.0238164,-10.5192,0.111271,-5.07081e-21
0.025433,-10.4956,0.118753,1.62269e-21
0.0271475,-10.4694,0.126672,5.92409e-24
0.0289655,-10.4406,0.135051,-3.28901e-21
0.0308929,-10.4091,0.143911,6.39563e-21
0.0329356,-10.3746,0.153277,3.241e-21
0.0351001,-10.3373,0.163172,-3.15432e-21
0.0373929,-10.2969,0.173622,3.02979e-21
0.0398209,-10.2533,0.184651,3.91792e-23
0.0423913,-10.2064,0.196286,-2.99061e-21
0.0451115,-10.1562,0.20855,-5.82788e-21
0.0479892,-10.1024,0.221472,-7.3266e-23
0.0510323,-10.045,0.235075,5.67496e-21
0.0542491,-9.98371,0.249386,7.86547e-23
0.057648,-9.91854,0.264429,7.969e-23
0.0612376,-9.84929,0.280229,-5.54663e-21
0.0650269,-9.77581,0.29681,-5.54458e-21
0.0690248,-9.69794,0.314192,1.06583e-20
0.0732406,-9.61552,0.332398,1.08103e-20
0.0776837,-9.52839,0.351446,5.26432e-21
0.0823633,-9.43639,0.371351,-1.55191e-20
0.0872889,-9.33933,0.392128,-2.07062e-20
0.0924701,-9.23706,0.413787,2.02203e-20
0.0979162,-9.12939,0.436334,1.02507e-20
0.103636,-9.01615,0.459771,-9.96793e-21
0.10964,-8.89716,0.484097,9.67888e-21
0.115935,-8.77223,0.509302,-9.25091e-21
0.122532,-8.6412,0.535373,-2.9018e-22
0.129436,-8.50388,0.562287,1.86383e-20
0.136657,-8.36011,0.590018,-1.80568e-20
0.144202,-8.2097,0.618526,-2.93944e-22
0.152075,-8.0525,0.647767,2.65576e-20
0.160284,-7.88834,0.677684,-8.50361e-21
0.168832,-7.71707,0.708212,-1.73e-20
0.177724,-7.53856,0.739273,-1.64682e-20
0.186961,-7.35267,0.770778,-3.28849e-20
0.196544,-7.15928,0.802626,-5.16573e-22
0.206475,-6.95829,0.834703,4.73676e-20
0.21675,-6.74961,0.866882,1.61189e-20
0.227368,-6.53319,0.899022,-1.53484e-20
0.238324,-6.30898,0.930969,0
0.24961,-6.07695,0.962555,0
0.26122,-5.83711,0.993599,0
0.273144,-5.5895,1.02391,1.8997e-22
0.28537,-5.33417,1.05327,-1.38752e-20
0.297884,-5.07122,1.08148,2.69479e-20
0.310673,-4.80076,1.1083,1.40683e-20
0.323718,-4.52295,1.1335,-5.38702e-20
0.337003,-4.23797,1.15683,-3.58072e-22
0.350506,-3.94603,1.17804,5.2508e-20
0.364206,-3.64736,1.19688,2.91292e-22
0.378081,-3.34224,1.21309,-5.10539e-20
0.392107,-3.03094,1.22642,5.04356e-20
0.406258,-2.71376,1.23662,3.01218e-22
0.420509,-2.39102,1.24345,-5.04348e-20
0.434834,-2.06303,1.24667,-2.45902e-20
0.449206,-1.73011,1.24604,-2.51063e-20
0.463598,-1.39257,1.24137,7.39478e-20
0.477982,-1.05071,1.23246,2.48489e-20
